མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག,1246,2,1,《པེ་》《སྣར་》,བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག་བཞུགས།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཏ།,,,,,,
,,4,3,《པེ་》,དྷི་བ་ལིཾ་ན།,《སྣར་》,དྷི་བ་ལིཾ་ནཱ།,,,,,
,,5,4,《པེ་》《སྣར་》,མུན།,,,,,,
,,6,5,《པེ་》《སྣར་》,ཤང་དེའི་ཤ,,,,,,
,,7,6,《པེ་》《སྣར་》,བའི།,,,,,,
,,8,7,《པེ་》《སྣར་》,pཔ།,,,,,,
,,9,8,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,10,9,《པེ་》《སྣར་》,སྙེམས་རབ་བཏུད།,,,,,,
,1247,11,1,《པེ་》《སྣར་》,mབུ།,,,,,,
,,12,2,《པེ་》《སྣར་》,པར་མི་སྒུལ།,,,,,,
,,13,3,《པེ་》《སྣར་》,བརྟན་ཞིང་བརྙན།,,,,,,
,,14,4,《པེ་》《སྣར་》,སྡུ།,,,,,,
,1248,15,1,《པེ་》《སྣར་》,སེངྒེས་དེ།,,,,,,
,,16,2,《སྣར་》,སྤྱད།,,,,,,
,,17,3,《པེ་》《སྣར་》,མངོན།,,,,,,
,,18,4,《པེ་》《སྣར་》,པ།,,,,,,
,,19,5,《པེ་》《སྣར་》,ཟླ།,,,,,,
,,20,6,《པེ་》《སྣར་》,ཏ།,,,,,,
,,21,7,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,1249,22,1,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,23,2,《སྣར་》,འབུལ།,,,,,,
,,24,3,《པེ་》《སྣར་》,བྱ་བའི།,,,,,,
,,25,4,《པེ་》《སྣར་》,བཏང་།,,,,,,
,,26,5,《པེ་》《སྣར་》,བྱ་བའི།,,,,,,
,,27,6,《པེ་》《སྣར་》,འདི།,,,,,,
,,28,7,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,29,8,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,30,9,《པེ་》《སྣར་》,པ།,,,,,,
,,31,10,《པེ་》《སྣར་》,ཏེ།,,,,,,
,1450,32,1,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,33,2,《པེ་》《སྣར་》,བསྲུང་།,,,,,,
,,34,3,《པེ་》《སྣར་》,ཡིས།,,,,,,
,,35,4,《པེ་》《སྣར་》,mསུམ།,,,,,,
,,36,5,《པེ་》《སྣར་》,pདེ།,,,,,,
,,37,6,《པེ་》,mདུ།,,,,,,
,,38,7,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,39,8,《པེ་》《སྣར་》,འགྱུར་བ།,,,,,,
,,40,9,《པེ་》《སྣར་》,ལ་སོགས་པ།,,,,,,
,,41,10,《པེ་》《སྣར་》,ནི།,,,,,,
,,42,11,《པེ་》《སྣར་》,བརླབས།,,,,,,
,1251,43,1,《པེ་》《སྣར་》,མཆོག,,,,,,
,,44,2,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,45,3,《པེ་》《སྣར་》,བརླན།,,,,,,
,,46,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,47,5,《སྣར་》,བཟུང་།,,,,,,
,,48,6,《པེ་》《སྣར་》,གསུངས།,,,,,,
,,49,7,《སྣར་》,pཔ།,,,,,,
,,50,8,《པེ་》《སྣར་》,སྦྱར།,,,,,,
,,51,9,《པེ་》《སྣར་》《ཅོ་》,རཾ།,,,,,,
,,52,10,《པེ་》《སྣར་》,ཇི།,,,,,,
,1252,53,1,《པེ་》《སྣར་》,པའོ།,,,,,,
,,54,2,《པེ་》《སྣར་》《ཅོ་》,རཾ།,,,,,,
,,55,3,《པེ་》《སྣར་》,པ།,,,,,,
,,56,4,《པེ་》《སྣར་》,བསམ་སྟེ།,,,,,,
,,57,5,《པེ་》,mབ།,,,,,,
,,58,6,《པེ་》《སྣར་》《ཅོ་》,སྦྱང་།,,,,,,
,,59,7,《པེ་》,mསོགས་པ།,,,,,,
,,60,8,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,61,9,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,62,10,《པེ་》《སྣར་》,པར།,,,,,,
,,63,11,《པེ་》《སྣར་》,mདེ།,,,,,,
,,64,12,《པེ་》,རཾ།,《སྣར་》,རམ།,,,,,
,,65,13,《པེ་》《སྣར་》,mདེ།,,,,,,
,1253,66,1,《པེ་》《སྣར་》,སྦྱངས་པའི།,,,,,,
,,67,2,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,68,3,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,69,4,《པེ་》,འགྲོ་བ་ནི།,《སྣར་》, འགྲོ་བ་ལྔ།,,,,,
,,70,5,《པེ་》《སྣར་》,pནི།,,,,,,
,1254,71,1,《པེ་》《སྣར་》,གི།,,,,,,
,,72,2,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,73,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,74,4,《སྣར་》,ཕྲུལ།,,,,,,
,,75,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,76,6,《པེ་》《སྣར་》,སུ།,,,,,,
,,77,7,《པེ་》《སྣར་》,དེ།,,,,,,
,,78,8,《པེ་》《སྣར་》,pཔ།,,,,,,
,,79,9,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,80,10,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,81,11,《པེ་》《སྣར་》,སྔོ།,,,,,,
,1255,82,1,《པེ་》《སྣར་》,བསམས་ཏེ།,,,,,,
,,83,2,《པེ་》《སྣར་》,མཐེ།,,,,,,
,,84,3,《པེ་》《སྣར་》,pཏེ།,,,,,,
,,85,4,《པེ་》《སྣར་》,ཕུལ།,,,,,,
,,86,5,《པེ་》,mཆེ།,,,,,,
,,87,6,《པེ་》《སྣར་》,རྗེའི།,,,,,,
,,88,7,《པེ་》《སྣར་》,mབ།,,,,,,
,,89,8,《པེ་》《སྣར་》,ཏོ།,,,,,,
,,90,9,《པེ་》《སྣར་》,པ་ནི།,,,,,,
,,91,10,《པེ་》《སྣར་》,mརབ།,,,,,,
,,92,11,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,93,12,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,94,13,《པེ་》《སྣར་》,དྷརྨ།,,,,,,
,,95,14,《པེ་》《སྣར་》,ཏ།,,,,,,
,1256,96,1,《པེ་》,pསྔགས་བསྟན་པའི་ཕྱིར་དེ་ལ།,,,,,,
,,97,2,《པེ་》《སྣར་》,རྩིར།,,,,,,
,,98,3,《པེ་》《སྣར་》,ཙ།,,,,,,
,,99,4,《པེ་》《སྣར་》,དྷཱ།,,,,,,
,,100,5,《པེ་》《སྣར་》,མཉམ།,,,,,,
,1257,101,1,《པེ་》《སྣར་》,mཞེས།,,,,,,
,,102,2,《པེ་》《སྣར་》,སྤང་།,,,,,,
,,103,3,《པེ་》《སྣར་》,རེང་བར།,,,,,,
,,104,4,《པེ་》《སྣར་》,པས།,,,,,,
,,105,5,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,106,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,107,7,《པེ་》《སྣར་》,གྱིས་བརླབས།,,,,,,
,1258,108,1,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,109,2,《སྣར་》,pའཇིག་རྟེན་ལས།,,,,,,
,,110,3,《པེ་》《སྣར་》,པ།,,,,,,
,1259,111,1,《པེ་》《སྣར་》,pལ།,,,,,,
,,112,2,《སྣར་》,mཅེས།,,,,,,
,,113,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,114,4,《པེ་》《སྣར་》,pརོ།,,,,,,
,,115,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,116,6,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,117,7,《པེ་》《སྣར་》,ཏེ།,,,,,,
,1260,118,1,《པེ་》《སྣར་》,སྲིད།,,,,,,
,,119,2,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,120,3,《པེ་》《སྣར་》,བྱ།,,,,,,
,,121,4,《པེ་》《སྣར་》,བརླབས།,,,,,,
,,122,5,《པེ་》《སྣར་》,pགསང་སྔགས་དང་ཞེས་བྱ་བ་དང་སྦྱར་རོ།།,,,,,,
,,123,6,《པེ་》《སྣར་》,དེ།,,,,,,
,,124,7,《པེ་》《སྣར་》,གྱི།,,,,,,
,,125,8,《སྣར་》,བཤིགས།,,,,,,
,1261,126,1,《པེ་》《སྣར་》,གྱིས་བརླབས།,,,,,,
,,127,2,《པེ་》《སྣར་》,གྱིས་བརླབས།,,,,,,
,,128,3,《པེ་》,mགི།,,,,,,
,,129,4,《སྣར་》,ལྟའོ།,,,,,,
,,130,5,《པེ་》《སྣར་》,རིགས།,,,,,,
,,131,6,《པེ་》《སྣར་》,ཟས།,,,,,,
,,132,7,《པེ་》《སྣར་》,pདང་།,,,,,,
,,133,8,《པེ་》《སྣར་》,གྱིས་བརླབས།,,,,,,
,,134,9,《པེ་》《སྣར་》,pརྣལ་འབྱོར་པའི་བདེན་པའི་བྱིན་གྱིས་བརླབས་ཏེ།,,,,,,
,1262,135,1,《པེ་》《སྣར་》,གང་།,,,,,,
,,136,2,《པེ་》,བཞན།,,,,,,
,,137,3,《པེ་》《སྣར་》,སོགས།,,,,,,
,1263,138,1,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,139,2,《པེ་》《སྣར་》,པའི།,,,,,,
,,140,3,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,141,4,《སྣར་》,བརྟན།,,,,,,
,,142,5,《པེ་》《སྣར་》,བསྒོམ།,,,,,,
,,143,6,《པེ་》《སྣར་》,པས།,,,,,,
,,144,7,《པེ་》《སྣར་》,mཔ་དང་།,,,,,,
,,145,8,《པེ་》,mཉལ་གྱི།,《སྣར་》,ཉལ།,,,,,
,,146,9,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,1264,147,1,《པེ་》《སྣར་》,མིང་གི།,,,,,,
,,148,2,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,,
,,149,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,150,4,《པེ་》《སྣར་》,mཤིང་།,,,,,,
,,151,5,《པེ་》《སྣར་》,འཕངས།,,,,,,
,1265,152,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,153,2,《པེ་》《སྣར་》,པ།,,,,,,
,,154,3,《པེ་》《སྣར་》,pམཛད།,,,,,,
,,155,4,《པེ་》《སྣར་》,pཔ།,,,,,,
,,156,5,《པེ་》《སྣར་》,pཡེ།,,,,,,
,,157,6,《པེ་》《སྣར་》,mལ།,,,,,,
,,158,7,《པེ་》,pདབའ་རླབས་ནས།,《སྣར་》,pདབང་རླབས་ནས།,,,,,
,,159,8,《པེ་》《སྣར་》,pབསྐྱེད་པས།,,,,,,
,,160,9,《པེ་》《སྣར་》,pདྲན་ནས།,,,,,,
,,161,10,《པེ་》《སྣར་》,རྩི་ཆུ་འདིས།,,,,,,
,,162,11,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,163,12,《པེ་》《སྣར་》,བཅད།,,,,,,
,,164,13,《པེ་》《སྣར་》,mགཏོར་མའི། ,,,,,,
