མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
སྟོང་ཉིད་བདུན་ཅུ་པའི་རྒྱ་ཆེར་འགྲེལ་པ་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པ་བཞུགས་སོ།,1606,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོད་པ་ལྟར་བཀོད་ཅིང། 《པེ་》ལ་༅། སྟོང་ཉིད་བདུན་ཅུ་པའི་རྒྱ་ཆེར་འགྲེལ་པ་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པ་བཞུགས་སོ། །ཞེས་དང། 《སྣར་》ལ་ ༅།སྟོང་ཉིད་བདུན་……མཛད་པ་བཞུགས། ཞེས་འཁོད།,,
,,3,2,《པེ་》《སྣར་》,ཊཱི་ཀ་བྲིཏྟི།,,
,,4,3,《སྣར་》,པ།,,
,,5,4,《པེ་》《སྣར་》,ཐོས།,,
,,6,5,《པེ་》《སྣར་》,འཇིག,,
,,7,6,《པེ་》《སྣར་》,mཔར།,,
,,8,7,《པེ་》《སྣར་》,པའི།,,
,1607,9,1,《པེ་》《སྣར་》,mཕྱིར།,,
,,10,2,《པེ་》《སྣར་》,འཁོན།,,
,,11,3,《པེ་》《སྣར་》,mསྐྱེ་བའི།,,
,,12,4,《པེ་》《སྣར་》,དེ།,,
,,13,5,《པེ་》《སྣར་》,འགྱུར་བའི།,,
,1608,14,1,《པེ་》《སྣར་》,འགུ།,,
,,15,2,《པེ་》《སྣར་》,pདུ།,,
,,16,3,《པེ་》《སྣར་》,མ་བལྟོས།,,
,,17,4,《པེ་》《སྣར་》,ནས།,,
,,18,5,《པེ་》《སྣར་》,གིས།,,
,,19,6,《པེ་》,ལོགས།,,
,,20,7,《པེ་》《སྣར་》,pདང།,,
,1609,21,1,《པེ་》,mནི།,,
,,22,2,《པེ་》《སྣར་》,པའམ།,,
,,23,3,《པེ་》,འཇིག་རྟེན་སྙད་དབང་གིས། །གསུང་གི།,《སྣར་》,གིས། །གསུང་གི།
,,24,4,《པེ་》,པ།,,
,,25,5,《པེ་》,pཀྱིས།,,
,,26,6,《སྣར་》,pཀྱི།,,
,,27,7,《པེ་》《སྣར་》,རིག,,
,,28,8,《པེ་》,mམ།,,
,,29,9,《པེ་》《སྣར་》,ནའི།,,
,1610,30,1,《པེ་》《སྣར་》,pལ།,,
