མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དབུ་མའི་མན་ངག་ཅེས་བྱ་བ།,283,2,1,《པེ་》《སྣར་》,༄༅། དབུ་མའི་མན་ངག་ཅེས་བྱ་བ་བཞུགས་སོ། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《སྣར་》,ན།,,,,,,
,,4,3,《པེ་》《སྣར་》,བཤགས་པའི་ཚད་ཙམ་ཀྱང་གཟུང་།,,,,,,
,284,5,1,《པེ་》《སྣར་》,pདབྱིབས་དང་བྲལ་བ། ནམ་མཁའ་དང་འདྲ་བས་མ་གྲུབ་པ་འམ་ཡང་ན་གཅིག་དང་དུ་མ་དང་བྲལ་བས་སམ་དེ་ཡང་འདི་ལྟར་འདས་པའི་སེམས་ནི་འགགས་ཤིང་ཞིག མ་འོངས་པའི་སེམས་ནི་མ་སྐྱེས་ཤིང་མ་བྱུང་། ད་ལྟར་གྱི་སེམས་ནི་འདི་ལྟར་ཡང་ཤིན་ཏུ་བརྟག་དཀའ་སྟེ། ཁ་དོག་མེད་ཅིང་།,,,,,,
,,6,2,《པེ་》《སྣར་》,པར།,,,,,,
,,7,3,《པེ་》《སྣར་》,སམ།,,,,,,
,,8,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,9,5,《པེ་》《སྣར་》,པས།,,,,,,
,,10,6,《པེ་》《སྣར་》,སྤྱད་ཅིང་བཞིགས།,,,,,,
,,11,7,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,12,8,《པེ་》《སྣར་》,pཉིད།,,,,,,
,,13,9,《པེ་》《སྣར་》,དེ་ཉིད་ཀྱང་།,,,,,,
,,14,10,《པེ་》《སྣར་》,པ།,,,,,,
,,15,11,《པེ་》《སྣར་》,དེར་ཤེས་པས།,,,,,,
,,16,12,《པེ་》《སྣར་》,mརྟོག ཅིར་ཡང་མི།,,,,,,
,285,17,1,《པེ་》《སྣར་》,བདེན་པ།,
,,18,2,《པེ་》《སྣར་》,མཁའ།,
,,19,3,《པེ་》《སྣར་》,བུ།,
,,20,4,《པེ་》《སྣར་》,སྤང་།,
,,21,5,《པེ་》《སྣར་》,ལྟར།,
,,22,6,《པེ་》《སྣར་》,སློབ་དཔོན་ཆེན་པོ་དཔལ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས།,
,,23,7,《པེ་》《སྣར་》,pརྒྱ་གར་གྱི་མཁན་པོ་དེ་ཉིད་དང་། ཞུ་ཆེན་གྱི། ,
,,24,8,《ཅོ་》,བྱ་བའི།,
,,25,9,《པེ་》《སྣར་》,ནགས་ཚེ།,
