མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
༄༅། །བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,1005,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,ཀྱིས།
,,4,3,《པེ་》《སྣར་》,བྱས་ཏེ།
,,5,4,《པེ་》《སྣར་》,བ།
,1006,6,1,《པེ་》《སྣར་》,པ།
,,7,2,《པེ་》《སྣར་》,སྤྱད།
,,8,3,《པེ་》《སྣར་》,བཏང་།
,,9,4,《ཅོ་》,བཞག
,,10,5,《ཅོ་》,ཡི།
,,11,6,《པེ་》《སྣར་》,འགྱུར།
,,12,7,《པེ་》《སྣར་》,སྤངས།
,1007,13,1,《པེ་》,གཟུགས།
,,14,2,《པེ་》《སྣར་》,སོང་།
,,15,3,《པེ་》《སྣར་》,བཞག
,,16,4,《པེ་》《སྣར་》,བསྐྱོད།
,,17,5,《པེ་》《སྣར་》,༼དེ་ལ།,
,,18,6,《པེ་》《སྣར་》,༽བྱ་བ།,
,,19,7,《པེ་》,བསྟན།,
,,20,8,《པེ་》《སྣར་》,སུ།,
,1008,21,1,《པེ་》《སྣར་》,པས་སོ།,
,,22,2,《པེ་》《སྣར་》,༽ཞེས་བྱ་བ།,
