མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཡི་གེར་བསྡུས་པ་བཞུགས།,1810,2,1,《པེ་》《སྣར་》,ཐེག་པ་ཆེན་པོའི་ལས་གྱི་སྒྲུབ་ཐབས་ཡི་གེར་བསྡུས་པ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,ཡ་ན་པ་ཐ་སཱ་དྷ་ན།,《སྣར་》,ཡཱ་ན་པ་ཐ་སཱ་དྷ།,,,,,
,,4,3,《པེ་》,བསྒྲུབས།,,,,,,
,,5,4,《པེ་》《སྣར་》,གསུང་།,,,,,,
,,6,5,《པེ་》《སྣར་》,གདེངས།,,,,,,
,,7,6,《པེ་》《སྣར་》,དེ།,,,,,,
,,8,7,《པེ་》《སྣར་》,བརྩམས།,,,,,,
,1811,9,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,10,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,11,3,《པེ་》《སྣར་》,རིགས།,,,,,,
,,12,4,《སྣར་》,བཞི།,,,,,,
,,13,5,《པེ་》《སྣར་》,དག,,,,,,
,,14,6,《པེ་》《སྣར་》,པ། །རྩྭ་ཡི།,,,,,,
,,15,7,《པེ་》《སྣར་》,ཁའི།,,,,,,
,,16,8,《པེ་》《སྣར་》,འཕུང་།,,,,,,
,1812,17,1,《པེ་》《སྣར་》,ཡི།,,
,,18,2,《པེ་》《སྣར་》,རྒོལ།,,
,,19,3,《པེ་》《སྣར་》,སྙམ།,,
,,20,4,《པེ་》《སྣར་》,གནས།,,
,,21,5,《པེ་》《སྣར་》,ཡོངས།,,
,1813,22,1,《པེ་》,སྲུང་།,,
,,23,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,24,3,《པེ་》《སྣར་》,ཀྱི།,,
,,25,4,《པེ་》《སྣར་》,ཀྱིས།,,
,,26,5,《པེ་》,བཞོམ།,,
,,27,6,《པེ་》《སྣར་》,རྟེན།,,
,,28,7,《པེ་》,ཀྱིས། །ལྕགས།,《སྣར་》,ཀྱིས། །ལྕག,
,,29,8,《པེ་》《སྣར་》,ཆེས།,,
,,30,9,《པེ་》《སྣར་》,ལས།,,
,1814,31,1,《པེ་》《སྣར་》,ཆོས།,,
,,32,2,《པེ་》《སྣར་》,ཀྱི།,,
,,33,3,《པེ་》,ཡིས། །གཤེས།,《སྣར་》,ཡི། །གཤེས།,
,,34,4,《པེ་》《སྣར་》,བརྟན།,,
,,35,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,36,6,《པེ་》《སྣར་》,བརྩམ།,,
,,37,7,《སྣར་》,སྤངས།,,
,,38,8,《པེ་》《སྣར་》,ལ།,,
,,39,9,《སྣར་》,ཚིགས།,,
,1815,40,1,《པེ་》《སྣར་》,རབ།,,
,,41,2,《པེ་》《སྣར་》,བསྟི།,,
,,42,3,《པེ་》《སྣར་》,ཡི།,,
,,43,4,《པེ་》《སྣར་》,སྤངས།,,
,,44,5,《སྣར་》,དེས།,,
,,45,6,《པེ་》《སྣར་》,བྱས།,,
,,46,7,《པེ་》《སྣར་》,ཡན།,,
,,47,8,《པེ་》《སྣར་》,གྱིས།,,
,,48,9,《པེ་》,གིས།,,
,,49,10,《པེ་》《སྣར་》,འཇིག,,
,1816,50,1,《པེ་》《སྣར་》,གནས་སུ།,,
,,51,2,《པེ་》《སྣར་》,སྤངས།,,
,,52,3,《པེ་》《སྣར་》,སྤང་།,,
,,53,4,《པེ་》《སྣར་》,རིག,,
,,54,5,《པེ་》《སྣར་》,སེམས།,,
,,55,6,《པེ་》《སྣར་》,གྱིས།,,
,,56,7,《པེ་》《སྣར་》,རིགས།,,
,1817,57,1,《པེ་》《སྣར་》,བདེ།,,
,,58,2,《པེ་》《སྣར་》,ཡི།,,
,,59,3,《པེ་》,ཡང་བྲལ་འཆིང་བར།,《སྣར་》,ཡང་བྲལ་འཆིངས་པར།,
,,60,4,《པེ་》《སྣར་》,གྱུར།,,
,,61,5,《པེ་》《སྣར་》,རྩྭ།,,
,,62,6,《སྣར་》,བློས།,,
,,63,7,《པེ་》《སྣར་》,སྐྱོན།,,
,,64,8,《པེ་》《སྣར་》,བསགས།,,
,,65,9,《པེ་》《སྣར་》,བསགས།,,
,,66,10,《པེ་》《སྣར་》,སྐྱེད།,,
,,67,11,《པེ་》,གྱིས།,,
,,68,12,《པེ་》《སྣར་》,ལ།,,
,1818,69,1,《པེ་》《སྣར་》,གཙུགས།,,
,,70,2,《པེ་》《སྣར་》,རྟེན།,,
,,71,3,《པེ་》《སྣར་》,ལྟ།,,
,,72,4,《པེ་》《སྣར་》,བརླབ།,,
,,73,5,《པེ་》,བཞི་ཐོས།,《སྣར་》,བཞིས་ཐོས།,
,,74,6,《པེ་》,སྐྱེས།,《སྣར་》,སྐྱེ།,
,,75,7,《པེ་》《སྣར་》,གཞུངས་མ།,,
