མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་པོའི་རྣམ་པར་དབྱེ་བ་བཤད་པ།,717,2,1,《པེ་》《སྣར་》,རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བ་དང་པོ་དང་རྣམ་པར་དབྱེ་བ་བཤད་པ། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,སྱཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,པོ་དང་།,,,,,,
,718,5,1,《པེ་》《སྣར་》,བུ།,,,,,,
,,6,2,《པེ་》,mཁྱེད།,,,,,,
,,7,3,《པེ་》,འབྲེང་།,,,,,,
,,8,4,《པེ་》《སྣར་》,པ།,,,,,,
,,9,5,《པེ་》《སྣར་》,དགོངས།,,,,,,
,,10,6,《པེ་》《སྣར་》,འབྲང་བ།,,,,,,
,,11,7,《པེ་》,ཀཏའི།,《སྣར་》,ཀཏྱའི།,,,,,
,719,12,1,《པེ་》,།། །།,,,,,,
,,13,2,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,14,3,《པེ་》《སྣར་》,བྱ་ཞེ།,,,,,,
,720,15,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,16,2,《པེ་》《སྣར་》,འབྲེལ།,,,,,,
,,17,3,《པེ་》《སྣར་》,ལས་ཚིག,
,,18,4,《པེ་》《སྣར་》,mབ།,
,,19,5,《པེ་》,གོས།,
,721,20,1,《པེ་》《སྣར་》,སྟི།,
,,21,2,《སྣར་》,ཞེན།,
,,22,3,《པེ་》《སྣར་》,ཕུབ།,
,,23,4,《པེ་》《སྣར་》,བབ།,
,,24,5,《པེ་》《སྣར་》,སྦྱར།,
,,25,6,《པེ་》《སྣར་》,ནས།,
,722,26,1,《པེ་》《སྣར་》,བབ།,
,,27,2,《པེ་》《སྣར་》,བབ།,
,,28,3,《པེ་》《སྣར་》,བབ།,
,,29,4,《པེ་》《སྣར་》,བབ།,
,,30,5,《ཅོ་》,ཏོག,
,,31,6,《པེ་》《སྣར་》,ཕྱེ།,
,,32,7,《པེ་》《སྣར་》,སོང་བའི།,
,,33,8,《པེ་》《སྣར་》,གྱི།,,,,,,
,,34,9,《པེ་》《སྣར་》,གྱི།,,,,,,
,,35,10,《པེ་》《སྣར་》,ལ།,,,,,,
,,36,11,《པེ་》《སྣར་》,mམི།,,,,,,
,723,37,1,《ཅོ་》,དགོངས།,,,,,,
,,38,2,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདིའི་ནང་གི་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,724,39,1,《པེ་》《སྣར་》,ན།,,,,,,
,725,40,1,《པེ་》,pགྱི།,,,,,,
,,41,2,《པེ་》《སྣར་》,པ།,,,,,,
,726,42,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,43,2,《པེ་》《སྣར་》,པའི་རྐྱེན་ཏོ།,,,,,,
,,44,3,《སྣར་》,ནས།,,,,,,
,727,45,1,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,46,2,《པེ་》《སྣར་》,བྱུང་།,,,,,,
,,47,3,《པེ་》,བྱུང་བའི་ཆོས།,《སྣར་》,བྱུང་བའི།,,,,,
,,48,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,49,5,《པེ་》《སྣར་》,བྱུང་།,
,,50,6,《པེ་》《སྣར་》,བཏགས།,
,,51,7,《སྣར་》,བྱུང་།,
,728,52,1,《པེ་》《སྣར་》,སྤྱིའི།,
,729,53,1,《པེ་》《སྣར་》,mཔ།,
,,54,2,《པེ་》《སྣར་》,mཔ།,
,,55,3,《པེ་》《སྣར་》,pམ་ཡིན།,
,,56,4,《སྣར་》,འདི།,
,730,57,1,《པེ་》《སྣར་》,ལས།,
,,58,2,《པེ་》《སྣར་》,ནས།,
,,59,3,《པེ་》《སྣར་》,ཚ།,
,,60,4,《པེ་》《སྣར་》,ཅེས།,
,,61,5,《པེ་》《སྣར་》,པའི།,
,,62,6,《པེ་》《སྣར་》,འགོག,
,731,63,1,《པེ་》《སྣར་》,རིགས།,
,,64,2,《པེ་》《སྣར་》,འགག,
,,65,3,《པེ་》《སྣར་》,པ།,
,,66,4,《པེ་》《སྣར་》,pདེ།,
,,67,5,《པེ་》《སྣར་》,pཔ།,
,,68,6,《པེ་》《སྣར་》,རིགས།,
,,69,7,《པེ་》《སྣར་》,pམ།,
,,70,8,《པེ་》《སྣར་》,ལ་རང་།,
,,71,9,《པེ་》《སྣར་》,གྱི།,
,,72,10,《སྣར་》,རྐྱང་།,
,732,73,1,《པེ་》《སྣར་》,pརོ།,
,,74,2,《སྣར་》,mམི་ཪིག་པ།,
,,75,3,《པེ་》《སྣར་》,ཀྱི།,
,,76,4,《པེ་》《སྣར་》,བར།,
,,77,5,《སྣར་》,གཉིས།,
,733,78,1,《པེ་》《སྣར་》,རིག,
,,79,2,《པེ་》《སྣར་》,དེ།,
,,80,3,《པེ་》《སྣར་》,པ།,
,,81,4,《པེ་》《སྣར་》,པའི།,
,,82,5,《པེ་》《སྣར་》,རྟོགས།,
,,83,6,《པེ་》《སྣར་》,mམ།,
,734,84,1,《པེ་》《སྣར་》,pམཐའ།,
,735,85,1,《པེ་》《སྣར་》,པར།,
,,86,2,《པེ་》《སྣར་》,ན།,
,,87,3,《པེ་》《སྣར་》,pསོགས་པ་ལ་སྡུག་བསྔལ་ལ།,
,736,88,1,《པེ་》《སྣར་》,འདྲེ།,
,,89,2,《པེ་》《སྣར་》,ལས།,
,,90,3,《པེ་》《སྣར་》,བརྩམས།,
,,91,4,《པེ་》《སྣར་》,བརྟེན།,
,737,92,1,《པེ་》《སྣར་》,དཔྱས།,
,,93,2,《པེ་》《སྣར་》,རྟོག,
,,94,3,《པེ་》《སྣར་》,འབྱུང་།,
,,95,4,《པེ་》,བོན་བཞག,《སྣར་》,བོར་བཞག
,738,96,1,《པེ་》,གིས།,
,,97,2,《པེ་》《སྣར་》,བར།,
,,98,3,《པེ་》《སྣར་》,རིགས།,
,,99,4,《པེ་》《སྣར་》,སྤང་བ།,
,739,100,1,《པེ་》《སྣར་》,mརྟོག,
,,101,2,《པེ་》《སྣར་》,པར།,
,,102,3,《པེ་》《སྣར་》,pཅན།,
,,103,4,《པེ་》《སྣར་》,བོ།,
,740,104,1,《པེ་》《སྣར་》,pམི།,
,741,105,1,《པེ་》《སྣར་》,ཏུ།,
,,106,2,《པེ་》《སྣར་》,pམ།,
,,107,3,《པེ་》,མཉམ།,
,,108,4,《པེ་》《སྣར་》,རྟོག,
,742,109,1,《པེ་》《སྣར་》,mནི།,
,743,110,1,《པེ་》《སྣར་》,བརྟན།,
,,111,2,《པེ་》《སྣར་》,བསྒོམ།,
,,112,3,《པེ་》《སྣར་》,pགང་།,
,,113,4,《པེ་》《སྣར་》《ཅོ་》,ནོ།,
,,114,5,《པེ་》《སྣར་》,ལུས།,
,744,115,1,《པེ་》《སྣར་》,པར།,
,,116,2,《པེ་》《སྣར་》,ལས།,
,,117,3,《པེ་》《སྣར་》,རིགས།,
,,118,4,《པེ་》《སྣར་》,pདག,
,745,119,1,《པེ་》《སྣར་》,pལ།,
,,120,2,《པེ་》《སྣར་》,རིགས།,
,,121,3,《པེ་》,མགུལ།,
,,122,4,《སྣར་》,mརོ།,
,746,123,1,《པེ་》《སྣར་》,ཚ།,
,,124,2,《པེ་》《སྣར་》,pཔའི།,
,,125,3,《པེ་》《སྣར་》,pབ།,
,,126,4,《པེ་》《སྣར་》,གྱི།,
,747,127,1,《པེ་》《སྣར་》,ཀྱིས།,
,,128,2,《པེ་》《སྣར་》,ཀྱིས།,
,,129,3,《སྣར་》,ཏེ།,
,748,130,1,《པེ་》《སྣར་》,ཀྱིས།,
,,131,2,《པེ་》《སྣར་》,འདི།,
,,132,3,《པེ་》《སྣར་》,བལྟོས།,
,,133,4,《པེ་》《སྣར་》,པ།,
,,134,5,《པེ་》《སྣར་》,ཏུ།,
,,135,6,《པེ་》《སྣར་》,pགང་།,
,,136,7,《པེ་》《སྣར་》,pགང་།,
,749,137,1,《པེ་》《སྣར་》,རྟས།,
,,138,2,《པེ་》《སྣར་》,གི།,
,,139,3,《པེ་》《སྣར་》,ཤེས།,
,,140,4,《པེ་》《སྣར་》,ཤེས།,
,,141,5,《པེ་》《སྣར་》,ཤེས།,
,,142,6,《སྣར་》,དང་།,
,,143,7,《པེ་》《སྣར་》,བརྟགས།,
,750,144,1,《པེ་》《སྣར་》,pདག,
,751,145,1,《པེ་》《སྣར་》,pགྱི།,
,,146,2,《པེ་》《སྣར་》,གྱི།,
,,147,3,《པེ་》《སྣར་》,བལྟོས་ནས།,
,753,148,1,《པེ་》《སྣར་》,ལྟར་མི་འགྱུར་རོ།,
,,149,2,《པེ་》《སྣར་》,བསྐྱེད།,
,,150,3,《པེ་》《སྣར་》,བཅགས།,
,,151,4,《པེ་》《སྣར་》,སྐྱེས།,
,,152,5,《པེ་》《སྣར་》,pདོ།,
,,153,6,《པེ་》《སྣར་》,pཀྱི།,
,,154,7,《པེ་》《སྣར་》,བསྐྱེད།,
,754,155,1,《པེ་》,བསམ་པ་སྟེ།,《སྣར་》,བསམས་པ་སྟེ།
,755,156,1,《པེ་》《སྣར་》,འདོན།,
,,157,2,《པེ་》《སྣར་》,mམ།,
,,158,3,《པེ་》《སྣར་》,ཆད།,
,,159,4,《པེ་》《སྣར་》,པར།,
,,160,5,《པེ་》《སྣར་》,བཅད།,
,756,161,1,《པེ་》《སྣར་》,ཏེ།,
,,162,2,《པེ་》《སྣར་》,པར།,
,,163,3,《པེ་》《སྣར་》,འཕངས།,
,,164,4,《པེ་》《སྣར་》,འཕངས།,
,,165,5,《པེ་》《སྣར་》,pལ།,
,,166,6,《པེ་》《སྣར་》,pནི།,
,,167,7,《པེ་》《སྣར་》,pཔ།,
,757,168,1,《པེ་》《སྣར་》,mདེ་ལྟར།,
,,169,2,《པེ་》《སྣར་》,པ།,
,,170,3,《པེ་》,དེ།,
,758,171,1,《པེ་》《སྣར་》,pཔ།,
,,172,2,《པེ་》《སྣར་》,ཤེས།,
,,173,3,《པེ་》《སྣར་》,བྱུང་།,
,,174,4,《པེ་》,ཉི་ཚེའི།,《སྣར་》,ཉིད་ཚེའི།
,759,175,1,《པེ་》《སྣར་》,mཅེས།,
,,176,2,《པེ་》《སྣར་》,ནས།,
,,177,3,《པེ་》《སྣར་》,རིག,
,,178,4,《པེ་》《སྣར་》,mགཟུགས།,
,,179,5,《པེ་》《སྣར་》,རིགས་པ་ཡིན་གྱི།,
,,180,6,《པེ་》《སྣར་》,pན།,
,,181,7,《པེ་》《སྣར་》,འདིར།,
,760,182,1,《པེ་》《སྣར་》,mལས།,
,,183,2,《པེ་》《སྣར་》,pནི།,
,,184,3,《པེ་》《སྣར་》,རིགས།,
,761,185,1,《པེ་》《སྣར་》,pཕྱིར།,
,,186,2,《པེ་》《སྣར་》,pམ།,
,,187,3,《པེ་》《སྣར་》,ལས།,
,762,188,1,《སྣར་》,pབ།,
,,189,2,《པེ་》《སྣར་》,སྐམས།,
,,190,3,《པེ་》《སྣར་》,pན་འོ་ན།,
,,191,4,《པེ་》《སྣར་》,mགང་།,
,,192,5,《པེ་》《སྣར་》,འགགས།,
,,193,6,《པེ་》《སྣར་》,བསྒོས།,
,763,194,1,《པེ་》《སྣར་》,རིགས།,
,,195,2,《པེ་》《སྣར་》,གི།,
,,196,3,《པེ་》,གྱི།,
,,197,4,《པེ་》《སྣར་》,ཚེའི།,
,,198,5,《པེ་》《སྣར་》,ཀྱིས།,
,764,199,1,《པེ་》《སྣར་》,pམེད།,
,,200,2,《པེ་》《སྣར་》,གྲག་གོ།,
,,201,3,《པེ་》《སྣར་》,ཏེ།,
,765,202,1,《པེ་》《སྣར་》,pསེམས།,
