མཚན་བྱང་། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,65,2,1,《པེ་》《སྣར་》,མངོན་པ་མཛོད་ཀྱི་རང་འགྲེལ་བམ་པོ་སུམ་ཅུ་པ་དབྱིག་གཉེན་གྱིས་མཛད་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཥཱམ་བྷ་ཥྱ་མ། ,,,,,,
,,4,3,《པེ་》《སྣར་》,བརྩོམ།,,,,,,
,,5,4,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,6,5,《སྣར་》,འདིའི།,,,,,,
,66,7,1,《པེ་》《སྣར་》,pརྣམས།,,,,,,
,,8,2,《པེ་》《སྣར་》,འདི།,,,,,,
,,9,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,10,4,《པེ་》《སྣར་》,མོངས།,,,,,,
,,11,5,《སྣར་》,mམི།,,,,,,
,,12,6,《ཅོ་》,བསྒྲུབ།,,,,,,
,,13,7,《པེ་》,གྲངས།,,,,,,
,,14,8,《པེ་》《སྣར་》,འཆགས།,,,,,,
,,15,9,《པེ་》《སྣར་》,རྒལ།,,,,,,
,,16,10,《པེ་》,བསྐལ་པ།,,,,,,
,,17,11,《པེ་》,བསྒྲུབ།,,,,,,
,,18,12,《པེ་》《སྣར་》,mན།,,,,,,
,67,19,1,《པེ་》《སྣར་》,སྨོས་སོ།,,,,,,
,,20,2,《ཅོ་》,ཅེས།,,,,,,
,,21,3,《པེ་》,བརྟགས།,,,,,,
,,22,4,《པེ་》《སྣར་》,བྱ།,,,,,,
,,23,5,《པེ་》《སྣར་》,mབ།,,,,,,
,,24,6,《པེ་》《སྣར་》,mགང་།,,,,,,
,,25,7,《པེ་》《སྣར་》,པ།,,,,,,
,,26,8,《པེ་》,ཚིགས།,,,,,,
,,27,9,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,28,10,《པེ་》《སྣར་》,mབྱ་བ།,,,,,,
,68,29,1,《པེ་》《སྣར་》,mའདི་ནི་ཆོས།,,,,,,
,,30,2,《པེ་》《སྣར་》,mསུས།,,,,,,
,,31,3,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,32,4,《པེ་》《སྣར་》,དབྱེ་བར།,,,,,,
,,33,5,《པེ་》《སྣར་》,གསིལ།,,,,,,
,,34,6,《པེ་》《སྣར་》,ཀ་ཧྱའི།,,,,,,
,,35,7,《པེ་》《སྣར་》,mབ།,,,,,,
,,36,8,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,69,37,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,38,2,《པེ་》《སྣར་》,mཀྱང་།,,,,,,
,,39,3,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,40,4,《པེ་》《སྣར་》,གང་།,,,,,,
,,41,5,《པེ་》《སྣར་》,mནི,,,,,,
,70,42,1,《པེ་》《སྣར་》,mབུ།,,,,,,
,,43,2,《པེ་》,རྙེད།,,,,,,
,,44,3,《པེ་》《སྣར་》,བྱའི།,,,,,,
,,45,4,《པེ་》《སྣར་》,ཏུ་གེགས།,,,,,,
,,46,5,《པེ་》《སྣར་》,གེགས།,,,,,,
,,47,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,48,7,《པེ་》《སྣར་》,mཔ།,,,,,,
,,49,8,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,50,9,《པེ་》《སྣར་》,གི།,,,,,,
,71,51,1,《པེ་》《སྣར་》,གི།,,,,,,
,,52,2,《སྣར་》,ཀྱི།,,,,,,
,,53,3,《པེ་》《སྣར་》,གི།,,,,,,
,,54,4,《པེ་》《སྣར་》,གི།,,,,,,
,,55,5,《སྣར་》,ལས།,,,,,,
,,56,6,《པེ་》《སྣར་》,mདང་ཤིང་།,,,,,,
,,57,7,《པེ་》,བཅས་གཞི།,《སྣར་》,བཅས་བཞི།,,,,,
,72,58,1,《པེ་》《སྣར་》,ནི།,,,,,,
,,59,2,《སྣར་》,ནོ།,,,,,,
,,60,3,《སྣར་》,ན།,,,,,,
,,61,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,,62,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,63,6,《པེ་》《སྣར་》,mན།,,,,,,
,73,64,1,《སྣར་》,pརྣ།,,,,,,
,,65,2,《པེ་》《སྣར་》,mདག།,,,,,,
,,66,3,《པེ་》《སྣར་》,པ།,,,,,,
,74,67,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,68,2,《པེ་》《སྣར་》,དམར།,,,,,,
,,69,3,《པེ་》《སྣར་》,དཀར།,,,,,,
,,70,4,《པེ་》《སྣར་》,mབ།,,,,,,
,,71,5,《པེ་》《སྣར་》,mལ།,,,,,,
,,72,6,《པེ་》《སྣར་》,སྙམ།,,,,,,
,,73,7,《སྣར་》,།། །།,,,,,,
,,74,8,《པེ་》《སྣར་》,mདེ་ལས།,,,,,,
,,75,9,《པེ་》《སྣར་》,ཕྱེའོ།,,,,,,
,,76,10,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,,
,,77,11,《པེ་》《སྣར་》,mདང་།,,,,,,
,,78,12,《པེ་》《སྣར་》,ཆར།,,,,,,
,75,79,1,《པེ་》《སྣར་》,དོ།།,,,,,,
,,80,2,《པེ་》,འབྱུང་།,,,,,,
,,81,3,《པེ་》,གི།,,,,,,
,,82,4,《སྣར་》,ན།,,,,,,
,,83,5,《པེ་》《སྣར་》,རོ།།,,,,,,
,,84,6,《པེ་》《སྣར་》,བྱའི།,,,,,,
,76,85,1,《པེ་》《སྣར་》,ཧྲུད་ཧྲུད།,,,,,,
,,86,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,87,3,《པེ་》《སྣར་》,ལ་ལྟ་བའི།,《ཅོ་》,བལྟ་བ། ,,,,,
,,88,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,77,89,1,《པེ་》《སྣར་》,mནམ།,,,,,,
,,90,2,《སྣར་》,ཤེས།,,,,,,
,,91,3,《པེ་》《སྣར་》,དགེ།,,,,,,
,,92,4,《པེ་》《སྣར་》,མི།,,,,,,
,,93,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,78,94,1,《པེ་》《སྣར་》,mགི།,,,,,,
,,95,2,《སྣར་》,ཤེས།,,,,,,
,,96,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,97,4,《པེ་》《སྣར་》,mདུ།,,,,,,
,,98,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,99,6,《པེ་》《སྣར་》,མ།,,,,,,
,79,100,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,101,2,《པེ་》《སྣར་》,དུ།,,,,,,
,,102,3,《པེ་》《སྣར་》,mགཟུགས་སུ་རུང་བའི་ཕྱིར་ཏེ།,,,,,,
,,103,4,《པེ་》《སྣར་》,ཅི།,,,,,,
,,104,5,《པེ་》《སྣར་》,mན།,,,,,,
,80,105,1,《པེ་》《སྣར་》,གི།,,,,,,
,,106,2,《པེ་》《སྣར་》,mཙམ་ཡིན་པ།,,,,,,
,81,107,1,《པེ་》《སྣར་》,པ།,,,,,,
,,108,2,《པེ་》《སྣར་》,pདེ་མི།,,,,,,
,,109,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,110,4,《པེ་》《སྣར་》,བཞག་པར།,,,,,,
,,111,5,《པེ་》《སྣར་》,སོགས།,,,,,,
,72,112,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,113,2,《པེ་》,གཞག,,,,,,
,,114,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,115,4,《པེ་》《སྣར་》,pབྱའོ། །ཞེས།,,,,,,
,,116,5,《པེ་》《སྣར་》,pམ།,,,,,,
,,117,6,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,118,7,《པེ་》《སྣར་》,mན།,,,,,,
,83,119,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,120,2,《པེ་》,པར།,,,,,,
,,121,3,《སྣར་》,mཀྱི།,,,,,,
,,122,4,《སྣར་》,ཡིད།,,,,,,
,,123,5,《སྣར་》,ལྟར།,,,,,,
,84,124,1,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,125,2,《པེ་》《སྣར་》,པ།,,,,,,
,,126,3,《པེ་》《སྣར་》,དོ།།,,,,,,
,,127,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,128,5,《པེ་》,ཀྱིས་ཆོས།,《སྣར་》,ཀྱི་ཆོས།,,,,,
,85,129,1,《པེ་》《སྣར་》,གིས།,,,,,,
,,130,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,131,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,132,4,《པེ་》《སྣར་》,mཡུལ།,,,,,,
,,133,5,《པེ་》《སྣར་》,སྒོ།,,,,,,
,86,134,1,《པེ་》《སྣར་》,mགང་ཡིན་པ།,,,,,,
,,135,2,《པེ་》《སྣར་》,mབ།,,,,,,
,,136,3,《པེ་》《སྣར་》,བལྟོས།,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་༧༢ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,87,137,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,138,2,《པེ་》《སྣར་》,mལས།,,,,,,
,,139,3,《པེ་》《སྣར་》,mརི།,,,,,,
,,140,4,《པེ་》《སྣར་》,ན།,,,,,,
,,141,5,《སྣར་》,བསྐལ་པ།,,,,,,
,,142,6,《པེ་》《སྣར་》,pཀྱི།,,,,,,
,,143,7,《པེ་》《སྣར་》,pགི།,,,,,,
,,144,8,《པེ་》《སྣར་》,ནི།,,,,,,
,,145,9,《པེ་》《སྣར་》,pནོ།།,,,,,,
,,146,10,《པེ་》《སྣར་》,ནོ།,,,,,,
,,147,11,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,148,12,《པེ་》《སྣར་》,དུ།,,,,,,
,88,149,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,150,2,《པེ་》《སྣར་》,mལས།,,,,,,
,,151,3,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,,
,,152,4,《པེ་》《སྣར་》,mདེ།,,,,,,
,,153,5,《པེ་》《སྣར་》,mཡིན།,,,,,,
,,154,6,《པེ་》,གོ།,《སྣར་》,ག,,,,,
,,155,7,《པེ་》《སྣར་》,mཀྱིས།,,,,,,
,89,156,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,157,2,《སྣར་》,ཏེ།,,,,,,
,,158,3,《པེ་》《སྣར་》,རྒྱུའི།,,,,,,
,90,159,1,《པེ་》《སྣར་》,ནི།,,,,,,
,,160,2,《པེ་》《སྣར་》,གི།,,,,,,
,,161,3,《པེ་》《སྣར་》,pམ།,,,,,,
,,162,4,《པེ་》《སྣར་》,རྩོག,,,,,,
,91,163,1,《པེ་》《སྣར་》,mན།,,,,,,
,,164,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,165,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,166,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,92,167,1,《པེ་》《སྣར་》,བཞི།,,,,,,
,,168,2,《པེ་》《སྣར་》,རླུང་།,,,,,,
,,169,3,《པེ་》《སྣར་》,mདེའི་འོག་ན་ནི་སྣའིའོ།།,,,,,,
,,170,4,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,171,5,《པེ་》《སྣར་》,ཇི།,,,,,,
,93,172,1,《པེ་》《སྣར་》,mགི།,,,,,,
,,173,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,174,3,《སྣར་》,བརྗོད།,,,,,,
,,175,4,《པེ་》,ཡང་དེར།,《སྣར་》,ཡང་དེ།,,,,,
,,176,5,《པེ་》《སྣར་》,དུ།,,,,,,
,,177,6,《པེ་》《སྣར་》,ཤུས་རགས།,,,,,,
,,178,7,《པེ་》《སྣར་》,ཤ་དང་ལྷ།,,,,,,
,94,179,1,《པེ་》,གྱི་མནོན།,,,,,,
,,180,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,181,3,《པེ་》《སྣར་》,pབོ།,,,,,,
,,182,4,《པེ་》《སྣར་》,mཔོ།,,,,,,
,95,183,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,184,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,185,3,《པེ་》《སྣར་》,mཀྱང་།,,,,,,
,,186,4,《པེ་》《སྣར་》,པར་ཤེས་པ།,,,,,,
,,187,5,《པེ་》《སྣར་》,mབཞི།,,,,,,
,,188,6,《པེ་》《སྣར་》,mགྱི།,,,,,,
,96,189,1,《པེ་》《སྣར་》,mཡིན་པར།,,,,,,
,,190,2,《པེ་》《སྣར་》,བྱ།,,,,,,
,,191,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,192,4,《སྣར་》,པས།,,,,,,
