མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་པ་གཞི་ཐམས་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།,200,2,1,《པེ་》《སྣར་》,འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན་ཞེས་བྱ་བ་སློབ་དཔོན་ཤཱཀྱ་འོད་ཀྱི་མཛད་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,སརྦཱ་སྟི་བ་ད་ཤཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀཱ་རི་ཀ།,《ཅོ་》,ཀྵ་རི་ཀཱ།,,,,,
,,5,4,《པེ་》《སྣར་》,mགཞི།,,,,,,
,,6,5,《སྣར་》,ལེའུ།,,,,,,
,,7,6,《སྣར་》,།། །།,,,,,,
,,8,7,《པེ་》《སྣར་》,སོགས།,,,,,,
,,9,8,《པེ་》《སྣར་》,མཚོ།,,,,,,
,,10,9,《པེ་》《སྣར་》,རྒལ།,,,,,,
,201,11,1,《པེ་》《སྣར་》,སྨྲ།,,,,,,
,,12,2,《པེ་》《སྣར་》,པ།,,,,,,
,,13,3,《པེ་》《སྣར་》,སྨྲ།,,,,,,
,,14,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,15,5,《སྣར་》,pདེ།,,,,,,
,,16,6,《པེ་》《སྣར་》,བ།,,,,,,
,202,17,1,《པེ་》《སྣར་》,མཐོ།,
,,18,2,《པེ་》《སྣར་》,རྫུན།,
,,19,3,《པེ་》《སྣར་》,སོགས།,
,,20,4,《པེ་》《སྣར་》,ཆེ།,
,,21,5,《པེ་》《སྣར་》,ནོར།,
,,22,6,《པེ་》,མལ་ཆེ།,《སྣར་》,མེལ་ཆེ།
,,23,7,《པེ་》《སྣར་》,སྒྲར།,
,,24,8,《པེ་》《སྣར་》,ཕྱིར།,
,203,25,1,《པེ་》《སྣར་》,mཟས་ནི་བཟའ་བ་སྟེ་མ་ནིང་གི་རྟགས་སུ་བསྟན་ཏོ།།,
,,26,2,《པེ་》《སྣར་》,mཔ་ཡིན།,
,,27,3,《པེ་》《སྣར་》,གྱི།,
,,28,4,《པེ་》《སྣར་》,གྱི།,
,,29,5,《པེ་》《སྣར་》,རིམ་གྱིས།,
,204,30,1,《པེ་》《སྣར་》,བཞག,
,,31,2,《སྣར་》,སྲོགས།,
,,32,3,《པེ་》《སྣར་》,བཞག,
,,33,4,《པེ་》《སྣར་》,པར།,
,,34,5,《པེ་》《སྣར་》,བཞག་གོ།,
,,35,6,《པེ་》《སྣར་》,བཞག,
,,36,7,《པེ་》《སྣར་》,pདང་།,
,,37,8,《པེ་》《སྣར་》,pཔ།,
,205,38,1,《པེ་》《སྣར་》,mདེ་ལ་སྲོག་གཅོད་པའི་…...སྨྱན་ལ་སོགས་པ་སྟེ་དེ་བཞིན་དུ། ,
,,39,2,《པེ་》《སྣར་》,བརྐོ།,
,,40,3,《སྣར་》,སྤངས།,
,,41,4,《པེ་》,འཛེག,《སྣར་》,འཛག
,,42,5,《པེ་》《ཅོ་》,རྩ།,
,,43,6,《པེ་》《སྣར་》,གསོག,
,,44,7,《ཅོ་》,བསླབས།,
