མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,386,2,1,《པེ་》《སྣར་》,༄༅།།དཔལ་བོའི་སྐྱེས་རབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ཛ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ལ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཕན།,,,,,,
,,6,5,《པེ་》《སྣར་》,ཚིག,,,,,,
,,7,6,《པེ་》《སྣར་》,གིས།,,,,,,
,387,8,1,《པེ་》《སྣར་》,pཞེས་བྱ་བའི་བར་དུ་སྟེ།,,,,,,
,,9,2,《སྣར་》,mསོ།,,,,,,
,,10,3,《སྣར་》,pསུ།,,,,,,
,,11,4,《པེ་》《སྣར་》,པའོ།,,,,,,
,,12,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,388,13,1,《པེ་》《སྣར་》,པ་དང་།,,,,,,
,,14,2,《པེ་》《སྣར་》,བསྔོ།,,,,,,
,,15,3,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,16,4,《པེ་》《སྣར་》,བྱ་བའི།,,,,,,
,,17,5,《པེ་》《སྣར་》,mབཞིན་དུ།,,,,,,
,,18,6,《པེ་》《སྣར་》,སྨྲས།  སྨྲོས།,,,,,,
,,19,7,《སྣར་》,པར།,,,,,,
,389,20,1,《སྣར་》,mན།,,,,,,
,,21,2,《པེ་》《སྣར་》,pསྤྱོད་པ།,,,,,,
,,22,3,《པེ་》《སྣར་》,མི།,,,,,,
,,23,4,《པེ་》《སྣར་》,pདང་།,,,,,,
,,24,5,《པེ་》《སྣར་》,སྦྱོར།,,,,,,
,,25,6,《པེ་》《སྣར་》,ནི།,,,,,,
,,26,7,《པེ་》《སྣར་》,དོགས།,,,,,,
,,27,8,《པེ་》,ཚིག་བཅད།,《སྣར་》,ཚིག་ཆད།,,,,,
,,28,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,390,29,1,《པེ་》,ལ་བརྩམས། ,《སྣར་》,ལ་བསམས།,,,,,
,,30,2,《སྣར་》,བསྟེན།,,,,,,
,,31,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,32,4,《པེ་》《སྣར་》,པ།,,,,,,
,,33,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,34,6,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,35,7,《སྣར་》,ཤེས།,,,,,,
,,36,8,《པེ་》《སྣར་》,བས།,,,,,,
,,37,9,《པེ་》《སྣར་》,ནི།,,,,,,
,,38,10,《པེ་》《སྣར་》,ན།,,,,,,
,,39,11,《པེ་》《སྣར་》,གྱུར།,,,,,,
,391,40,1,《པེ་》《སྣར་》,འགྱུར་བའི།,,,,,,
,,41,2,《པེ་》《སྣར་》,པ།,,,,,,
,,42,3,《པེ་》《སྣར་》,གྱི་དོན་དུ།,,,,,,
,,43,4,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,44,5,《པེ་》《སྣར་》,pལ།,,,,,,
,,45,6,《པེ་》《སྣར་》,གྱུར་པ།,,,,,,
,,46,7,《པེ་》《སྣར་》,mདང་།,,,,,,
,,47,8,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,48,9,《པེ་》《སྣར་》,རྣམ་པ།,,,,,,
