མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།,1473,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》༄༅། །འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,ར།,
,,4,3,《པེ་》《སྣར་》,པདྨར།,
,,5,4,《པེ་》《སྣར་》,ལ་ལ་རུ།,
,,6,5,《པེ་》《སྣར་》,ཏེ།,
,,7,6,《པེ་》《སྣར་》,ཀྱི།,
,,8,7,《པེ་》《སྣར་》,གྱི།,
,,9,8,《པེ་》《སྣར་》,ཀྱི།,
,,10,9,《པེ་》《སྣར་》,དག,
,1474,11,1,《པེ་》,སརྦ་དྷརྨ་སྭཱ་བྷཱ་ཤུདྡྷོ་ཧཾ།,《སྣར་》,སརྦ་དྷརྨ་སྭ་བྷ་བ་ཤུདྡྷོ་ཧཾ།
,,12,2,《པེ་》《སྣར་》,m྅།,
,,13,3,《པེ་》《སྣར་》,mཚད།,
,,14,4,《པེ་》《སྣར་》,mཡི་དམ་སྒྲོལ་མ།,
,,15,5,《པེ་》《སྣར་》,མཁྲེང་བ།,
,,16,6,《པེ་》《སྣར་》,ཡེ་ཤེས་སེམས་དཔའ་བཀུག་སྟེ།,
,,17,7,《པེ་》《སྣར་》,དེ།,
,1475,18,1,《པེ་》,དྲང་ལ།,《སྣར་》,དྲངས་ལ།
,,19,2,《པེ་》《སྣར་》,mགི།,
,,20,3,《པེ་》《སྣར་》,ལྟ།,
,,21,4,《པེ་》《སྣར་》,ཀྱིས།,
,,22,5,《པེ་》《སྣར་》,ཨ་དྱ།,
,,23,6,《པེ་》《སྣར་》,mབ།,
,,24,7,《སྣར་》,ཏུ།,
,,25,8,《སྣར་》,mལོ།,
,,26,9,《པེ་》《སྣར་》,ནས།,
,,27,10,《པེ་》《སྣར་》,mདངོས་གྲུབ་ཐོབ་,
,,28,11,《པེ་》《སྣར་》,སྲུང་།,
,,29,12,《སྣར་》,ཟླས།,
,,30,13,《པེ་》《སྣར་》,བསྲུང་།,
,,31,14,《པེ་》《སྣར་》,བསྲུང་།,
,,32,15,《པེ་》《སྣར་》,བར།,
,1476,33,1,《པེ་》《སྣར་》,mབ།,
,,34,2,《པེ་》《སྣར་》,mཿ།,
,,35,3,《པེ་》《སྣར་》,ཨོཾ་ཏཱ་རེ་ཏུཏྟཱ་རེ་ཏུ་རེ་སྭཱ་ཧཱ་སརྦ་དུཥྚན།,
,,36,4,《པེ་》《སྣར་》,དུཥྚན།,
,,37,5,《པེ་》《སྣར་》,མ་ཧཱ།,
,,38,6,《པེ་》《སྣར་》,སརྦ་དུཥྚན།,
,,39,7,《པེ་》《སྣར་》,བོར།,
,,40,8,《པེ་》,པ།,《སྣར་》,པར།
,,41,9,《པེ་》《སྣར་》,pཔ།,
,,42,10,《སྣར་》,བར།,
,,43,11,《པེ་》《སྣར་》,རིངས།,
,,44,12,《པེ་》《སྣར་》,pཔའོ།,
,,45,13,《པེ་》《སྣར་》,ལོཙྪ།,
