མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
༄༅། །ཚུལ་ཁྲིམས་ཀྱི་གཏམ་བཞུགས་སོ། །,460,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》ལ་ཚུལ་ཁྲིམས་ཀྱི་གཏམ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,དག,
,,4,3,《སྣར་》,བརྒྱ།,
,,5,4,《པེ་》《སྣར་》,པར།,
,,6,5,《པེ་》《སྣར་》,པ་རྒྱུ། །ཁྲུས་ཀྱི།,
,461,7,1,《པེ་》《སྣར་》,སྒྱུ།,
,,8,2,《པེ་》《སྣར་》,pའམ།,
,,9,3,《པེ་》《སྣར་》,བརྟེན།,
,,10,4,《པེ་》《སྣར་》,འགའ།,
,,11,5,《པེ་》《སྣར་》,མཆོག,
,,12,6,《ཅོ་》,པ།,
,,13,7,《པེ་》《སྣར་》,བསྲུང་།,
,,14,8,《སྣར་》,བསྲུངས།,
,,15,9,《པེ་》《སྣར་》,བཞག,
,,16,10,《པེ་》《སྣར་》,ན།,
,,17,11,《པེ་》《སྣར་》,mཞུས་ཏེ།,,
