མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།,57,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 《པེ་》《སྣར་》ལ་ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ་བཞུགས་སོ། །ཞེས་འཁོད། 
,,3,2,《པེ་》《སྣར་》,མུཙྪ།,,,,,,
,,4,3,《སྣར་》,mསུམ།,,,,,,
,,5,4,《པེ་》《སྣར་》,བླངས་པར།,,,,,,
,58,6,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,7,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,8,3,《པེ་》《སྣར་》,རིགས།,,,,,,
,,9,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,10,5,《པེ་》《སྣར་》,ལ།,,,,,,
,,11,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,,12,7,《པེ་》,ཕྱི་ཡི།,《སྣར་》,ཕྱིའི།,,,,,
,,13,8,《པེ་》《སྣར་》《ཅོ་》,mཔ།,,,,,,
,,14,9,《པེ་》《སྣར་》《ཅོ་》,ཀྱིས།,,,,,,
,,15,10,《པེ་》《སྣར་》《ཅོ་》,སྙད།,,,,,,
,,16,11,《པེ་》《སྣར་》《ཅོ་》,གཟུང།,,,,,,
,59,17,1,《པེ་》《སྣར་》,པ་ཉིད་དུ།,,,,,,
,,18,2,《པེ་》《སྣར་》《ཅོ་》,རྟོག,,,,,,
,,19,3,《ཅོ་》,mདེ།,,,,,,
,,20,4,《ཅོ་》,mསོགས།,,,,,,
,,21,5,《ཅོ་》,mདུ།,,,,,,
,,22,6,《པེ་》《སྣར་》《ཅོ་》,mདོན།,,,,,,
,,23,7,《པེ་》《སྣར་》,མཆོད།,,,,,,
,,24,8,《པེ་》《སྣར་》,mཔར།,,,,,,
,,25,9,《པེ་》《སྣར་》,mདུ།,,,,,,
,,26,10,《པེ་》《སྣར་》《ཅོ་》,སྐྱེས།,,,,,,
,,27,11,《པེ་》《སྣར་》,མ།,《ཅོ་》,ཞེ་ན།,,,,,
,,28,12,《པེ་》《སྣར་》,མིན།,,,,,,
,60,29,1,《པེ་》《སྣར་》《ཅོ་》,mདེ།,,,,,,
,,30,2,《པེ་》《སྣར་》《ཅོ་》,ནོ།,,,,,,
,61,31,1,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཙན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,32,2,《པེ་》《སྣར་》,mརོ།,,,,,,
,,33,3,《པེ་》《སྣར་》,mབཞིན།,,,,,,
,,34,4,《པེ་》《སྣར་》,གཞན།,,,,,,
,,35,5,《པེ་》《སྣར་》,mདང།,,,,,,
,,36,6,《པེ་》《སྣར་》,འདོགས།,,,,,,
,62,37,1,《པེ་》《སྣར་》,རང།,,,,,,
,,38,2,《པེ་》《སྣར་》,པ།,,,,,,
,,39,3,《པེ་》《སྣར་》,pདེ།,,,,,,
,,40,4,《པེ་》《སྣར་》,བོའི།,,,,,,
,,41,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,42,6,《པེ་》《སྣར་》,ལ།,,,,,,
,,43,7,《པེ་》《སྣར་》,རྣམ་རིག,,,,,,
,,44,8,《པེ་》《སྣར་》,པའི།,,,,,,
,,45,9,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,46,10,《པེ་》《སྣར་》,དེ།,,,,,,
,,47,11,《པེ་》《སྣར་》,ན་ནི་ཤེས།,,,,,,
,63,48,1,《པེ་》《སྣར་》,ཕྱི།,,,,,,
,,49,2,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,50,3,《པེ་》《སྣར་》,བསྐྱེད་དེ།,,,,,,
,,51,4,《པེ་》《སྣར་》,pཤེས་པ།,,,,,,
,,52,5,《པེ་》《སྣར་》,mཞེ་ན།,,,,,,
,,53,6,《པེ་》《སྣར་》,pགི།,,,,,,
,,54,7,《པེ་》《སྣར་》,གཞན།,,,,,,
,,55,8,《པེ་》《སྣར་》,pབོ།།,,,,,,
,,56,9,《པེ་》《སྣར་》,རྟོག,,,,,,
,,57,10,《པེ་》《སྣར་》,།། །།,,,,,,
,,58,11,《པེ་》《སྣར་》,ལ།,,,,,,
,,59,12,《པེ་》,གྱི།,,,,,,
,,60,13,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,64,61,1,《པེ་》《སྣར་》,དེ་ལ།,,,,,,
,,62,2,《པེ་》,བཞི་ལས་སྐྱེ་བའོ།,《སྣར་》,བཞི་ལས་སྐྱེས་པའོ།,,,,,
,,63,3,《པེ་》《སྣར་》,འདི།,,,,,,
,,64,4,《པེ་》《སྣར་》,pལ།,,,,,,
,,65,5,《པེ་》《སྣར་》,pལ།,,,,,,
,65,66,1,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,,67,2,《པེ་》《སྣར་》,mཡང།,,,,,,
,,68,3,《པེ་》《སྣར་》,pནི།,,,,,,
,,69,4,《པེ་》《སྣར་》,mཔ།,,,,,,
,,70,5,《པེ་》《སྣར་》,ནི་ཡུལ་དེའི་སྤྱིའི།,,,,,,
,,71,6,《པེ་》《སྣར་》,པའོ།,,,,,,
,,72,7,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,73,8,《པེ་》《སྣར་》,ལ།,,,,,,
,66,74,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,75,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,76,3,《པེ་》《སྣར་》,གྱི་ཚིག,,,,,,
,,77,4,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,78,5,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,79,6,《པེ་》《སྣར་》,pཔ།,,,,,,
,,80,7,《པེ་》《སྣར་》,pན།,,,,,,
,,81,8,《པེ་》《སྣར་》,མཚམས།,,,,,,
,,82,9,《པེ་》《སྣར་》,ཚག,,,,,,
,,83,10,《པེ་》《སྣར་》,mལ།,,,,,,
,,84,11,《པེ་》《སྣར་》,mལ།,,,,,,
,,85,12,《པེ་》《སྣར་》,ཡང།,,,,,,
,67,86,1,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,87,2,《པེ་》《སྣར་》,མོད།,,,,,,
,,88,3,《སྣར་》,ཀྱིས།,,,,,,
,,89,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,90,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,,91,6,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,92,7,《པེ་》,རྟེན།,,,,,,
