མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །དུས་གསུམ་བརྟག་པ་ཞེས་བྱ་བ། ,437,2,1,《པེ་》《སྣར་》,དུས་གསུམ་བརྟག་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 
,,3,2,《པེ་》《སྣར་》,གལ།,,,,,,
,,4,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,5,4,《པེ་》《སྣར་》,བོ།,,,,,,
,438,6,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,7,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,8,3,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,9,4,《པེ་》,བསྟེན།,,,,,,
,,10,5,《པེ་》《སྣར་》,བརྟག,,,,,,
,,11,6,《པེ་》《སྣར་》,རྟགས།,,,,,,
,439,12,1,《པེ་》《སྣར་》,mགི།,,,,,,
,,13,2,《པེ་》《སྣར་》,པོའི།,,,,,,
,,14,3,《པེ་》《སྣར་》,ཁྲ།,,,,,,
,,15,4,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,16,5,《སྣར་》,གྱིས།,,,,,,
,,17,6,《པེ་》《སྣར་》,m+,
,,18,7,《པེ་》,གྱིས།,
,440,19,1,《པེ་》《སྣར་》,རྟོགས།,
,,20,2,《པེ་》《སྣར་》,མི།,
,,21,3,《པེ་》,ཤཱནྟ་ཀཱ།,
,,22,4,《པེ་》《སྣར་》,mདང།,
,,23,5,《པེ་》《སྣར་》,ཙ།,
