མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,469,2,1,《པེ་》《སྣར་》,ཚད་མ་རྣམ་འགྲེལ་བཞུགས་སོ། ,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,བིརྟ་ཀ,,,,,,
,470,4,1,《པེ་》《སྣར་》,མིན།,,,,,,
,,5,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,6,3,《པེ་》《སྣར་》,ལྷག,,,,,,
,,7,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,8,5,《པེ་》《སྣར་》,གྱི།,,,,,,
,471,9,1,《སྣར་》,pཔ།,,,,,,
,,10,2,《པེ་》《སྣར་》,སྦྱར།,,,,,,
,,11,3,《པེ་》《སྣར་》,pཔ།,,,,,,
,,12,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,472,13,1,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,14,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,15,3,《པེ་》《སྣར་》,འབའ།,,,,,,
,,16,4,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,17,5,《པེ་》《སྣར་》,པ།,,,,,,
,,18,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,19,7,《པེ་》《སྣར་》,པར།,,,,,,
,,20,8,《པེ་》《སྣར་》,ནི།,,,,,,
,,21,9,《སྣར་》,གྱིས།,,,,,,
,,22,10,《པེ་》《སྣར་》,གཞན།,,,,,,
,,23,11,《པེ་》《སྣར་》,བུའི།,,,,,,
,473,24,1,《པེ་》《སྣར་》,བ།,,,,,,
,474,25,1,《པེ་》《སྣར་》,འདིར།,,,,,,
,,26,2,《པེ་》《སྣར་》,རྟག,,,,,,
,,27,3,《སྣར་》,པ།,,,,,,
,,28,4,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,29,5,《པེ་》《སྣར་》,པོ་ལ།,,,,,,
