མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དེ་ཁོ་ན་ཉིད་བསྡུས་པའི་དཀའ་འགྲེལ།,991,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་སྟོད་ཟེ་དུམ་པའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,4,3,《པེ་》《སྣར་》,པར།,,,,,,
,,5,4,《པེ་》《སྣར་》,བསྒྲུབ་བྱའི།,,,,,,
,,6,5,《པེ་》,ཁྱད།,《སྣར་》,ཁྱད་པར་གྲུབ་པའི་ཁྱད།,,,,,
,,7,6,《པེ་》《སྣར་》,གྱི།,,,,,,
,,8,7,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,9,8,《པེ་》《སྣར་》,གྱིས།,,,,,,
,992,10,1,《པེ་》《སྣར་》,འཆང་།,,,,,,
,,11,2,《པེ་》,རྟོགས།,,,,,,
,,12,3,《པེ་》,རྟོགས།,,,,,,
,,13,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,14,5,《པེ་》《སྣར་》,པ་ཡི།,,,,,,
,,15,6,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,16,7,《པེ་》《སྣར་》,mབ།,,,,,,
,,17,8,《སྣར་》,གིས།,,,,,,
,,18,9,《པེ་》《སྣར་》,རྩིང་བ།,,,,,,
,993,19,1,《པེ་》《སྣར་》,གང་།,,,,,,
,,20,2,《པེ་》《སྣར་》,འགྲུབ།,,,,,,
,,21,3,《པེ་》《སྣར་》,ཀྱི་རྟོགས།,,,,,,
,,22,4,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,23,5,《པེ་》《སྣར་》,pའདི་ལྟར།,,,,,,
,,24,6,《པེ་》《སྣར་》,mལ།,,,,,,
,,25,7,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,26,8,《པེ་》《སྣར་》,བསྒོས།,,,,,,
,994,27,1,《པེ་》《སྣར་》,གི་ཕྱིར།,,,,,,
,,28,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,29,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,30,4,《པེ་》《སྣར་》,བཞག ,,,,,,(ཆོས་ཚན་འདི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,31,5,《སྣར་》,པས།,,,,,,
,,32,6,《པེ་》《སྣར་》,གྱི།,,,,,,
