མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,,མཆན།
འཇིག་རྟེན་ལས་འདས་པའི་ཡན་ལག་བདུན་པའི་ཆོ་ག ,545,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》 ༄། འཇིག་རྟེན་ལས་འདས་པའི་ཡན་ལག་བདུན་པའི་ཆོ་ག་ཞེས་བྱ་བ་བཞུགས་སོ།།
,,3,2,《པེ་》《སྣར་》,mཿ།
,,4,3,《པེ་》《སྣར་》,རྗེ།
,,5,4,《པེ་》《སྣར་》,མཆོད།
,,6,5,《པེ་》《སྣར་》,རྗེ།
,,7,6,《པེ་》《སྣར་》,འཆགས།
,546,8,1,《པེ་》《སྣར་》,བསྐུལ།
,,9,2,《པེ་》《སྣར་》,རིགས།
,,10,3,《ཅོ་》,པར།
,,11,4,《པེ་》《སྣར་》,བསྔོས།
,,12,5,《ཅོ་》,སྔགས།
,,13,6,《པེ་》《སྣར་》,pཔཎྜི་ཏ་དེ་ཉིད་དང་ལོ་ཙཱ་བ་ཤཱཀྱ་བློ་གྲོས་ཀྱིས་བསྒྱུར་རོ།།
