མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ། ,327,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 《པེ་》༄༅། །འཕགས་པ་འཇམ་པའི་དབྱངས་ཀྱི་བསྟོད་པ་བཞུགས།,
,,3,2,《པེ་》,མཾ་ཛུ་གྷོ་ཥ་སྟོ་ཏྲཾ།,《སྣར་》,མཉྫུ་གྷོ་ཥ་སྟོ་ཏྲཾ།
,,4,3,《པེ་》《སྣར་》,ནུར།,
,,5,4,《པེ་》,ཡི།,
,,6,5,《སྣར་》,མཁའི།,
,,7,6,《པེ་》,བ་སྟོན་པར་མཛད།,《སྣར་》,བ་སྟེན་པར་མཛད།
,,8,7,《སྣར་》,ཀྱིས།,
,,9,8,《སྣར་》,ཡི།,
,328,10,1,《པེ་》《སྣར་》,མཐུར་འགྱུར།,
,,11,2,《སྣར་》,འདིས།,
,,12,3,《སྣར་》,འཆི།,
,,13,4,《སྣར་》,བགྲད་པ།,
,,14,5,《པེ་》《སྣར་》,ལྟུང།,
,,15,6,《པེ་》,ཁོང་དུ།,
,,16,7,《པེ་》《སྣར་》,ལྟར་མཉེན།,
,,17,8,《སྣར་》,དགའ།,
,,18,9,《པེ་》《སྣར་》,གྱིས།,
,329,19,1,《པེ་》,བའི།,《སྣར་》,བ་ཡི།
