མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། 
,202,2,1,《པེ་》《སྣར་》,ཟློག
,,3,2,《པེ་》《སྣར་》,དང་།
,,4,3,《སྣར་》,བཞི།
,203,5,1,《པེ་》《སྣར་》,ལ།
,,6,2,《སྣར་》,ཀྱིས།
,,7,3,《པེ་》《སྣར་》,mབྱས།
,,8,4,《པེ་》《སྣར་》,སྒྱུར།
,,9,5,《པེ་》《སྣར་》,བླུད་འཐེབ།
,,10,6,《པེ་》《སྣར་》,ནས།
,,11,7,《པེ་》《སྣར་》,pརེ།
,,12,8,《པེ་》《སྣར་》,སྒྱུར།
,,13,9,《པེ་》《སྣར་》,བཞུག
,,14,10,《པེ་》《སྣར་》,རྣམས།
,,15,11,《པེ་》《སྣར་》,ཆིབས།
,205,16,1,《པེ་》《སྣར་》,དྲེ།
,,17,2,《པེ་》《སྣར་》,སྦོ།
,,18,3,《པེ་》《སྣར་》,སྟེངས།
,,19,4,《པེ་》《སྣར་》,pཔ།
,206,20,1,《པེ་》《སྣར་》,ལྗོང་།
,,21,2,《སྣར་》,བོག་དབང་པོ།
,207,22,1,《པེ་》《སྣར་》,པོ།
,,23,2,《པེ་》《སྣར་》,ས་འོག་དབང་བ་ཁྲོན་སྐྱེས།
,,24,3,《པེ་》《སྣར་》,ཞུན།
,208,25,1,《པེ་》《སྣར་》,ལ།
,,26,2,《པེ་》《སྣར་》,དྲེ།
,,27,3,《པེ་》《སྣར་》,བསྟན།
,209,28,1,《པེ་》《སྣར་》,དེ།
,,29,2,《པེ་》《སྣར་》,།། །།
,,30,3,《པེ་》《སྣར་》,ཆེན།
,,31,4,《པེ་》《སྣར་》,པའི།
,,32,5,《སྣར་》,བསག
,,33,6,《པེ་》《སྣར་》,སམ།
,210,34,1,《པེ་》《སྣར་》,བཟློག
