མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ།,མཆན།
,230,2,1,《པེ་》《སྣར་》,བཅད།
,,3,2,《པེ་》《སྣར་》,བཤིས།
,,4,3,《པེ་》《སྣར་》,pཏེ།
,,5,4,《པེ་》《སྣར་》,རྐང་།
,,6,5,《པེ་》《སྣར་》,བཟུང་།
,,7,6,《པེ་》《སྣར་》,མེད།
,,8,7,《པེ་》《སྣར་》,pཅན།
,,9,8,《པེ་》《སྣར་》,mངག
,,10,9,《པེ་》《སྣར་》,གྲགས།
,,11,10,《པེ་》《སྣར་》,སྟེངས་སུ།
,,12,11,《པེ་》《སྣར་》,བལྟ།
,,13,12,《པེ་》《སྣར་》,mབ།
,,14,13,《པེ་》《སྣར་》,བཟུང་།
,231,15,1,《པེ་》《སྣར་》,ཟླ།
,,16,2,《པེ་》《སྣར་》,བཤིག
,,17,3,《པེ་》《སྣར་》,བཅད།
,,18,4,《པེ་》《སྣར་》,ལས།
,,19,5,《པེ་》《སྣར་》,mལ།
,,20,6,《པེ་》《སྣར་》,རྐྱེན།
,,21,7,《པེ་》《སྣར་》,བཟློས།
,,22,8,《པེ་》《སྣར་》,།། །།
,,23,9,《པེ་》《སྣར་》,mགི།
,,24,10,《པེ་》《སྣར་》,pལ།
,,25,11,《པེ་》《སྣར་》,ཕྲེང་བའི།
,,26,12,《པེ་》《སྣར་》,གང་།
,,27,13,《པེ་》《སྣར་》,གྲག
,,28,14,《པེ་》《སྣར་》,གཡོ་བ།
,,29,15,《པེ་》《སྣར་》,mགི།
,232,30,1,《པེ་》《སྣར་》,mན།
,,31,2,《པེ་》《སྣར་》,ཤེས།
,,32,3,《པེ་》《སྣར་》,།། །།
,,33,4,《པེ་》《སྣར་》,།། །།
,,34,5,《པེ་》《སྣར་》,pལ།
,,35,6,《པེ་》《སྣར་》,pཔ།
,233,36,1,《པེ་》《སྣར་》,pཆོས་ཉིད་ཟབ་མོའི་ཡིད།
,,37,2,《པེ་》,mཔ།
,,38,3,《པེ་》《སྣར་》,ཀྱིས།
,234,39,1,《པེ་》《སྣར་》,མ་ལ་སྒོམ།
,,40,2,《པེ་》《སྣར་》,བསྒོམ།
,,41,3,《པེ་》《སྣར་》,བ།
,,42,4,《པེ་》《སྣར་》,pལ།
,,43,5,《པེ་》《སྣར་》,པའོ།
,,44,6,《པེ་》《སྣར་》,བཏང་།
,235,45,1,《པེ་》《སྣར་》,mཟླ།
