མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ཆུ་གཏོར་ཆོ་ག,1269,2,1,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 《པེ་》ཆུ་གཏོར་གྱི་ཡོ་བྱད་རྣམས་མདུན་དུ་སྟ་གོན་བྱས་ལ།
,,3,2,《པེ་》《སྣར་》,m྅།
,,4,3,《པེ་》《སྣར་》,ཡིད།
,1270,5,1,《པེ་》《སྣར་》,དག
,,6,2,《པེ་》《སྣར་》,ཆུ།
,,7,3,《པེ་》《སྣར་》,ཡིས།
,,8,4,《པེ་》《སྣར་》,བཏབ།
,,9,5,《པེ་》《སྣར་》,ཙ།
,,10,6,《པེ་》《སྣར་》,བཏབ།
,,11,7,《པེ་》《སྣར་》,ནས།
,1271,12,1,《པེ་》《སྣར་》,གིས།
,,13,2,《པེ་》《སྣར་》,ཆད་པ།
,,14,3,《པེ་》,ཡིས།
,,15,4,《པེ་》《སྣར་》,རྟོགས།
,,16,5,《པེ་》《སྣར་》,བཟློག
,,17,6,《པེ་》《སྣར་》,བསོགས།,,
,,18,7,《པེ་》《སྣར་》,pཀྱི།,,
,,19,8,《པེ་》《སྣར་》,ཚ།,,
