                མཚན་བྱང་།,              ཤོག་གྲངས།,1,           མཆན་གྲངས།,             པར་མ།,                                                                        མཆན།,,,,,,
བསྒོམ་རིམ་དང་པོ།,65,2,1,《པེ་》《སྣར་》,༄༅། །སློབ་དཔོན་ཀ་མ་ལ་ཤཱི་ལས་མཛད་པའི་སྒོམ་རིམ་དང་པོའོ། ཞེས་འཁོད།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,4,3,《པེ་》《སྣར་》,སྒོམ།,,,,,,
,,5,4,《པེ་》《སྣར་》,mནི།,,,,,,
,,6,5,《པེ་》《སྣར་》,མར།,,,,,,
,,7,6,《པེ་》《སྣར་》,དཔའ།,,,,,,
,66,8,1,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,9,2,《པེ་》,ཤ་ར་དྭཱ།,《སྣར་》,ཤཱ་ར་དྭཱ།,,,,,
,,10,3,《པེ་》《སྣར་》《ཅོ་》,pམི།,,,,,,
,,11,4,《པེ་》《སྣར་》,དྭཱ།,,,,,,
,,12,5,《ཅོ་》,mལྟ།,,,,,,
,67,13,1,《པེ་》《སྣར་》,mརྣམས།,,,,,,
,,14,2,《པེ་》《སྣར་》,mབྱ།,,,,,,
,,15,3,《པེ་》《སྣར་》,བསྐྱེད་པ།,,,,,,
,,16,4,《པེ་》《སྣར་》,mབྱ།,,,,,,
,,17,5,《པེ་》《སྣར་》,པོ།,,,,,,
,,18,6,《པེ་》《སྣར་》,mཆོས་ཀྱི།,,,,,,
,,19,7,《པེ་》《སྣར་》,pདེ།,,,,,,
,,20,8,《པེ་》《སྣར་》,mབྱ་བ་མང་དུ།,,,,,,
,,21,9,《པེ་》《སྣར་》,mཔ།,,,,,,
,68,22,1,《པེ་》《སྣར་》,པ།,,,,,,
,,23,2,《པེ་》《སྣར་》,mམྱོང་བ།,,,,,,
,,24,3,《པེ་》《སྣར་》,སྐྱོན་པ་དང་། སྤྱངས།,,,,,,
,69,25,1,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,26,2,《པེ་》,mབ།,,,,,,
,,27,3,《པེ་》《སྣར་》,mགཟུགས་དང་།,,,,,,
,,28,4,《པེ་》《སྣར་》,mསྐད་ཅིག་སྡུག་བསྔལ་གྱིས།,,,,,,
,,29,5,《པེ་》《སྣར་》,པས།,,,,,,
,,30,6,《པེ་》《སྣར་》,རྒྱུའི།,,,,,,
,70,31,1,《པེ་》《སྣར་》,mཔ།,,,,,,
,,32,2,《པེ་》《སྣར་》,འཕེལ་བ།,,,,,,
,,33,3,《པེ་》《སྣར་》,mཚེ།,,,,,,
,,34,4,《པེ་》《སྣར་》,mརྣམ་པའི།,,,,,,
,,35,5,《པེ་》《སྣར་》,pའཇུག་པར།,,,,,,
,,36,6,《སྣར་》,བཟད།,,,,,,
,71,37,1,《པེ་》,ཀྱིས།,,,,,,
,,38,2,《པེ་》《སྣར་》,mདེ།,,,,,,
,,39,3,《པེ་》《སྣར་》,pནི།,,,,,,
,,40,4,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,41,5,《པེ་》《སྣར་》,pལ།,,,,,,
,,42,6,《པེ་》《སྣར་》,pརྣམ་པ།,,,,,,
,,43,7,《པེ་》《སྣར་》,mའཕགས་པ་རྒྱལ་པོ་ལ་གདམས་པའི་མདོ་ལས།,,,,,,
,,44,8,《པེ་》《སྣར་》,mཐམས་ཅད་ཀྱི་ཐམས་ཅད་རྣམ་པ།,,,,,,
,72,45,1,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,46,2,《པེ་》《སྣར་》,སོ།,,,,,,
,,47,3,《པེ་》《སྣར་》,གིས།,,,,,,
,,48,4,《པེ་》《སྣར་》,mལ།,,,,,,
,,49,5,《པེ་》《སྣར་》,སྔོས།,,,,,,
,,50,6,《པེ་》《སྣར་》,སྐྱེ་བར།,,,,,,
,,51,7,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,73,52,1,《སྣར་》,པ།,,,,,,
,,53,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,54,3,《པེ་》《སྣར་》,mདེ་དང་།,,,,,,
,,55,4,《པེ་》《སྣར་》,བའི།,,,,,,
,74,56,1,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,57,2,《པེ་》《སྣར་》,སྡུ།,,,,,,
,,58,3,《པེ་》《སྣར་》,ལས།,,,,,,
,75,59,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,60,2,《པེ་》《སྣར་》,དང་།,,,,,,
,,61,3,《པེ་》《སྣར་》《ཅོ་》,སྤྱོད་པ།,,,,,,
,,62,4,《པེ་》《སྣར་》,mདུ།,,,,,,
,,63,5,《པེ་》《སྣར་》,mཔ།,,,,,,
,,64,6,《པེ་》《སྣར་》,mདེ་ལྟར།,,,,,,
,76,65,1,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,66,2,《པེ་》《སྣར་》,གཡེན།,,,,,,
,,67,3,《ཅོ་》,པར།,,,,,,
,,68,4,《པེ་》《སྣར་》,བལྟོས། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,77,69,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,70,2,《པེ་》《སྣར་》,mདོན།,,,,,,
,78,71,1,《པེ་》《སྣར་》,སྤོང་པའི།,,,,,,
