མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་གྲངས།,མཆན།
འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་འགྲེལ་པ།,1436,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།  《པེ་》ལ་༄༅། །བཟང་སྤྱོད་འགྲེལ་པ་སློབ་དཔོན་དབྱིག་གཉེན་གྱིས་མཛད་པ་བཞུགས། ཞེས་དང་། 《སྣར་》ལ་༄། །བཟང་སྤྱོད་འགྲེལ་པ་…...མཛད་པ་བཞུགས་སོ།  །ཞེས་འཁོད།
,,3,2,《པེ་》《སྣར་》,ཙརྱ།
,,4,3,《པེ་》《སྣར་》,ཀ
,,5,4,《པེ་》《སྣར་》,བཞུགས།
,,6,5,《པེ་》《སྣར་》,ཞེས།
,1437,7,1,《པེ་》《སྣར་》,དུས།
,,8,2,《པེ་》《སྣར་》,དུས།
,,9,3,《པེ་》《སྣར་》,གི།
,,10,4,《པེ་》《སྣར་》,གིས།
,,11,5,《པེ་》《སྣར་》,པ།
,,12,6,《པེ་》《སྣར་》,བཟུང་།
,,13,7,《པེ་》《སྣར་》,mདང་།
,,14,8,《པེ་》《སྣར་》,བསྐྱེད།
,,15,9,《པེ་》《སྣར་》,mབའི།
,,16,10,《པེ་》《སྣར་》,ཤིག
,,17,11,《པེ་》《སྣར་》,ཀྱི།
,1438,18,1,《པེ་》《སྣར་》,pཀྱང་།
,,19,2,《པེ་》《སྣར་》,ལ།
,,20,3,《པེ་》《སྣར་》,ཀྱི།
,,21,4,《པེ་》《སྣར་》,སྟོང་།
,,22,5,《པེ་》《སྣར་》,ཀྱི།
,,23,6,《པེ་》《སྣར་》,ཀྱི།
,,24,7,《པེ་》《སྣར་》,mལ།
,,25,8,《པེ་》《སྣར་》,pཔ་མ་ལུས།
,,26,9,《པེ་》《སྣར་》,mགི།
,,27,10,《པེ་》《སྣར་》,ཀྱིས།
,,28,11,《པེ་》《སྣར་》,དགྲ།
,,29,12,《པེ་》《སྣར་》,བས།
,1439,30,1,《སྣར་》,ཀྱིས།
,,31,2,《པེ་》《སྣར་》,pཔ།
,,32,3,《པེ་》《སྣར་》,ལྟ།
,,33,4,《པེ་》《སྣར་》,དག,
,,34,5,《པེ་》《སྣར་》,དེ་ཉིད་ཀྱང་།,
,,35,6,《པེ་》《སྣར་》,pལུས་དང་ངག་གི་ལས་ནི་ཡིད་ཀྱིས་མོས་པར་བྱའོ།།,
,,36,7,《པེ་》《སྣར་》,mསོགས་པ་ལ།,
,,37,8,《པེ་》《སྣར་》,mཔ།,
,,38,9,《པེ་》《སྣར་》,ཟད།,
,,39,10,《པེ་》《སྣར་》,གྱི།,
,,40,11,《པེ་》《སྣར་》,ནི།,
,,41,12,《པེ་》《སྣར་》《ཅོ་》,རྣམ།,
,,42,13,《པེ་》,ཀྱི་གསུངས།,《སྣར་》,ཀྱིས་གསུངས།
,1440,43,1,《པེ་》《སྣར་》,ཀྱིས།,
,,44,2,《པེ་》《སྣར་》,བདག,
,,45,3,《པེ་》《སྣར་》,བཅད་པ།,
,,46,4,《པེ་》《སྣར་》,ལ།,
,,47,5,《པེ་》《སྣར་》,བཅད།,
,,48,6,《པེ་》《སྣར་》,mགསུངས་པ།,
,,49,7,《པེ་》《སྣར་》,pཔ།
,,50,8,《པེ་》《སྣར་》,ཀུམ།
,,51,9,《པེ་》《སྣར་》,སྦྱར།
,,52,10,《པེ་》《སྣར་》,ཀུམ།
,,53,11,《པེ་》《སྣར་》,ཀ
,1441,54,1,《པེ་》《སྣར་》,mདེ་དག
,,55,2,《པེ་》《སྣར་》,པ།
,,56,3,《པེ་》《སྣར་》,གིས་སེམས་ཀྱིས།
,,57,4,《པེ་》《སྣར་》,པ།
,,58,5,《པེ་》《སྣར་》,པ།
,,59,6,《པེ་》《སྣར་》,ཀྱི།
,,60,7,《པེ་》,མོ།
,,61,8,《པེ་》《སྣར་》,པོ།
,,62,9,《པེ་》《སྣར་》,བསྡུ།
,,63,10,《པེ་》《སྣར་》,བྱ་བའོ།
,,64,11,《པེ་》《སྣར་》,ཀྱང་།
,,65,12,《པེ་》《སྣར་》,ལ།
,1442,66,1,《པེ་》,བཅུགས།
,,67,2,《པེ་》《སྣར་》,བཅུ།
,,68,3,《པེ་》《སྣར་》,mཡང་།
,,69,4,《པེ་》《སྣར་》,བསྐྱེད།
,,70,5,《པེ་》《སྣར་》,པོ།
,,71,6,《པེ་》《སྣར་》,པོ།
,,72,7,《པེ་》《སྣར་》,གྱིས།
,,73,8,《པེ་》《སྣར་》,བསྒོམས།
,,74,9,《པེ་》《སྣར་》,pལ།
,,75,10,《སྣར་》,ཚིགས།
,,76,11,《པེ་》《སྣར་》,འགྲུབ།
,1443,77,1,《པེ་》《སྣར་》,ཏེ།
,,78,2,《པེ་》《སྣར་》,བྱ་བ།
,,79,3,《པེ་》《སྣར་》,པའོ།
,,80,4,《པེ་》《སྣར་》,གསུམ།
,1444,81,1,《པེ་》《སྣར་》,ལས་འདས།
,,82,2,《པེ་》《སྣར་》,པར།
,,83,3,《པེ་》《སྣར་》,ཏེ།
,,84,4,《པེ་》《སྣར་》,གྱུར་པས།
,,85,5,《ཅོ་》,རིན།
,,86,6,《སྣར་》,སྐྱེད།
,1445,87,1,《པེ་》《སྣར་》,པོ།
,,88,2,《པེ་》《སྣར་》,བསྒོམས།
,,89,3,《པེ་》《སྣར་》,བཟུང་།
,,90,4,《པེ་》《སྣར་》,བསློབ།
,,91,5,《པེ་》《སྣར་》,པ་སྟེ།
,,92,6,《པེ་》《སྣར་》,སྐོང་།
,,93,7,《པེ་》《སྣར་》,འགྱུར་བའི།
,,94,8,《པེ་》《སྣར་》,པ།
,,95,9,《པེ་》《སྣར་》,mལས།
,,96,10,《པེ་》《སྣར་》,པའི།
,,97,11,《པེ་》《སྣར་》,mཐམས་ཅད།
,,98,12,《པེ་》《སྣར་》,བསམས།
,,99,13,《པེ་》《སྣར་》,པ།
,1446,100,1,《པེ་》《སྣར་》,mཔར།
,,101,2,《སྣར་》,གིས།
,,102,3,《པེ་》《སྣར་》,གི་བདེ་བས།
,,103,4,《པེ་》《སྣར་》,ཀྱིས་ནས།
,,104,5,《པེ་》《སྣར་》,སྙེད།
,,105,6,《པེ་》《སྣར་》,pཏན།
,1447,106,1,《པེ་》《སྣར་》,mམ།
,,107,2,《པེ་》《སྣར་》,དག
,,108,3,《པེ་》《སྣར་》,pདེ་ལྟར།
,,109,4,《པེ་》《སྣར་》,mཔ།
,,110,5,《པེ་》《སྣར་》,འདིས།
,,111,6,《པེ་》《སྣར་》,བློ།
,,112,7,《པེ་》《སྣར་》,བ།
,,113,8,《པེ་》《སྣར་》,ཟློགས།,
,1448,114,1,《པེ་》《སྣར་》,mདང་།,
,,115,2,《པེ་》《སྣར་》,སྐྱེད།,
,,116,3,《པེ་》《སྣར་》,ལས།,
,,117,4,《པེ་》《སྣར་》,པས།,
,,118,5,《པེ་》《སྣར་》,གིས།,
,,119,6,《པེ་》《པེ་》《སྣར་》,ཀྱི།,
,,120,7,《པེ་》《སྣར་》,mཔ།,
,,121,8,《པེ་》《སྣར་》,ལ།,
,1449,122,1,《སྣར་》,mཔ།,
,,123,2,《པེ་》《སྣར་》,mཀྱི།,
,,124,3,《པེ་》《སྣར་》,བརྟན།,
,,125,4,《པེ་》《སྣར་》,mཔ།,
,,126,5,《པེ་》《སྣར་》,pཐམས་ཅད་ཀྱི།,
,,127,6,《པེ་》,ཤེས།,《ཅོ་》,ཤེས་པ།
,1450,128,1,《པེ་》《སྣར་》,ཡང་།,
,,129,2,《པེ་》《སྣར་》,བཟུང་།
,,130,3,《པེ་》《སྣར་》,ལ།
,,131,4,《པེ་》《སྣར་》,pཔ།
,,132,5,《པེ་》《སྣར་》,mནི།
,,133,6,《པེ་》《སྣར་》,མི།
,,134,7,《པེ་》《སྣར་》,པ།
,,135,8,《པེ་》《སྣར་》,དབྱུང་།
,,136,9,《པེ་》《སྣར་》,པ།
,,137,10,《པེ་》《སྣར་》,འགེགས།
,,138,11,《པེ་》《སྣར་》,ན།
,,139,12,《པེ་》《སྣར་》,ཡིད།
,,140,13,《པེ་》《སྣར་》,འགེགས།
,,141,14,《པེ་》《སྣར་》,སྒྱུ་ཡི་བསླུ་བ།
,1451,142,1,《པེ་》《སྣར་》,བཞིས།
,,143,2,《པེ་》《སྣར་》,སྐྱེད།
,,144,3,《པེ་》《སྣར་》,ནར།
,,145,4,《པེ་》《སྣར་》,ལྟའོ།
,,146,5,《སྣར་》,རྣམ་དང་།
,,147,6,《པེ་》《སྣར་》,ཏེ།
,,148,7,《པེ་》《སྣར་》,པ།
,,149,8,《པེ་》《སྣར་》,ཤེས་པ།
,,150,9,《སྣར་》,སྟེང་།
,,151,10,《པེ་》《སྣར་》,ཏེ།
,,152,11,《སྣར་》,བ།
,,153,12,《པེ་》《སྣར་》,ལ།
,1452,154,1,《པེ་》,གསུངས།
,,155,2,《པེ་》《སྣར་》,ཐུབ།
,,156,3,《པེ་》《སྣར་》,པས།
,,157,4,《པེ་》《སྣར་》,པས།
