               མཚན་བྱང་།,             ཤོག་གྲངས།,1,             མཆན་གྲངས།,                པར་མ།,          མཆན།,
དགེ་ཚུལ་གྱི་དང་པོའི་ལོ།,904,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་དགེ་ཚུལ་གྱི་དང་པོའི་ལོ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ཪྴ་གྲང་།,
,,4,3,《པེ་》《སྣར་》,ཀྱིས།,
,,5,4,《སྣར་》,སྤྱད།,
,,6,5,《པེ་》《སྣར་》,གཎྜིའི།,
,,7,6,《པེ་》《སྣར་》,མཆོད།,
,,8,7,《པེ་》《སྣར་》,འམ།,
,,9,8,《པེ་》《སྣར་》,སོ།,
,,10,9,《པེ་》《སྣར་》,གདུག་པ།,
,,11,10,《པེ་》《སྣར་》,ཀྲུ། མཆིལ།,
,,12,11,《ཅོ་》,བར,
,905,13,1,《པེ་》《སྣར་》,གཎྜིའི།,
,,14,2,《པེ་》《སྣར་》,མཉེས།,
,,15,3,《པེ་》《སྣར་》,གདྷའི།,
,,16,4,《པེ་》《སྣར་》,ཆོག,
,,17,5,《པེ་》《སྣར་》,ཆུང་།,
,906,18,1,《པེ་》《སྣར་》,ཆུང་།,
,,19,2,《པེ་》《སྣར་》,ར་བ་ཐ་ཆུང་ངོ་།,
,,20,3,《པེ་》《སྣར་》,ཆུང་ངོ་།,
,,21,4,《སྣར་》,སྨས,
,,22,5,《པེ་》《སྣར་》,གི།,
,,23,6,《པེ་》《སྣར་》,པ།,
,,24,7,《པེ་》,བརྟེན།,
,,25,8,《པེ་》《སྣར་》,བ།,
,,26,9,《པེ་》《སྣར་》,ཏེ།,
,,27,10,《པེ་》《སྣར་》,ཡི།,
,,28,11,《པེ་》《སྣར་》,ནུབ་ཀྱི།,
,,29,12,《པེ་》《སྣར་》,རྟག,
,907,30,1,《ཅོ་》,པར།,
,,31,2,《པེ་》《སྣར་》,སྟེ།,
,,32,3,《པེ་》《སྣར་》,འཕྲིན།,
,,33,4,《ཅོ་》,པར།,
,,34,5,《པེ་》《སྣར་》,རྣམ།,
,,35,6,《པེ་》《སྣར་》《ཅོ་》,ཕྲོག,
,,36,7,《པེ་》《སྣར་》,རྫུན།,
,,37,8,《པེ་》《སྣར་》,དེ།,
,,38,9,《པེ་》,ནོར་དབང་སྐུར་ཡིན།,《སྣར་》,ནོད་དབང་སྐུར་ཡིན།
,,39,10,《སྣར་》,པ།,
,,40,11,《སྣར་》,གྲོས,
,,41,12,《པེ་》《སྣར་》,འབྲུ།,
,,42,13,《པེ་》《སྣར་》,བརྡེག,
,,43,14,《པེ་》《སྣར་》,བརྡེག,
,,44,15,《པེ་》《སྣར་》,རྣམ་པ།,
,908,45,1,《པེ་》《སྣར་》,སྤྱད་པ་རྣམ་པ།,《ཅོ་》,སྤྱོད་པ་རྣམས།
,,46,2,《པེ་》《སྣར་》,སྤྱོད།,
,,47,3,《པེ་》《སྣར་》,མི།,
,,48,4,《པེ་》《སྣར་》,དོན།,
,,49,5,《པེ་》《སྣར་》,འཆང་།,
,,50,6,《པེ་》《སྣར་》,mདྲི་བ།,
,,51,7,《པེ་》《སྣར་》,ཙ།,
