མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ།,884,2,1,《པེ་》《སྣར་》,འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,བནྡྷ་པ་རི་ཀ་བྲིཏྟི།,《སྣར་》,བནྡྷ་པ་རི་ཀ་བྲྀཏྟ།,《ཅོ་》,པནྡྷ་པ་རིཀྵ་བྲྀཏྟ།,,,,
,,4,3,《སྣར་》,སྨྲོས།,,,,,,
,,5,4,《སྣར་》,mམེད།,,,,,,
,,6,5,《པེ་》《སྣར་》,ན།,,,,,,
,885,7,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,8,2,《པེ་》《སྣར་》,པོར།,,,,,,
,,9,3,《པེ་》,རྟོགས།,,,,,,
,,10,4,《པེ་》《སྣར་》,དག,,,,,,
,,11,5,《པེ་》,བོས་འདྲེས་པ་འབྲེལ།,《སྣར་》,བོས་འདྲེལ་པ་བ་འབྲེལ་པ།,,,,,
,,12,6,《པེ་》《སྣར་》,ཏུ།,,,,,,
,,13,7,《པེ་》《སྣར་》,mཔ།,,,,,,
,,14,8,《ཅོ་》,པར།,,,,,,
,,15,9,《པེ་》《སྣར་》,mཆད།,,,,,,
,,16,10,《པེ་》,ཅན།,,,,,,
,,17,11,《པེ་》,ཙམ།,,,,,,
,,18,12,《པེ་》《སྣར་》,mལ།,,,,,,
,,19,13,《ཅོ་》,པར།,,,,,,
,886,20,1,《པེ་》《སྣར་》,བོར།,,,,,,
,,21,2,《པེ་》《སྣར་》,mགི།,,,,,,
,,22,3,《པེ་》《སྣར་》,ཅན་གཅིག་པུ་ཡིས།,,,,,,
,,23,4,《པེ་》《སྣར་》,mདོན།,,,,,,
,,24,5,《སྣར་》,བརྟགས་པ་ཁོ་ན།,,,,,,
,,25,6,《པེ་》《སྣར་》,mའབྲེལ་པ་ལས།,,,,,,
,,26,7,《པེ་》《སྣར་》,pདང་།,,,,,,
,,27,8,《པེ་》《སྣར་》,mཡང་།,,,,,,
,887,28,1,《པེ་》《སྣར་》,པའང་།,,,,,,
,,29,2,《པེ་》《སྣར་》,pཔ།,,,,,,
,,30,3,《པེ་》《སྣར་》,རྟོག,,,,,,
,,31,4,《པེ་》《སྣར་》,བསལ།,,,,,,
,,32,5,《པེ་》《སྣར་》,པོའི།,,,,,,
,,33,6,《པེ་》,ཚིགས།,,,,,,
,888,34,1,《པེ་》,པར།,,,,,,
,,35,2,《པེ་》《སྣར་》,mའགྲུབ།།,,,,,,
,,36,3,《ཅོ་》,བུས།,,,,,,
,,37,4,《པེ་》《སྣར་》,pཡིན།,,,,,,
,,38,5,《པེ་》《སྣར་》,mཏུ།,,,,,,
,,39,6,《སྣར་》,རྟོགས།,,,,,,
,,40,7,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,,
,889,41,1,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,,
,,42,2,《པེ་》《སྣར་》,པར།,,,,,,
,,43,3,《པེ་》《སྣར་》,དོ།།,,,,,,
,,44,4,《པེ་》,ནའོ་ཐོབ།,,,,,,
,,45,5,《པེ་》《སྣར་》,རོ།,,,,,,
,,46,6,《པེ་》,གྱིས།,,,,,,
,,47,7,《པེ་》,གཞག,《སྣར་》,བཞག,,,,,
,,48,8,《པེ་》,ཀྱིས་དོན་པ་དང་མེད་པ།,《སྣར་》,ཀྱིས་དོན་མེད་པ།,,,,,
,890,49,1,《པེ་》《སྣར་》,དོ།,,,,,,
,,50,2,《པེ་》《སྣར་》,འདི།,,,,,,
,,51,3,《པེ་》《སྣར་》,pཡིན།,,,,,,
,,52,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,53,5,《པེ་》《སྣར་》,mཞེས།,,,,,,
,,54,6,《པེ་》《སྣར་》,བུ།,,,,,,
,,55,7,《ཅོ་》,གྱུར།,,,,,,
,,56,8,《སྣར་》,mདེ།,,,,,,
,,57,9,《པེ་》,ལ་གཞན་དུ།,《སྣར་》,ལ་གཞན།,,,,,
,,58,10,《པེ་》《སྣར་》,pལ།,,,,,,
,891,59,1,《པེ་》《སྣར་》,སྐྱེད་པ།,,,,,,
,,60,2,《པེ་》,ལ།,,,,,,
,,61,3,《པེ་》《སྣར་》,ཚིགས།,,,,,,
,,62,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,63,5,《པེ་》《སྣར་》,འདིའི།,,,,,,
,,64,6,《པེ་》《སྣར་》,mཡོད་ན།,,,,,,
,,65,7,《པེ་》《སྣར་》,mརྗེས་སུ།,,,,,,
,892,66,1,《པེ་》,གཉིས་གཏོགས།,《སྣར་》,གཉི་གར་གཏོགས།,,,,,
,,67,2,《པེ་》《སྣར་》,mཡིན་ན།,,,,,,
,,68,3,《པེ་》,རྟོགས།,,,,,,
,,69,4,《པེ་》《སྣར་》,ཤིག,,,,,,
,,70,5,《པེ་》《སྣར་》,mདོན།,,,,,,
,,71,6,《པེ་》《སྣར་》,mདེ།,,,,,,
,893,72,1,《པེ་》,པར།,,,,,,
,,73,2,《པེ་》《སྣར་》,pམ།,,,,,,
,,74,3,《པེ་》《སྣར་》,mབ།,,,,,,
,,75,4,《པེ་》《སྣར་》,pཞེས།,,,,,,
,,76,5,《པེ་》,mགང་།,,,,,,
,,77,6,《པེ་》《སྣར་》,པ།,,,,,,
,,78,7,《པེ་》《སྣར་》,mདེ།,,,,,,
,894,79,1,《པེ་》《སྣར་》,mབུ།,,,,,,
,,80,2,《པེ་》《སྣར་》,བཞི།,,,,,,
,,81,3,《པེ་》《སྣར་》,mཕན།,,,,,,
,,82,4,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,83,5,《པེ་》,དེ།,,,,,,
,,84,6,《པེ་》《སྣར་》,དུ།,,,,,,
,,85,7,《པེ་》《སྣར་》,དེ་ན་ཕན་པར།,,,,,,
,,86,8,《པེ་》《སྣར་》,མེད།,,,,,,
,,87,9,《པེ་》《སྣར་》,སྐྱེས།,,,,,,
,,88,10,《པེ་》《སྣར་》,རོ།།,,,,,,
,895,89,1,《པེ་》《སྣར་》,པར།,,,,,,
,,90,2,《པེ་》《སྣར་》,mཕན་པ་བྱེད་པ་དང་།,,,,,,
,,91,3,《པེ་》《སྣར་》,pམ།,,,,,,
,,92,4,《པེ་》,བསྐྱེད་པ།,《སྣར་》,སྐྱེད་པ།,,,,,
,,93,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,94,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,95,7,《པེ་》《སྣར་》,པས།,,,,,,
,,96,8,《པེ་》《སྣར་》,mབར།,,,,,,
,,97,9,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,98,10,《པེ་》《སྣར་》,mབྱ་བ།,,,,,,
,,99,11,《པེ་》《སྣར་》,mཡིན་པ་དེ་ལྡན་པའི་ངོ་བོ་ཡང་།,,,,,,
,896,100,1,《པེ་》《སྣར་》,པས།,,,,,,
,,101,2,《པེ་》《སྣར་》,མ།,,,,,,
,,102,3,《པེ་》《སྣར་》,ཁྱོད་ཉིད།,,,,,,
,,103,4,《པེ་》《སྣར་》,པོར།,,,,,,
,,104,5,《པེ་》《སྣར་》,དེས།,,,,,,
,,105,6,《སྣར་》,སྭོ།,,,,,,
,,106,7,《པེ་》《སྣར་》,བྲལ་སྭོ་པས་ཤེས་བྱ་བྱ་ལ།,,,,,,
,,107,8,《པེ་》,ཚོགས་སུ།,《སྣར་》,ཚིག་གིས།,,,,,
,,108,9,《པེ་》《སྣར་》,mཔ།,,,,,,
,,109,10,《སྣར་》,mཟད།,,,,,,
,,110,11,《པེ་》,གྱིས།,,,,,,
,897,111,1,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,112,2,《པེ་》《སྣར་》,mའདི།,,,,,,
,,113,3,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,114,4,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,,
