མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,
༄༅། །འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་མདོའི་རྣམ་པར་བཤད་པ།,1009,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,,,,,,,
,,3,2,《པེ་》《སྣར་》,སནྡྷ་ནི་རྨོ།,,,,,,,,,,,,,,
,,4,3,《པེ་》《སྣར་》,ནཱ།,,,,,,,,,,,,,,
,,5,4,《པེ་》《སྣར་》,mནི།,,,,,,,,,,,,,,
,,6,5,《པེ་》《སྣར་》,བཞག,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་72ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),,,,,,,,
,,7,6,《པེ་》,བཞིའི།,,,,,,,,,,,,,,
,1010,8,1,《པེ་》《སྣར་》,པས།,,,,,,,,,,,,,,
,,9,2,《པེ་》《སྣར་》,ན་སྟེ།,,,,,,,,,,,,,,
,,10,3,《སྣར་》,mཚོགས།,,,,,,,,,,,,,,
,,11,4,《པེ་》,མོངས།,,,,,,,,,,,,,,
,,12,5,《པེ་》,བཞིའི།,,,,,,,,,,,,,,
,,13,6,《པེ་》《ཅོ་》,བཞིའི།,,,,,,,,,,,,,,
,,14,7,《པེ་》《སྣར་》,འདིའི།,,,,,,,,,,,,,,
,,15,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,
,1011,16,1,《སྣར་》,པདྨོའི།,,,,,,,,,,,,,,
,,17,2,《པེ་》《སྣར་》,ཞིག,,,,,,,,,,,,,,
,,18,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,
,,19,4,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,
,,20,5,《པེ་》《སྣར་》,བ།,,,,,,,,,,,,,,
,,21,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,
,1012,22,1,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,
,,23,2,《པེ་》《སྣར་》,mམདོ་སྡེའི།,,,,,,,,,,,,,,
,,24,3,《པེ་》《སྣར་》,བྱས་ཏེ།,,,,,,,,,,,,,,
,,25,4,《པེ་》《སྣར་》,ལ།,,,,,,,,,,,,,,
,1013,26,1,《པེ་》《སྣར་》,རིམ།,,,,,,,,,,,,,,
,,27,2,《པེ་》《སྣར་》,mལུས།,,,,,,,,,,,,,,
,,28,3,《པེ་》,འགྲོལ།,《སྣར་》,འགྲེལ།,,,,,,,,,,,,,
,,29,4,《པེ་》《སྣར་》,བདེ་བ།,,,,,,,,,,,,,,
,,30,5,《པེ་》《སྣར་》,དགོས།,,,,,,,,,,,,,,
,,31,6,《ཅོ་》,པར།,,,,,,,,,,,,,,
,,32,7,《པེ་》《སྣར་》,ལུང་།,,,,,,,,,,,,,,
,,33,8,《པེ་》《སྣར་》,རིམ།,,,,,,,,,,,,,,
,,34,9,《པེ་》《སྣར་》,mཕྱིར།,,,,,,,,,,,,,,
,,35,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,
,,36,11,《པེ་》《སྣར་》,pནི།,,,,,,,,,,,,,,
,,37,12,《པེ་》《སྣར་》,མཇུག,,,,,,,,,,,,,,
,1014,38,1,《སྣར་》,པོ།,《ཅོ་》,པ་པོས།,,,,,,,,,,,,,
,,39,2,《སྣར་》,གསལ།,,,,,,,,,,,,,,
,,40,3,《པེ་》《སྣར་》,mདེ།,,,,,,,,,,,,,,
,,41,4,《པེ་》《སྣར་》,ལ།,,,,,,,,,,,,,,
,,42,5,《སྣར་》,mསོ།,,,,,,,,,,,,,,
,,43,6,《པེ་》,ཡེ།,,,,,,,,,,,,,,
,1015,44,1,《པེ་》,ཡེ།,,,,,,,,,,,,,,
,,45,2,《སྣར་》,ལ།,,,,,,,,,,,,,,
,,46,3,《པེ་》《སྣར་》,ལུ།,,,,,,,,,,,,,,
,,47,4,《པེ་》《སྣར་》,ལུ།,,,,,,,,,,,,,,
,1016,48,1,《པེ་》,རྣམ་པ་གཅིག་ཏུ།,《སྣར་》,རྣམ་ཅིག་དུ།,,,,,,,,,,,,,
,,49,2,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,
,,50,3,《པེ་》《སྣར་》,བ་ནི།,,,,,,,,,,,,,,
