མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་མ།,,,,,
གཡུའི་ཐང་མ་ཀྲས་དགུ།,869,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》,རི་མཁས།,,,,,,
,,4,3,《པེ་》,ཆུབ།,,,,,,
,872,5,1,《པེ་》,རྟེན།,,,,,,
,,6,2,《པེ་》,བྱེད།,,,,,,
,873,7,1,《པེ་》,བྱེད།,,,,,,
,,8,2,《པེ་》,pརྣམ་པ།,,,,,,
,874,9,1,《པེ་》,ཅི།,,,,,,
,875,10,1,《པེ་》,རྒྱུ།,,,,,,
,876,11,1,《པེ་》,འཕྲིན།,,,,,,
,,12,2,《པེ་》,རིགས།,,,,,,
,877,13,1,《པེ་》,pས།,,,,,,
,878,14,1,《པེ་》,ལྷིང་།,,,,,,
,878,15,1,《པེ་》,བསླབ།,,,,,
,881,16,1,《པེ་》,གདུང་བའང་།,,,,,,
,,17,2,《པེ་》,རྫུན།,,,,,,
,882,18,1,《པེ་》,mཅི།,,,,,,
,,19,2,《པེ་》,ལྷིང་།,,,,,,
