མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
༄༅། །འཆི་ཀ་མའི་བསྟན་ཆོས།,198,2,1, 《པེ་》,༄༅། །འཆི་ཀ་མའི་བསྟན་ཆོས་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》,སྐུར།,,,,,,
,,4,3,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,,5,4,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,,6,5,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,,7,6,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,,8,7,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,199,9,1,《པེ་》,mལས།,,,,,,(འདིར་གཡུང་དྲུང་ཞིག་ཡོད།)
,,10,2,《པེ་》,གྲི།,,,,,,
,,11,3,《པེ་》,ཞུག,,,,,,
,200,12,1,《པེ་》,དཀྱིལ་འཁོར།,,,,,,
,,13,2,《པེ་》,མེད།,,,,,,
