མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
སྐུ་གསུམ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།,207,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,གྱིས།
,208,4,1,《པེ་》《སྣར་》,བརྗོད།
,,5,2,《པེ་》《སྣར་》,སྒྲུབ།
,,6,3,《པེ་》《སྣར་》,pཔ།
,,7,4,《པེ་》《སྣར་》,ས།
,,8,5,《པེ་》《སྣར་》,ས།
,209,9,1,《པེ་》《སྣར་》,ཀྱི།
,210,10,1,《པེ་》《སྣར་》,བཞག།
,,11,2,《པེ་》《སྣར་》,བལྟ།
,,12,3,《པེ་》《སྣར་》,pཔ།
,,13,4,《པེ་》《སྣར་》,mབ།
,,14,5,《སྣར་》,ནི།
,212,15,1,《པེ་》《སྣར་》,བ་ར་ཎཱ་སིར།
,,16,2,《པེ་》《སྣར་》,གནས།
,213,17,1,《པེ་》《སྣར་》,pབ།,
,,18,2,《པེ་》,mཔ།,
,214,19,1,《པེ་》《སྣར་》,གྱིས།,
,215,20,1,《པེ་》《སྣར་》,ཤྲངྡྷྲཱ།,
