མཚན་བྱང།,ཤོགས་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ།,1537,2,1,《པེ་》《སྣར་》,༄། །དགོངས་པའི་སྐད་ཀྱི་འགྲེལ་པ་བཞུགས།,,,,,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཀཱ།,,,,,,
,,4,3,《པེ་》,ཡམ་ནི།,《སྣར་》,ཡི་ནི།,,,,,
,,5,4,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,1538,6,1,《པེ་》《སྣར་》,བ།,,,,,,
,,7,2,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,8,3,《པེ་》《སྣར་》,ཀྲི་པཱི་ཏ།,《ཅོ་》,ཀྲི་པི་ཊ།,,,,,
,,9,4,《པེ་》《སྣར་》,པ།,,,,,,
,,10,5,《པེ་》《སྣར་》,བས།,,,,,,
,,11,6,《པེ་》《སྣར་》,དུ་དྷུ་ར།,,,,,,
,,12,7,《པེ་》《སྣར་》,རཾ།,,,,,,
,,13,8,《པེ་》《སྣར་》,བྷཱཛ།,,,,,,
,,14,9,《པེ་》《སྣར་》,ལཱ།,,,,,,
,,15,10,《པེ་》《སྣར་》,ཛ།,,,,,,
,,16,11,《པེ་》《སྣར་》,mསྤྲུལ་པ་གཅིག་པུ་ནི་རྟག་པ་ཡིན་ལ།,,,,,,
,,17,12,《པེ་》《སྣར་》,བ།,,,,,,
,,18,13,《པེ་》《སྣར་》,ལཱ།,,,,,,
,,19,14,《པེ་》《སྣར་》,པཱི།,,,,,,
,,20,15,《པེ་》《སྣར་》,ཏཱིནྡཱ།,,,,,,
,1539,21,1,《པེ་》《སྣར་》,པཱུ།,,,,,,
,,22,2,《པེ་》《སྣར་》,pཀྱིས།,,,,,,
,,23,3,《པེ་》《སྣར་》,ཛི།,,,,,,
,,24,4,《པེ་》《སྣར་》,pཏུ།,,,,,,
,,25,5,《པེ་》《སྣར་》,བལྟས།,,,,,,
,,26,6,《པེ་》《སྣར་》,བ།,,,,,,
,,27,7,《ཅོ་》,གཉིས།,,,,,,
,1540,28,1,《པེ་》《སྣར་》,mམ།,,,,,,
,,29,2,《པེ་》《སྣར་》,ཤྲ་བ་སྲ།,,,,,,
,,30,3,《པེ་》《སྣར་》,ཀྵྱ།,,,,,,
,,31,4,《པེ་》《སྣར་》,ཊ།,,,,,,
,,32,5,《པེ་》《སྣར་》,དུ།,,,,,,
,,33,6,《པེ་》《སྣར་》,རྟོག,,,,,,
,,34,7,《པེ་》《སྣར་》,ཌྲྀཎྜ་མཾ།,,,,,,
,,35,8,《པེ་》《སྣར་》,བྷཱཛ།,,,,,,
,,36,9,《པེ་》《སྣར་》,ཏཱིནྡཱ།,,,,,,
,,37,10,《པེ་》《སྣར་》,ཀཔྤུ།,,,,,,
,,38,11,《པེ་》《སྣར་》,ལཱ།,,,,,,
,,39,12,《པེ་》《སྣར་》,ལཱ།,,,,,,
,1541,40,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,41,2,《པེ་》《སྣར་》,pར།,,,,,,
,,42,3,《པེ་》《སྣར་》,mཎ།,,,,,,
,,43,4,《པེ་》《སྣར་》,པའོ།,,,,,,
,,44,5,《པེ་》《སྣར་》,ལས།,,,,,,
,1542,45,1,《པེ་》《སྣར་》,པ།,,,,,,
,,46,2,《པེ་》《སྣར་》,སྡུད།,,,,,,
,1543,47,1,《ཅོ་》,ཡ།,,,,,,
,,48,2,《པེ་》《སྣར་》,mཔར།,,,,,,
,1544,49,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,50,2,《པེ་》,mསྦྱོར།,《སྣར་》,mསྦྱོར་བ།,,,,,
,,51,3,《པེ་》《སྣར་》,ཨོ།,,,,,,
,,52,4,《པེ་》《སྣར་》,བསམ།,,,,,,
,,53,5,《པེ་》《སྣར་》,ཡི་གེ།,,,,,,
,1545,54,1,《པེ་》《སྣར་》,འཐོབ།,,,,,,
,,55,2,《པེ་》《སྣར་》,mརུ།,,,,,,
,,56,3,《པེ་》《སྣར་》,pསྣ།,,,,,,
,,57,4,《པེ་》《སྣར་》,རུ་ནི།,,,,,,
,,58,5,《པེ་》《སྣར་》,ཀྵ།,,,,,,
,,59,6,《པེ་》《སྣར་》,ཀི་པཱི།,,,,,,
,,60,7,《པེ་》《སྣར་》,དུ།,,,,,,
,,61,8,《པེ་》,བྷཱཛ།,《སྣར་》,བྷཱཛ་ནི་ནཾ།,,,,,
,1546,62,1,《པེ་》《སྣར་》,མ།,,,,,,
,,63,2,《པེ་》《སྣར་》,ལཱ།,,,,,,
,,64,3,《པེ་》《སྣར་》,འཚོག,,,,,,
,1547,65,1,《པེ་》,བྱུང་།,,,,,,
,1548,66,1,《པེ་》《སྣར་》,ཙྪ་བ།,,,,,,
,,67,2,《པེ་》,pམངྒལཾ།།,,,,,,
