མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ། ,1573,2,1,《པེ་》《སྣར་》,མངོན་པར་རྟོགས་པ་བཞུགས།,,,,,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,mནི།,,,,,,
,,4,3,《པེ་》《སྣར་》,mནི།,,,,,,
,1574,5,1,《པེ་》《སྣར་》,གྷཿགྷཿ།,,,,,,
,,6,2,《པེ་》《སྣར་》,ཨཛྙཱ།,,,,,,
,,7,3,《པེ་》《སྣར་》,བིགྷྣཾ།,,,,,,
,,8,4,《པེ་》《སྣར་》,ལཱ།,,,,,,
,,9,5,《པེ་》《སྣར་》,mགི།,,,,,,
,,10,6,《པེ་》《སྣར་》,m྅།,,,,,,
,1575,11,1,《པེ་》《སྣར་》,བཞག,,,,,,
,,12,2,《པེ་》《སྣར་》,པོ།,,,,,,
,,13,3,《སྣར་》,mཔའི་ཐོད།,,,,,,
,,14,4,《པེ་》《སྣར་》,མའི།,,,,,,
,1576,15,1,《པེ་》《སྣར་》,mདང་།,,,,,,
,,16,2,《པེ་》《སྣར་》,mདང་། ནུ་མའི་བར་དང་།,,,,,,
,,17,3,《པེ་》《སྣར་》,mདང་། ཧཱུཾ་སྔོན་པོ།,,,,,,
,1577,18,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,19,2,《པེ་》《སྣར་》,སརྦ།,,,,,,
,,20,3,《པེ་》《སྣར་》,ནི།,,,,,,
,,21,4,《པེ་》《སྣར་》,m྅།,,,,,,
,,22,5,《སྣར་》,ཤུདྷཿ།,,,,,,
,,23,6,《པེ་》,སྭ།,,,,,,
,,24,7,《པེ་》《སྣར་》《ཅོ་》,mཿ།,,,,,,
,,25,8,《པེ་》《སྣར་》,མ།,,,,,,
,,26,9,《སྣར་》,ཧྲཱིཾ།,,,,,,
,,27,10,《པེ་》《སྣར་》,ཤུདྷཿ།,,,,,,
,,28,11,《པེ་》《སྣར་》,རྗེ།,,,,,,
,,29,12,《པེ་》《སྣར་》,pཔ།,,,,,,
,1578,30,1,《པེ་》《སྣར་》,mནང་།,,,,,,
,,31,2,《པེ་》《སྣར་》,ནཱི།,,,,,,
,,32,3,《པེ་》《སྣར་》,རཾ།,,,,,,
,,33,4,《པེ་》《སྣར་》,ཧྲིཿ།,,,,,,
,,34,5,《པེ་》《སྣར་》,pཨོཾ།,,,,,,
,,35,6,《པེ་》《སྣར་》,མེ་ཧུཾ་ཧཱུཾ།,,,,,,
,,36,7,《པེ་》《སྣར་》,རུ་པཱི་ཎཱི་ཡེ་ཧུཾ་ཧཱུཾ།,,,,,,
,1579,37,1,《པེ་》《སྣར་》,mཔ།,,,,,,
