           མཚན་བྱང་།,             ཤོག་གྲངས།,1,          མཆན་གྲངས།,                      པར་མ།,                                      མཆན།,,,,,,
དཔལ་མགོན་པོ་ནག་པོའི་གཏོར་མ་ཞེས་བྱ་བ་བཞུགས་སྷཽ།,1653,2,1,《པེ་》,༄༅། །དཔལ་མགོན་པོ་ནག་པོའི་གཏོར་མ་ཞེས་བྱ་བ་ཞུགས་སྷཽ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ཏ།,,,,,,
,,4,3,《པེ་》《སྣར་》,pཿ།,,,,,,
,,5,4,《པེ་》《སྣར་》,pཔོ་ནག,,,,,,
,,6,5,《པེ་》《སྣར་》,པ།,,,,,,
,,7,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,8,7,《པེ་》《སྣར་》,mཉིད།,,,,,,
,,9,8,《པེ་》《སྣར་》,ཡི་གེ།,,,,,,
,,10,9,《པེ་》《སྣར་》,བཤམ།,,,,,,
,1654,11,1,《པེ་》《སྣར་》,m྅།,,,,,,
,,12,2,《པེ་》《སྣར་》,པ།,,,,,,
,,13,3,《པེ་》《སྣར་》,ཞིག,,,,,,
,,14,4,《པེ་》《སྣར་》,ན་མར།,,,,,,
,,15,5,《པེ་》《སྣར་》,ཞིག་བསྒོམས།,,,,,,
,,16,6,《པེ་》《སྣར་》,ཞིག,,,,,,
,,17,7,《པེ་》《སྣར་》,དུ་ཨ་ལས།,,,,,,
,,18,8,《པེ་》《སྣར་》,གཅིག,,,,,,
,,19,9,《པེ་》《སྣར་》,ཧྲི།,,,,,,
,,20,10,《པེ་》《སྣར་》,pལ།,,,,,,
,,21,11,《སྣར་》,མོས།,,,,,,
,,22,12,《སྣར་》,pཿ།,,,,,,
,,23,13,《པེ་》,mསུ།,,,,,,
,,24,14,《པེ་》《སྣར་》,གཅིག,,,,,,
,,25,15,《པེ་》《སྣར་》,རྭ།,,,,,,
,,26,16,《པེ་》《སྣར་》,mཔས།,,,,,,
,,27,17,《པེ་》《སྣར་》,འབར།,,,,,,
,,28,18,《པེ་》《སྣར་》,mནས།,,,,,,
,,29,19,《པེ་》《སྣར་》,ལྔའི།,,,,,,
,,30,20,《པེ་》《སྣར་》,pཿ།,,,,,,
,1655,31,1,《པེ་》《སྣར་》,འཁྱགས།,,,,,,
,,32,2,《པེ་》《སྣར་》,ཙུག,,,,,,
,,33,3,《པེ་》《སྣར་》,mམོ།,,,,,,
,,34,4,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,35,5,《པེ་》,ལ།,《སྣར་》,ན།,,,,,
,,36,6,《པེ་》《སྣར་》,གཅིག,,,,,,
,,37,7,《པེ་》《སྣར་》,mན།,,,,,,
