མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ་ཞེས་བྱ་བ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་མཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,,,,
,,3,2,《པེ་》,རྒྱུད་ཀྱི་འགྲེལ་པ།,《སྣར་》,འགྲེལ་པ།,,,,
,,4,3,《པེ་》《སྣར་》,དེས།,,,,,
,,5,4,《པེ་》《སྣར་》,ག།,,,,,
,,6,5,《པེ་》《སྣར་》,mཔར།,,,,,
,,7,6,《པེ་》《སྣར་》,རྡོར།,,,,,
,4,8,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,9,2,《པེ་》《སྣར་》,དགྲོལ།,,,,,
,,10,3,《པེ་》《སྣར་》,སྐོར།,,,,,
,5,11,1,《པེ་》《སྣར་》,pརྣལ་འབྱོར་གྱི་ཕྱོགས་ནི་དབང་པོ་རབ་རྣམས་ལའོ།།,,,,,
,,12,2,《སྣར་》,mལ།,,,,,
,6,13,1,《པེ་》,mཔ།,,,,,
,,14,2,《པེ་》《སྣར་》,རྗོད།,,,,,
,,15,3,《པེ་》《སྣར་》,མ།,,,,,
,7,16,1,《པེ་》《སྣར་》,པ།,,,,,
,,17,2,《པེ་》《སྣར་》,གི།,,,,,
,8,18,1,《པེ་》《སྣར་》,mགྱི་སེམས་ཅན།,,,,,
,,19,2,《པེ་》《སྣར་》,mདེ།,,,,,
,9,20,1,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,21,2,《པེ་》《སྣར་》,རྣམས།,,,,,
,,22,3,《པེ་》《སྣར་》,དབབ།,,,,,
,10,23,1,《པེ་》《སྣར་》,པ།,,,,,
,,24,2,《པེ་》《སྣར་》,དགོས།,,,,,
,,25,3,《པེ་》《སྣར་》,pདང་པོ།,,,,,
,11,26,1,《པེ་》《སྣར་》,བརླབས།,,,,,
,,27,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,12,28,1,《པེ་》《སྣར་》,གི།,,,,,
,13,29,1,《པེ་》《སྣར་》,ན།,,,,,
,,30,2,《པེ་》《སྣར་》,ཆེན།,,,,,
,,31,3,《སྣར་》,དག,,,,,
,,32,4,《པེ་》《སྣར་》,ཡི་དགའ།,,,,,
,14,33,1,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,34,2,《པེ་》《སྣར་》,བྱ།,,,,,
,,35,3,《པེ་》《སྣར་》,ན།,,,,,
,,36,4,《པེ་》《སྣར་》,མཆོག,,,,,
,,37,5,《པེ་》《སྣར་》,pཀྱང་།,,,,,
,,38,6,《པེ་》《སྣར་》,རྙེད།,,,,,
,,39,7,《པེ་》《སྣར་》,པ་སྟེ།,,,,,
,15,40,1,《པེ་》《སྣར་》,pདགའ་བའི་རོལ་པ་མི་སྦ་དང་།།,,,,,
,,41,2,《པེ་》《སྣར་》,མཁའ།,,,,,
,,42,3,《པེ་》《སྣར་》,སྐྱེས།,,,,,
