མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
༄༅། །སྒྲོན་མ་གསལ་བར་བྱེད་པའིདཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ།,529,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། <<པེ>><<སྣར>>སྒྲོན་མ་གསལ་བར་བྱེད་པའི་འགྲེལ་པ་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,དཱི།,
,,4,3,《པེ་》,ཀླགས།,
,,5,4,《པེ་》,གྱིས།,
,530,6,1,《པེ་》《སྣར་》,pཤེས་རབ་དང་།,
,,7,2,《པེ་》,mབ།,
,,8,3,《པེ་》《སྣར་》,mནི་ཚིག,
,,9,4,《སྣར་》,བསྒྲུབ།,
,,10,5,《པེ་》《སྣར་》,གིས།,
,531,11,1,《པེ་》《སྣར་》,ཡང་།,
,,12,2,《པེ་》《སྣར་》,ནམ།,
,,13,3,《པེ་》《སྣར་》,pཔས།,
,532,14,1,《པེ་》《སྣར་》,འཛིན་གྱིས་བཞུགས།,
,,15,2,《པེ་》《སྣར་》,mནི།,
,,16,3,《པེ་》《སྣར་》,སྐྱེས།,
,533,17,1,《པེ་》《སྣར་》,སྟོང་།,
,,18,2,《པེ་》《སྣར་》,བསྲུང་།,
,,19,3,《པེ་》《སྣར་》,བདུན།,
,,20,4,《པེ་》《སྣར་》,mལ།,
,,21,5,《པེ་》《སྣར་》,mཉིད།,
,,22,6,《པེ་》《སྣར་》,བཞུགས།,
,,23,7,《པེ་》《སྣར་》,mཝ།,
,,24,8,《པེ་》,གྱིས།,
,,25,9,《པེ་》《སྣར་》,བདེ།,
,534,26,1,《པེ་》《སྣར་》,mཔ།,
,,27,2,《པེ་》,དེའི།,
,,28,3,《པེ་》《སྣར་》《ཅོ་》,སྲོག,
,,29,4,《པེ་》《སྣར་》,mཔ།,
,,30,5,《པེ་》《སྣར་》,mནི།,
,,31,6,《པེ་》,རླབ།,
,,32,7,《པེ་》《སྣར་》,པར།,
,,33,8,《པེ་》《སྣར་》,mཔ།,
,,34,9,《པེ་》《སྣར་》,སྒོམ།,
,,35,10,《པེ་》《སྣར་》《ཅོ་》,བསྒོམ།,
,535,36,1,《པེ་》《སྣར་》,པར།,
,,37,2,《པེ་》《སྣར་》,འགོག,
,,38,3,《ཅོ་》,བྱ་བ།,
,,39,4,《པེ་》《སྣར་》,གྱི་ནི་བསྒོམས།,
,,40,5,《པེ་》《སྣར་》,གྱི།,
,,41,6,《པེ་》《སྣར་》,ཀྱི།,
,,42,7,《པེ་》《སྣར་》,ཀྱི།,
,,43,8,《པེ་》《སྣར་》,པ་རྣམས།,
,536,44,1,《པེ་》《སྣར་》,དོ།།,
,,45,2,《པེ་》,དཀོད།,
,,46,3,《པེ་》,བྱ་བ།,
,,47,4,《པེ་》《སྣར་》,བཟང་།,
,537,48,1,《པེ་》,པོ།,
,,49,2,《པེ་》《སྣར་》,ལངས།,
,,50,3,《པེ་》《སྣར་》,པར།,
,,51,4,《པེ་》《སྣར་》,pཔོ།,
,,52,5,《པེ་》《སྣར་》,དེ།,
,538,53,1,《པེ་》《སྣར་》,mཅན།,
,,54,2,《པེ་》《སྣར་》,ལའོ།,
,,55,3,《པེ་》,ཀྱིས།,
,,56,4,《པེ་》《སྣར་》,དེ།,
,539,57,1,《པེ་》《སྣར་》,mསོ་ཞེས།,
,,58,2,《པེ་》《སྣར་》,སོར།,
,,59,3,《པེ་》,བྱའོ།,
,,60,4,《པེ་》《སྣར་》,སོར།,
,,61,5,《པེ་》《སྣར་》,པ།,
,540,62,1,《པེ་》《སྣར་》,གཅིག,
,,63,2,《པེ་》《སྣར་》,ཀྱི།,
,,64,3,《པེ་》,mསྣ་ཚོགས་པའི་དགའ་བས་གདུལ་བྱ།,
,,65,4,《པེ་》《སྣར་》,ཀྱིས།,
,,66,5,《པེ་》《སྣར་》,mབ།,
,,67,6,《པེ་》《སྣར་》,རིམ།,
,,68,7,《པེ་》,mནོ།།,
,541,69,1,《པེ་》《སྣར་》,mཀྱི།,
,,70,2,《པེ་》《སྣར་》,པ།,
,,71,3,《པེ་》,གསུང་།,《སྣར་》,བསྲུང་།
,,72,4,《པེ་》《སྣར་》,སྒྲུབ་ཐབས་ཀྱི་རིམ་པ།,
,542,73,1,《པེ་》《སྣར་》,mཔ།,
,,74,2,《པེ་》,དཀོད།,
,,75,3,《པེ་》,ན།,
,543,76,1,《པེ་》《སྣར་》,གྱིས།,
,,77,2,《པེ་》《སྣར་》,ནས།,
,,78,3,《པེ་》,བསྒོམ།,
,,79,4,《པེ་》《སྣར་》,ཏོ།,
,,80,5,《པེ་》《སྣར་》,བསྒོམ།,
,,81,6,《པེ་》《སྣར་》,ཀྱིས།,
,,82,7,《པེ་》《སྣར་》,ཀྱིས།,
,,83,8,《པེ་》《སྣར་》,བཞག,
,,84,9,《པེ་》《སྣར་》,པར།,
,544,85,1,《པེ་》《སྣར་》,གྲགས།,
,,86,2,《པེ་》《སྣར་》,ཡས།,
,,87,3,《པེ་》《སྣར་》,པ་ནི།,
,,88,4,《པེ་》《སྣར་》,པོ།,
,545,89,1,《པེ་》《སྣར་》,mཔ།,
,,90,2,《པེ་》《སྣར་》,ནས།,
,,91,3,《པེ་》《སྣར་》,ལས།,
,,92,4,《པེ་》《སྣར་》,pཔ།,
,,93,5,《པེ་》《སྣར་》,mཉིད།,
,,94,6,《ཅོ་》,mཔ།,
,,95,7,《པེ་》《སྣར་》,འགྱུར་བས།,
,,96,8,《པེ་》《སྣར་》,བྱ་བའོ།,
,546,97,1,《པེ་》《སྣར་》,པ།,
,,98,2,《པེ་》《སྣར་》,བྱས་པའི།,
,,99,3,《པེ་》《སྣར་》,ཨ་ཀཪྵ།,
,,100,4,《པེ་》《སྣར་》,བཞུགས།,
,547,101,1,《པེ་》《སྣར་》,mབྱ་བར།,
,,102,2,《པེ་》《སྣར་》,བསད།,
,,103,3,《པེ་》《སྣར་》,ནང་།,
,,104,4,《པེ་》《སྣར་》,གྱི།,
,548,105,1,《པེ་》《སྣར་》,སྟཾ།,
,,106,2,《པེ་》《སྣར་》,ནི།,
,,107,3,《པེ་》《སྣར་》,བར།,
,,108,4,《པེ་》《སྣར་》,པ།,
,,109,5,《པེ་》《སྣར་》,མཐའ་མར་བསད།,
,549,110,1,《པེ་》《སྣར་》,གཏོན་ཏེ།,
,,111,2,《པེ་》《སྣར་》,བསླབས།,
,,112,3,《པེ་》《སྣར་》,བཅད།,
,,113,4,《པེ་》,བྱའོ།,
,,114,5,《པེ་》《སྣར་》,ཛི།,
,,115,6,《པེ་》,བརྣ།,
