        མཚན་བྱང་།,     ཤོག་གྲངས།,1,        མཆན་གྲངས།,            པར་མ།,                                               མཆན།,,,,,,
སྒྲོན་མ་གསལ་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།,403,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,དཱི་པོ་ཏ་ནཱ།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀ,,,,,,
,,5,4,《སྣར་》,སྒྲོལ།,,,,,,
,,6,5,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,404,7,1,《པེ་》《སྣར་》,བསལ།,,,,,,
,,8,2,《པེ་》《སྣར་》,པ།,,,,,,
,,9,3,《པེ་》,བརྩོན།;《སྣར་》,བརྩོམ།,,,,,
,,10,4,《པེ་》《སྣར་》,གི།,,,,,,
,,11,5,《པེ་》,འབྲང་ཏེ་རབས།,,,,,,
,,12,6,《པེ་》,བརྩོམ།,,,,,,
,405,13,1,《པེ་》《སྣར་》,mགྲུབ་པའི་མཐའ་རྣམས་ཀུན་ལ་མཁས།།,,,,,,
,,14,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,15,3,《པེ་》《སྣར་》,mརོ།,,,,,,
,,16,4,《པེ་》《སྣར་》,རྒོལ།,,,,,,
,,17,5,《པེ་》《སྣར་》,གྱུར་པའི།,,,,,,
,,18,6,《པེ་》《སྣར་》,ལྟར།,,,,,,
,406,19,1,《པེ་》《སྣར་》,མེད།,,,,,,
,,20,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,21,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,22,4,《པེ་》《སྣར་》,mཉིད་།,,,,,,
,407,23,1,《པེ་》《སྣར་》,འོ་ན།,,,,,,
,,24,2,《པེ་》《སྣར་》,པ།,,,,,,
,,25,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,26,4,《པེ་》《སྣར་》,གསལ།,,,,,,
,408,27,1,《པེ་》《སྣར་》,pནི།,,,,,,
,,28,2,《པེ་》《སྣར་》,mམ།,,,,,,
,,29,3,《པེ་》《སྣར་》,mའདི།,,,,,,
,,30,4,《པེ་》《སྣར་》,སྐུར།,,,,,,
,,31,5,《པེ་》《སྣར་》,དབང་།,,,,,,
,,32,6,《པེ་》《སྣར་》,རྟོགས།,,,,,,
,,33,7,《པེ་》《སྣར་》,བསླུ།,,,,,,
