མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་གཏོར་མའི་ཆོ་ག་ཞེས་པ།,769,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་གཏོར་མའི་ཆོ་ག་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,༽ཿ།,
,,4,3,《པེ་》《སྣར་》,ལི།,
,,5,4,《པེ་》《སྣར་》,འབུལ།,
,770,6,1,《པེ་》《སྣར་》,ཞིང་།,
,,7,2,《པེ་》《སྣར་》,བྷྲཱུཾ།,
,,8,3,《པེ་》《སྣར་》,གྱི།,
,,9,4,《པེ་》《སྣར་》,སྦྱངས་པར།,
,,10,5,《པེ་》《སྣར་》,བརླབས།,
,,11,6,《པེ་》《སྣར་》,དྷྲིཀ,
,,12,7,《པེ་》《སྣར་》,ར།,
,,13,8,《པེ་》《སྣར་》,mརྩེ།,
,,14,9,《པེ་》《སྣར་》,རྭ།,
,,15,10,《པེ་》《སྣར་》,གྱིས་འོད་ཟེར་གྱི།,
,771,16,1,《པེ་》《སྣར་》,མཁས་པ།,
,,17,2,《པེ་》《སྣར་》,mཔཎྜི་ཏ་དེ་ཉིད་དང་ལོ་ཙཱ་བ་འགོས་ཀྱིས་བསྒྱུར།། །།,,
