མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,1175,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས་གཉིས་དང་གསང་བ་འདུས་པའི་བསྟོད་པ་མར་མེ་མཛད་ཡེ་ཤེས་ཀྱིས་མཛད་པའོ།།,,
,,3,2,《པེ་》《སྣར་》,བསྟེན།,,
,,4,3,《པེ་》《སྣར་》,མ།,,
,,5,4,《པེ་》《སྣར་》,སུམ་ཚོགས།,,
,1176,6,1,《པེ་》《སྣར་》,ཡི།,,
,,7,2,《པེ་》《སྣར་》,བས།,,
,,8,3,《པེ་》《སྣར་》,རྟོགས།,,
,,9,4,《པེ་》《སྣར་》,ལས།,,
,,10,5,《པེ་》《སྣར་》,གྷཿགྷཿ།,,
,,11,6,《པེ་》《སྣར་》,དུཥྚཱ།,,
,1177,12,1,《པེ་》《སྣར་》,ནཾ།,,
,,13,2,《པེ་》《སྣར་》,ལ།,,
,,14,3,《པེ་》《སྣར་》,སྤྲོས་པ།,,
,,15,4,《པེ་》《སྣར་》,སརྦྦ།,,
,,16,5,《པེ་》《སྣར་》,m྅།,,
,,17,6,《པེ་》《སྣར་》,mདང་།,,
,,18,7,《པེ་》《སྣར་》,ཡི།,,
,1178,19,1,《པེ་》《སྣར་》,ཀྱི།,,
,,20,2,《པེ་》《སྣར་》,གི།,,
,,21,3,《པེ་》《སྣར་》,pནས།,,
,,22,4,《སྣར་》,བརླབས།,,
,,23,5,《པེ་》《སྣར་》,m྅།,,
,,24,6,《པེ་》《སྣར་》,ཨཾ།,,
,,25,7,《པེ་》《སྣར་》,བསམས།,,
,1179,26,1,《པེ་》《སྣར་》,བརྒྱད།,,
,,27,2,《པེ་》《སྣར་》,ཀྱི།,,
,,28,3,《པེ་》《སྣར་》,mདུ།,,
,,29,4,《པེ་》《སྣར་》,བ།,,
,,30,5,《པེ་》《སྣར་》,pདཀར་པོ་ཞལ་གཡས།,,
,1180,31,1,《སྣར་》,གི།,,
,,32,2,《སྣར་》,བསྐྱེད།,,
,,33,3,《པེ་》《སྣར་》,དང་གཞན་གྱི་རྟོག,,
,,34,4,《པེ་》《སྣར་》,པས། བརྗོད།,,
,1181,35,1,《པེ་》《སྣར་》,ཀྱི་འགྲོ་བ།,,
