མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
གསང་བ་ཐུགས་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ། ,1702,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》གསང་བའི་ཐུགས་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ་བཞུགས་སོ།།,
,,3,2,《པེ་》《སྣར་》,བའི།,
,,4,3,《པེ་》《སྣར་》,འཁྲུག,
,,5,4,《པེ་》,སྦྱར་བར་བྱ,《སྣར་》,སྦྱར་བར་བྱས།
,,6,5,《པེ་》《སྣར་》,བཏུལ།,
,1703,7,1,《པེ་》《སྣར་》,བསྐྱིལ།,
,,8,2,《པེ་》《སྣར་》,བྱེད།,
,,9,3,《པེ་》《སྣར་》,སྦས།,
,,10,4,《པེ་》《སྣར་》,འཕན།,
,,11,5,《སྣར་》,བསྟིམས།,
,,12,6,《པེ་》《སྣར་》,ཤྲཱིས།,
,1704,13,1,《པེ་》《སྣར་》,ལོཙྪ།,
