                      མཚན་བྱང་།,           ཤོག་གྲངས།,1,   མཆན་གྲངས།,              པར་མ།,                                                                         མཆན།,            ,,,,,
༄༅། །ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨེ་སྔགས་ཀྱིས་བསྟོད་པ་བྱིན་རླབས་ཅན་ཞེས་བྱ་བ།།,446,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,འཁྱམས།,,,,,,
,,4,3,《པེ་》《སྣར་》,རང་།,,,,,,
,447,5,1,《པེ་》,འཚུབས་པས།,《སྣར་》,ཚུབ་མས།,,,,,
,,6,2,《པེ་》,དུག,《སྣར་》,གདུགས།,,,,,
,,7,3,《པེ་》,སྔོས།,《སྣར་》,བསྡོམས།,,,,,
,,8,4,《པེ་》《སྣར་》,ཡིད།,,,,,,
,,9,5,《པེ་》,བཟློག,《སྣར་》,ཟློག,,,,,
,448,10,1,《སྣར་》,འཕོངས།,,,,,,
,,11,2,《པེ་》,གཅིག,《སྣར་》,ཅིག,,,,,
,,12,3,《སྣར་》,པོའི།,,,,,,
,,13,4,《པེ་》,mབྱམས་མགོན་ཐུགས་རྗེ་ཅན་གྱིས་བཟོད་ལགས་སམ། །,,,,,,
,449,14,1,《སྣར་》,རྗེས།,,,,,,
,,15,2,《པེ་》《སྣར་》,སར།,,,,,,
