མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,མཆན།,པར་མ།,,,,,,,,,,,,,,,,
,,2,,,,,,,,,,,,,,,,,,,
,71,3,1,《པེ་》《སྣར་》,ད་ལྟར་བསྲུངས།,,,,,,,,,,,,,,,,
,,4,2,《པེ་》《སྣར་》,འཆན།,,,,,,,,,,,,,,,,
,,5,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,,,,,,,,,,,
,72,6,1,《པེ་》《སྣར་》,mདུ།,,,,,,,,,,,,,,,,
,,7,2,《པེ་》《སྣར་》,ལྷོ།,,,,,,,,,,,,,,,,
,,8,3,《པེ་》《སྣར་》,སར།,,,,,,,,,,,,,,,,
,,9,4,《པེ་》《སྣར་》,ཤྩཎྜ།,,,,,,,,,,,,,,,,
,,10,5,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,
,,11,6,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,
,,12,7,《པེ་》《སྣར་》,དྷཱ་ར་དྷཱ།,,,,,,,,,,,,,,,,
,,13,8,《པེ་》《སྣར་》,དྷ་ར་ཡ་དྷ།,,,,,,,,,,,,,,,,
,,14,9,《པེ་》《སྣར་》,དྷཱུ་ར་ན་དྷཱ་རུ་ན།,,,,,,,,,,,,,,,,
,,15,10,《པེ་》《སྣར་》,གྱི།,,,,,,,,,,,,,,,,
,,16,11,《པེ་》《སྣར་》,mདང་།,,,,,,,,,,,,,,,,
,,17,12,《པེ་》《སྣར་》,ཕྱེ།,
,,18,13,《པེ་》《སྣར་》,དུར།,
,73,19,1,《པེ་》《སྣར་》,སྭབ།,
,,20,2,《པེ་》《སྣར་》,བྷི།,
,,21,3,《པེ་》《སྣར་》,ཛྭ།,
