མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།,,
,78,2,1,《པེ་》《སྣར་》,pབདག,,
,79,3,1,《པེ་》《སྣར་》,གྱི།,,
,,4,2,《པེ་》《སྣར་》,ལོའི།,,
,,5,3,《པེ་》《སྣར་》,འཆན།,,
,,6,4,《པེ་》《སྣར་》,ལ།,,
,,7,5,《པེ་》《སྣར་》,ལ།,,
,,8,6,《པེ་》《སྣར་》,ཙྪིན་ད་ཙྪིན་ད་མ་ཧཱ་ཀི་ལི་ཀཱི་ལ།,,
,,9,7,《པེ་》《སྣར་》,ཙན་ད།,,
,,10,8,《པེ་》《སྣར་》,ལ།,,
,,11,9,《པེ་》《སྣར་》,པ།,,
,,12,10,《པེ་》《སྣར་》,ལ།,,
,80,13,1,《པེ་》《སྣར་》,ལ།,,
,,14,2,《པེ་》《སྣར་》,ལ།,,
,,15,3,《པེ་》,པ་རྡོ་རྗེ།,《སྣར་》,པ་རྡོ།
,,16,4,《པེ་》《སྣར་》,པ།,,
,,17,5,《སྣར་》,རྒྱན།,,
,,18,6,《པེ་》《སྣར་》,བསྒྲད།,,
,,19,7,《པེ་》《སྣར་》,ཟན།,,
,,20,8,《པེ་》《སྣར་》,ཚིན་ད་ཚིན་ད།,,
,,21,9,《པེ་》《སྣར་》,ལ།,,
,,22,10,《པེ་》《སྣར་》,འགྲིལ།,,
,,23,11,《པེ་》《སྣར་》,ལ།,,
,,24,12,《པེ་》《སྣར་》,ལ།,,
,,25,13,《པེ་》《སྣར་》,འགྲིལ།,,
,,26,14,《པེ་》《སྣར་》,mན།,,
,,27,15,《པེ་》《སྣར་》,ལ།,,
,81,28,1,《པེ་》《སྣར་》,བུ།,,
,,29,2,《པེ་》《སྣར་》,དྷ།,,
,,30,3,《པེ་》《སྣར་》,པ།,,
,,31,4,《པེ་》《སྣར་》,ཙམ།,,
,,32,5,《པེ་》《སྣར་》,དྷ།,,
,,33,6,《པེ་》《སྣར་》,པུ།,,
,,34,7,《པེ་》《སྣར་》,བཏོན།,,
,,35,8,《པེ་》《སྣར་》,བས།,,
,,36,9,《པེ་》《སྣར་》,བསྲུང་།,,
,,37,10,《པེ་》《སྣར་》,ཐབས།,,
