མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།
,92,2,1,《པེ་》《སྣར་》,mདར།
,,3,2,《པེ་》《སྣར་》,པ་སྟེ།
,93,4,1,《པེ་》《སྣར་》,དྷུ།
,,5,2,《པེ་》《སྣར་》,mཔ།
,,6,3,《པེ་》《སྣར་》,mདང་།
,,7,4,《པེ་》《སྣར་》,mསྨིན་དྲུག
,,8,5,《པེ་》《སྣར་》,mདང་།
,,9,6,《པེ་》《སྣར་》,རྣམས།
,,10,7,《པེ་》《སྣར་》,mཔོ།
,,11,8,《པེ་》《སྣར་》,དེའི་འོག་སྐུ་མདོག
,,12,9,《པེ་》《སྣར་》,pབ།
,,13,10,《པེ་》《སྣར་》,ནབས།
,,14,11,《པེ་》《སྣར་》,སེར།
,,15,12,《པེ་》《སྣར་》,ཁྱུང་།
,,16,13,《པེ་》《སྣར་》,mམདོག་དཀར་སེར་ཕྱག་ན།
,,17,14,《པེ་》《སྣར་》,mཁྱུང་ལ་ཞོན་པ།
,,18,15,《པེ་》《སྣར་》,mསྔོན་པོ།
,,19,16,《པེ་》《སྣར་》,མགོ།
,,20,17,《པེ་》《སྣར་》,pརྣམས།
,,21,18,《པེ་》《སྣར་》,mཔོ།
,,22,19,《པེ་》《སྣར་》,སྐུ།
,94,23,1,《པེ་》《སྣར་》,བ་དན།
,,24,2,《པེ་》《སྣར་》,mལ།
,,25,3,《པེ་》《སྣར་》,pན།
,,26,4,《པེ་》《སྣར་》,ཁྲུམས།
,,27,5,《པེ་》《སྣར་》,དྷུ།
,,28,6,《པེ་》《སྣར་》,ན།
,,29,7,《པེ་》《སྣར་》,pརྣམས།
,,30,8,《པེ་》《སྣར་》,མོ།
,95,31,1,《པེ་》《སྣར་》,རྟ།
,,32,2,《པེ་》《སྣར་》,འུ།
,,33,3,《པེ་》《སྣར་》,བསྟིམས།
,,34,4,《པེ་》《སྣར་》,སར།
,,35,5,《པེ་》《སྣར་》,སྟོན།
