མཚན་བྱང།,ཤོག་གྲངས། ,1,མཆན་གྲངས། ,དཔར་མ། ,མཆན།,
,95,2,1,《སྣར་》,བསག,
,96,3,1,《པེ་》《སྣར་》,ལ།,
,,4,2,《པེ་》《སྣར་》,གདུགས།,
,,5,3,《པེ་》《སྣར་》,མན་ཏྲཱ་དང་མུ་དྲས།,
,,6,4,《པེ་》《སྣར་》,མགོས།,
,,7,5,《པེ་》《སྣར་》,མདུད།,
,,8,6,《པེ་》《སྣར་》,mབརྗོད།,
,,9,7,《པེ་》《སྣར་》,ཤུ།,
,,10,8,《པེ་》《སྣར་》,རྫེས།,
,,11,9,《པེ་》《སྣར་》,བལྟ།,
,97,12,1,《པེ་》《སྣར་》,mབརྗོད།,
,,13,2,《པེ་》《སྣར་》,རྫེས།,
,,14,3,《པེ་》《སྣར་》,མཁྱིལ།,
,,15,4,《པེ་》《སྣར་》,མཁྱིལ།,
,,16,5,《སྣར་》,སྟེངས།,
,,17,6,《པེ་》《སྣར་》,དང་།,
,,18,7,《པེ་》《སྣར་》,mཔ།,
,98,19,1,《སྣར་》,མདུངས།,
,,20,2,《པེ་》,བཞུགས།,《སྣར་》,བཞུག
,,21,3,《པེ་》《སྣར་》,ཏཱིཙྪ་དྷཾ་མ་ཧཱ་སདྡྷོ།,
,,22,4,《པེ་》《སྣར་》,ཨཛྙཱ།,
,,23,5,《སྣར་》,དཀྲོལ།,
,,24,6,《པེ་》《སྣར་》,སྟོན།,
,,25,7,《པེ་》《སྣར་》,ག་ཛ།,
