མཚན་བྱང། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ། ,མཆན། 
,129,2,1,《པེ་》《སྣར་》,བསྒྲུབས་ཏེ།
,,3,2,《པེ་》《སྣར་》,སྒྱུར།
,,4,3,《པེ་》《སྣར་》,བསྒྲུབ།
,,5,4,《པེ་》《སྣར་》,མགུལ།
,,6,5,《པེ་》《སྣར་》,རྒྱལ།
,,7,6,《པེ་》《སྣར་》,ན་ག་ཧེ་དུ།
,,8,7,《པེ་》《སྣར་》,ཟན།
,,9,8,《པེ་》《སྣར་》,སྒྲུབ།
,,10,9,《པེ་》《སྣར་》,ལ།
,,11,10,《པེ་》《སྣར་》,གྱི་སྒྱུར།
,,12,11,《པེ་》《སྣར་》,བཅིང་།
,,13,12,《པེ་》《སྣར་》,ཏིག
,,14,13,《པེ་》《སྣར་》,ཿཙཎྜ།
,,15,14,《པེ་》《སྣར་》,ན་ཡེ་ཤོད།
,,16,15,《པེ་》《སྣར་》,ན།
,,17,16,《པེ་》《སྣར་》,མགུལ།
,,18,17,《པེ་》《སྣར་》,གྲི་སྔོན་དམར་བཏུབས།
,,19,18,《པེ་》《སྣར་》,བཀྲག
,,20,19,《པེ་》《སྣར་》,སྒྲུབ།
,130,21,1,《པེ་》《སྣར་》,འཇུག་བརྒྱན།
,,22,2,《པེ་》《སྣར་》,གྱིས།
,,23,3,《པེ་》《སྣར་》,དེ་མཚུངས།
,,24,4,《པེ་》《སྣར་》,མཚན་ཅན་བསྒྲུབས་ཏེ།
,,25,5,《པེ་》《སྣར་》,སྒྲུབ།
,,26,6,《པེ་》《སྣར་》,mམ།
,,27,7,《པེ་》《སྣར་》,སྤྲི།
,,28,8,《པེ་》《སྣར་》,ད།
,,29,9,《པེ་》《སྣར་》,འཐོན་པ་དང་བཏུད། 
,,30,10,《པེ་》《སྣར་》,མགུལ།
