མཚན་བྱང། ,ཤོག་གྲངས། ,1,མཆན་གྲངས།,དཔར་མ།,མཆན། ,
,200,2,1,《པེ་》《སྣར་》,མ།,
,,3,2,《པེ་》《སྣར་》,གཟིགས།,
,,4,3,《པེ་》《སྣར་》,སྙུག,
,,5,4,《པེ་》《སྣར་》,གཅིག,
,,6,5,《པེ་》《སྣར་》,བསྟོད།,
,201,7,1,《པེ་》《སྣར་》,ལས།,
,,8,2,《པེ་》《སྣར་》,པའི།,
,,9,3,《པེ་》《སྣར་》,pསྙིང་པོ།,
,,10,4,《པེ་》,ཁྱེ་དར་བརྟུལ།,《སྣར་》,ཁྱེད་དར་བརྟུལ།
,,11,5,《པེ་》《སྣར་》,mཅིང་།,
,,12,6,《པེ་》《སྣར་》,བསྙེ།,
,,13,7,《པེ་》《སྣར་》,ཅིག,
,,14,8,《པེ་》《སྣར་》,pལ།,
,,15,9,《པེ་》《སྣར་》,pདེ་ལྟར་ཕྱོགས་མ་ནོར་བར་བཏང་།,
,,16,10,《པེ་》《སྣར་》,ཕྱེ།,
,,17,11,《པེ་》《སྣར་》,བསྐྱལ།,
