མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
ཀླུ་སྒྲུབ་ཀྱི་ཆོས་ཚན།,3,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,མཱ་དྷྱ།
,,4,3,《པེ་》《སྣར་》,ཀཱ།
,,5,4,《པེ་》《སྣར་》,pདཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ།།
,,6,5,《པེ་》《སྣར་》,pསློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ལ་ཕྱག་འཚལ་ལོ།།
,,7,6,《པེ་》《སྣར་》,རྣམས།
,,8,7,《པེ་》,རྒྱུད།
,4,9,1,《པེ་》《སྣར་》,པ་མེད།
,,10,2,《པེ་》《སྣར་》,པས།
,,11,3,《པེ་》《སྣར་》,ལྟར།
,,12,4,《པེ་》《སྣར་》,ནར།
,,13,5,《པེ་》《སྣར་》,སོར།
,,14,6,《པེ་》《སྣར་》,འབྲས་བུ་དེ་མེད་ཀྱང་།
,,15,7,《སྣར་》,གྱིས།
,5,16,1,《པེ་》《སྣར་》,ཕྱིར།
,,17,2,《པེ་》《སྣར་》,པ།
,,18,3,《པེ་》《སྣར་》,གྱུར་པ།
,,19,4,《པེ་》《སྣར་》,བ།
,,20,5,《པེ་》《སྣར་》,འགྱུར།
,,21,6,《པེ་》《སྣར་》,འགྱུར།
,,22,7,《པེ་》《སྣར་》,གི།
,,23,8,《པེ་》《སྣར་》,བརྩོམ།
,6,24,1,《པེ་》《སྣར་》,ལས།
,,25,2,《པེ་》,འགྱུར།
,,26,3,《སྣར་》,བར།
,,27,4,《པེ་》《སྣར་》,རྣམས་བརྟགས།
,,28,5,《པེ་》《སྣར་》,ཉིད།
,,29,6,《པེ་》《སྣར་》,གིས།
,,30,7,《སྣར་》,བ།
,7,31,1,《པེ་》,བ་ཡོད།
,,32,2,《པེ་》,སྣོམ་པ་ལ།  །མྱང་།,《སྣར་》,སྣམ་པ་ལ། །མྱང་།
,,33,3,《པེ་》《སྣར་》,བྱེད།
,,34,4,《པེ་》《སྣར་》,ལྟ།
,,35,5,《པེ་》《སྣར་》,ལྟར།
,,36,6,《པེ་》《སྣར་》,བར།    །དེ་གཞན་དག
,,37,7,《སྣར་》,དཔས།
,,38,8,《པེ་》《སྣར་》,བགོམ།
,,39,9,《པེ་》《སྣར་》,ལྟར།
,,40,10,《པེ་》《སྣར་》,པོ་ཡང་།
,,41,11,《པེ་》《སྣར་》,ལྟ།
,,42,12,《པེ་》《སྣར་》,pཇི་ལྟར་བ་དང་མ་དག་པ།       །བརྟེན་ནས་བུ་ནི་འབྱུང་བཤད་པ།      །དེ་བཞིན་མིག་དང་གཟུགས་བརྟེན་ནས།    །རྣམ་པར་ཤེས་པ་འབྱུང་བར་བཤད།
,,43,13,《པེ་》《སྣར་》,ལྟ་བྱ་བལྟ།
,,44,14,《པེ་》《སྣར་》,ལ་སོགས་པ།
,,45,15,《སྣར་》,ཡང་།
,,46,16,《སྣར་》,སྣ།
,,47,17,《པེ་》《སྣར་》,མྱང་།
,8,48,1,《པེ་》《སྣར་》,འགྱུར།
,,49,2,《སྣར་》,འགལ།
,,50,3,《པེ་》《སྣར་》,ཀྱི།
,,51,4,《པེ་》《སྣར་》,ཚེ།
,,52,5,《པེ་》《སྣར་》,ཡི།
,,53,6,《སྣར་》,pརོ།
,,54,7,《པེ་》《སྣར་》,ཡི།
,,55,8,《པེ་》《སྣར་》,སྔར།
,9,56,1,《པེ་》《སྣར་》,པ།
,,57,2,《སྣར་》,མཚུང་།
,,58,3,《པེ་》《སྣར་》,དེས།
,,59,4,《པེ་》《སྣར་》,བརྟེན།
,,60,5,《པེ་》《སྣར་》,ན།
,,61,6,《པེ་》,དང་།
,,62,7,《པེ་》《སྣར་》,བལྟོས།,(ཆོས་ཚན་འདིའི་ནང་དུ་ལྟོས་ཞེས་པ་རྣམས་72དུ་བལྟོས་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,63,8,《པེ་》《སྣར་》,མིན་ཏེ།
,10,64,1,《པེ་》《སྣར་》,པར་ཡང་དེར།
,,65,2,《སྣར་》,ནི།
,,66,3,《པེ་》《སྣར་》,འགྱུར།
,,67,4,《པེ་》《སྣར་》,བསྒྲུབ།
,,68,5,《པེ་》《སྣར་》,པོར།
,,69,6,《པེ་》《སྣར་》,ཇི།
,,70,7,《པེ་》,བ་ལ་སོགས།,《སྣར་》,ལ་སོགས་སུ།
,,71,8,《པེ་》《སྣར་》,པ་མེད།
,,72,9,《པེ་》《སྣར་》,ཡིས།
,11,73,1,《པེ་》《སྣར་》,བསྐྱེད།
,,74,2,《པེ་》《སྣར་》,བསྐྱེད་པ།
,,75,3,《པེ་》《སྣར་》,མེས།
,,76,4,《པེ་》《སྣར་》,པ་ཡིན།
,,77,5,《སྣར་》,ནི།
,,78,6,《པེ་》《སྣར་》,འདུག་པ་ངེས་བསལ།
,,79,7,《པེ་》《སྣར་》,བསྐྱེད།
,,80,8,《པེ་》《སྣར་》,བསྐྱེད་པ།   །དེས།
,,81,9,《པེ་》《སྣར་》,བརྟེན།
,,82,10,《སྣར་》,འགྱུར།
,12,83,1,《པེ་》《སྣར་》,mགང་ཞིག་གིས་སྐྱེད་པར་བྱེད།།
,,84,2,《པེ་》《སྣར་》,དེས་བསྐྱེད།
,,85,3,《པེ་》《སྣར་》,རིག
,,86,4,《པེ་》《སྣར་》,པའི།
,,87,5,《པེ་》《སྣར་》,ཡིན།
,,88,6,《པེ་》《སྣར་》,བགགས།
,,89,7,《པེ་》《སྣར་》,ཡི།
,13,90,1,《སྣར་》,བཅད།
,,91,2,《པེ་》《སྣར་》,པར།
,,92,3,《པེ་》《སྣར་》,བསྐྱེད།
,,93,4,《པེ་》《སྣར་》,ན།
,,94,5,《པེ་》《སྣར་》,གྲུབ།
,,95,6,《པེ་》《སྣར་》,པས།
,14,96,1,《པེ་》《སྣར་》,གྱུར་པའི།
,,97,2,《སྣར་》,དང་།
,,98,3,《པེ་》《སྣར་》,པས།
,,99,4,《པེ་》《སྣར་》,དོ།
,,100,5,《པེ་》《སྣར་》,པས།
,,101,6,《སྣར་》,pམ།
,,102,7,《པེ་》《སྣར་》,འདིར།
,,103,8,《པེ་》《སྣར་》,པར།
,,104,9,《པེ་》《སྣར་》,པོ་ལས་ལ།
,,105,10,《པེ་》《སྣར་》,པར།      །གྲུབ།
,,106,11,《པེ་》《སྣར་》,པོས་གསལ།
,,107,12,《སྣར་》,པོ།
,,108,13,《པེ་》《སྣར་》,མའང་།
,15,109,1,《པེ་》《སྣར་》,ཀྱིས།
,,110,2,《པེ་》《སྣར་》,བསལ།
,,111,3,《པེ་》《སྣར་》,བསལ།
,,112,4,《སྣར་》,ཡིས།
,,113,5,《པེ་》,པོ་དེ་ཉིད་ནི།,《སྣར་》,པོ་དེ་ཉིད་ན།
,,114,6,《པེ་》《སྣར་》,ལའང་།,《ཅོ་》,ཡང་།
,,115,7,《པེ་》《སྣར་》,མེ།
,16,116,1,《པེ་》《སྣར་》,ཉིད་ཡིན་ན།
,,117,2,《པེ་》《སྣར་》,གི།
,,118,3,《སྣར་》,སྲེད།
,,119,4,《པེ་》《སྣར་》,པར།
,,120,5,《པེ་》《སྣར་》,འགྱུར།
,,121,6,《པེ་》《སྣར་》,མེ།
,,122,7,《པེ་》,པོ་དྲུག,《སྣར་》,པོ་གྲུབ།
,,123,8,《པེ་》《སྣར་》,སྒྲུབ།
,,124,9,《པེ་》《སྣར་》,ཡང་།
,,125,10,《པེ་》《སྣར་》,གྲུབ།
,,126,11,《པེ་》《སྣར་》,འགྲུབ།
,17,127,1,《པེ་》,བསྒོམ།,《སྣར་》,བསྒོམས།
,,128,2,《པེ་》《སྣར་》,ལའང་།
,,129,3,《པེ་》《སྣར་》,བླང་བའི།
