                མཚན་བྱང་།,             ཤོག་གྲངས།,1,                 མཆན་གྲངས།,                    པར་མ།,                                                                  མཆན།
ལག་པའི་ཚད་ཀྱི་འགྲེལ་པ།,838,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,པྲིཏྟི།
,,4,3,《པེ་》《སྣར་》,mམ།
,839,5,1,《པེ་》《སྣར་》,ན།
,,6,2,《པེ་》《སྣར་》,བཏགས།
,,7,3,《པེ་》《སྣར་》,བཏགས།
,,8,4,《པེ་》《སྣར་》,བཏགས།
,,9,5,《པེ་》《སྣར་》,བལྟོས།
,,10,6,《པེ་》《སྣར་》,མིན།
,,11,7,《པེ་》《སྣར་》,བཏགས།
,840,12,1,《པེ་》《སྣར་》,དེས།
,,13,2,《པེ་》《སྣར་》,mཆ་ཐ་དད་པའི་ཕྱིར་ཆ་ཤས།
,,14,3,《པེ་》《སྣར་》,རྟག
,,15,4,《པེ་》《སྣར་》,བཏགས།
,,16,5,《པེ་》《སྣར་》,དོ།
,841,17,1,《པེ་》《སྣར་》,ནོ།,
,,18,2,《པེ་》《སྣར་》,pདེ།,
,,19,3,《པེ་》《སྣར་》,བཏགས།,
,,20,4,《པེ་》《སྣར་》,དེ་ནི་ཆ།,
,,21,5,《པེ་》《སྣར་》,བཏགས།,
,,22,6,《པེ་》《སྣར་》,ན།,
,,23,7,《པེ་》《སྣར་》,སྒྲུབ།,
,,24,8,《པེ་》《སྣར་》,དུའོ།,
,842,25,1,《པེ་》《སྣར་》,ཀྱིས།,
,,26,2,《པེ་》《སྣར་》,mབ།,
