མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །ཐེག་པ་ཆེན་པོ་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ་བཞུགས།,1821,2,1,《པེ་》《སྣར་》,ཐེག་པ་ཆེན་པོ་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ་བཞུགས། ,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཐ། ,,,,,,
,,4,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ཡི།,,,,,,
,,6,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,7,6,《པེ་》《སྣར་》,འཇིག,,,,,,
,1822,8,1,《པེ་》《སྣར་》,པའི།,,,,,,
,,9,2,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,10,3,《པེ་》《སྣར་》,པའི།,,,,,,
,,11,4,《པེ་》《སྣར་》,སྤྱོད།,,,,,,
,,12,5,《པེ་》《སྣར་》,གཙུབས།,,,,,,
,,13,6,《པེ་》《སྣར་》,རླན།,,,,,,
,,14,7,《སྣར་》,རྒྱུད།,,,,,,
,,15,8,《པེ་》,སྒོམ།,,,,,,
