མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་རྒྱ་ཆེར་བཤད་པ།,783,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་༄། །འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བའི་མདོ་རྒྱ་ཆེར་བཤད་པ་བཞུགས་སོ། །ཞེས་དང་། 《སྣར་》ལ་༄༅། །འཕགས་པ་…...བཤད་པ་བཞུགས། ཞེས་འཁོད།,,,,,
,,3,2,《པེ་》,ཤཱི།,,,,,
,,4,3,《པེ་》《སྣར་》,ཀ,,,,,
,,5,4,《སྣར་》,ས།,,,,,
,,6,5,《པེ་》《སྣར་》,བྱས་པ།,,,,,
,784,7,1,《པེ་》《སྣར་》,ཚིག,,,,,
,,8,2,《སྣར་》,mསངས་རྒྱས་སམ།,,,,,
,,9,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,
,,10,4,《པེ་》《སྣར་》,འཁྱམ།,,,,,
,,11,5,《སྣར་》,ཞེས།,,,,,
,,12,6,《པེ་》《སྣར་》,རྗེ།,,,,,
,785,13,1,《པེ་》《སྣར་》,དོ།།,,,,,
,,14,2,《པེ་》《སྣར་》,དོ།།,,,,,
,,15,3,《པེ་》,དེའི་ནི།,《སྣར་》,དེའི།,,,
,,16,4,《པེ་》《སྣར་》,གྱི།,,,,,
,,17,5,《པེ་》《སྣར་》,ལྟ།,,,,,
,786,18,1,《ཅོ་》,འདྲིས།,,,,,
,,19,2,《པེ་》《སྣར་》,རྗོད།,,,,,
,,20,3,《པེ་》《སྣར་》,mནོ།,,,,,
,,21,4,《པེ་》《སྣར་》,mཚིག,,,,,
,,22,5,《པེ་》《སྣར་》,བ།,,,,,
,,23,6,《པེ་》《སྣར་》,ལ།,,,,,
,,24,7,《པེ་》,ས།,,,,,
,,25,8,《པེ་》《སྣར་》,mཔ།,,,,,
,,26,9,《པེ་》《སྣར་》,mཔ།,,,,,
,787,27,1,《པེ་》,རྒྱས་འཐོབ།,《སྣར་》,ད་ད་རྒྱས་འཐོབ།,,,
,,28,2,《སྣར་》,བརྩམས།,,,,,
,,29,3,《པེ་》,པའི།,,,,,
,,30,4,《པེ་》《སྣར་》,འདི།,,,,,
,,31,5,《པེ་》《སྣར་》,mཡང་ཡོད་པ།,,,,,
,,32,6,《པེ་》《སྣར་》,mལྡན་པའི།,,,,,
,,33,7,《པེ་》《སྣར་》,pཉིད།,,,,,
,,34,8,《པེ་》《སྣར་》,དེ།,,,,,
,,35,9,《པེ་》,ནི།,,,,,
,788,36,1,《པེ་》,བ་བྱེད་པ།,《སྣར་》,བ།,,,
,,37,2,《པེ་》《སྣར་》,པའི།,,,,,
,,38,3,《པེ་》《སྣར་》,བརྩམས།,,,,,
,,39,4,《སྣར་》,པར།,,,,,
,,40,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,41,6,《པེ་》《སྣར་》,ལ།,,,,,
,,42,7,《པེ་》《སྣར་》,pའཇུག་པ་ལ།,,,,,
,,43,8,《པེ་》《སྣར་》,བརྩམས།,,,,,
,,44,9,《སྣར་》,འབྲེལ།,,,,,
,,45,10,《པེ་》《སྣར་》,དེས་ན།,,,,,
,,46,11,《པེ་》《སྣར་》,pའདི་ལ།,,,,,
,,47,12,《པེ་》《སྣར་》,གྱིིས།,,,,,
,,48,13,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,49,14,《པེ་》《སྣར་》,བརྩམ།,,,,,
,789,50,1,《སྣར་》,རི།,,,,,
,,51,2,《པེ་》《སྣར་》,བྱའི།,,,,,
,,52,3,《པེ་》《སྣར་》,m བར་བྱེད།,,,,,
,,53,4,《པེ་》《སྣར་》,pསུ་ལས་ཐོས་ཞེས་བྱ་བ་སྨོས་སོ།།,,,,,
,,54,5,《པེ་》《སྣར་》,ཞེ།,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ཞེ་ཤེ་ཅེ་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་ཤེ་ཅེ་ཞེ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,55,6,《སྣར་》,དག,,,,,
,,56,7,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,
,,57,8,《པེ་》《སྣར་》,བསྒོམ།,,,,,
