མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,1131,2,1,《པེ་》《སྣར་》,༄།ཐེག་པ་ཆེན་པོ་མདོ་སྡེའི་རྒྱན་གྱི་བཤད་པ་བཞུགས་སོ།  །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,ཏྲཱ་ལ་ངྐཱར་བྷཱ་ཥྱཱཎ།,,,,,,
,,4,3,《པེ་》《སྣར་》,བྱེད།,,,,,,
,,5,4,《པེ་》,བཙམས།,,,,,,
,,6,5,《པེ་》《སྣར་》,རྒྱན།,,,,,,
,,7,6,《པེ་》《སྣར་》,རྒྱན།,,,,,,
,,8,7,《སྣར་》,པ།,,,,,,
,1132,9,1,《པེ་》《སྣར་》,པས།,,,,,,
,,10,2,《པེ་》《སྣར་》,mབའི།,,,,,,
,,11,3,《སྣར་》,རྗེའི།,,,,,,
,,12,4,《སྣར་》,བརྒྱན།,,,,,,
,,13,5,《པེ་》《སྣར་》,mཔ།,,,,,,
,,14,6,《སྣར་》,mཔ།,,,,,,
,,15,7,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,16,8,《སྣར་》,གརྡུངས།,,,,,,
,,17,9,《སྣར་》,བྱེ།,,,,,,
,,18,10,《པེ་》《སྣར་》,དེ།,,,,,,
,,19,11,《པེ་》《སྣར་》,པ།,,,,,,
,1133,20,1,《པེ་》《སྣར་》,pདེ།,,,,,,
,,21,2,《སྣར་》,གིས།,,,,,,
,,22,3,《སྣར་》,རྒྱན།,,,,,,
,,23,4,《སྣར་》,ཀྱི།,,,,,,
,,24,5,《སྣར་》,དགའི།,,,,,,
,,25,6,《པེ་》,ཁྱད་པར།,《སྣར་》,བྱད་པ་ཐ།,,,,,
,,26,7,《པེ་》《སྣར་》,གེར།,,,,,,
