མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
དབུས་དང་མཐའ་རྣམ་པར་འབྱེད་པའི་འགྲེལ་པ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》,བྷཱ།,
,,4,3,《པེ་》《སྣར་》,བཞག,
,4,5,1,《པེ་》《སྣར་》,རྟོག,
,,6,2,《པེ་》《སྣར་》,mཞེས།,
,,7,3,《པེ་》《སྣར་》,པར།,
,5,8,1,《པེ་》《སྣར་》,སྐྱེ་བོ།,
,,9,2,《པེ་》《སྣར་》,གྱིས།,
,,10,3,《པེ་》《སྣར་》,བའི།,
,,11,4,《པེ་》《སྣར་》,ཡོད།,
,,12,5,《པེ་》《སྣར་》,པ་སྣང་བའི།,
,,13,6,《པེ་》《སྣར་》,རྟོགས།,
,,14,7,《པེ་》《སྣར་》,mདུ།,
,,15,8,《པེ་》《སྣར་》,mཡེ།,
,,16,9,《པེ་》《སྣར་》,pནི།,
,6,17,1,《པེ་》,pཡང་།,,
,,18,2,《པེ་》《སྣར་》,རྟེན།,,
,,19,3,《པེ་》《སྣར་》,རྟེན།,,
,,20,4,《པེ་》《སྣར་》,pདོན་མི་དམིགས་པ་ལ་བརྟེན་ནས་དོན་མི་་་དམིགས་པ་སྐྱེའོ།,,
,,21,5,《པེ་》《སྣར་》,སྐྱེས་ཏེ།,,
,7,22,1,《པེ་》,འབྱུང་།  ཞེས་བྱའོ།,《སྣར་》,བྱུང་།  ཞེ་བྱའོ།,
,,23,2,《པེ་》《སྣར་》,mཏེ།,,
,,24,3,《པེ་》《སྣར་》,བྱའོ།།,,
,,25,4,《པེ་》《སྣར་》,གིས།,,
,,26,5,《པེ་》《སྣར་》,པའི།,,
,,27,6,《པེ་》《སྣར་》,སྤྱོད།,,
,,28,7,《པེ་》《སྣར་》,ན།,,
,,29,8,《པེ་》《སྣར་》,མི།,,
,8,30,1,《པེ་》《སྣར་》,mརྣམ་གསུམ་ནི་ཉོན་མོངས་པའི་ཀུན་ནས་ཉོན་མོངས་པ་དང་།  ,,
,,31,2,《པེ་》《སྣར་》,པའི།,,
,,32,3,《སྣར་》,mམ།,,
,9,33,1,《པེ་》《སྣར་》,འདེབས།,,
,,34,2,《པེ་》《སྣར་》,mཏུ།,,
,,35,3,《པེ་》《སྣར་》,པའི།,,
,10,36,1,《པེ་》《སྣར་》,དོ།,,
,,37,2,《པེ་》《སྣར་》,mཔ།,,
,,38,3,《པེ་》《སྣར་》,mམཚན་མ་མེད་དང་དོན་དམ་དང་།,,
,,39,4,《པེ་》《སྣར་》,འགགས།,,
,,40,5,《པེ་》《སྣར་》,བའོ།,,
,11,41,1,《པེ་》《སྣར་》,ནས།,,
