མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ།,314,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་ཐེག་པ་ཆེན་པོ་བསྡུས་པའི་འགྲེལ་པ་བཞུགས། ཞེས་འཁོད།,,
,,3,2,《པེ་》《སྣར་》,mབམ་པོ་དང་པོ།,,
,,4,3,《པེ་》《སྣར་》,pབམ་པོ་དང་པོ།,,
,,5,4,《པེ་》《སྣར་》,རྟག,,
,,6,5,《པེ་》《སྣར་》,རྗེས།,,
,315,7,1,《པེ་》《སྣར་》,རྩི།,,
,,8,2,《པེ་》《སྣར་》,བསྒྲུབས།,,
,,9,3,《པེ་》《སྣར་》,ཀྱི།,,
,,10,4,《ཅོ་》,ཀྱི།,,
,,11,5,《པེ་》《སྣར་》,གི།,,
,,12,6,《པེ་》《སྣར་》,པར།,,
,,13,7,《པེ་》《སྣར་》,གི་རྟག,,
,316,14,1,《པེ་》《སྣར་》,བརྗོད།,,
,,15,2,《པེ་》《སྣར་》,པས།,,
,,16,3,《པེ་》《སྣར་》,གཟུང་།,,
,,17,4,《པེ་》《སྣར་》,པས།,,
,,18,5,《པེ་》,བརྩམ།,,
,,19,6,《པེ་》《སྣར་》,བསལ།,,
,317,20,1,《པེ་》《སྣར་》,པས།,,
,,21,2,《པེ་》《སྣར་》,བཟུང་།,,
,,22,3,《པེ་》《སྣར་》,mསྡེ།,,
,,23,4,《པེ་》《སྣར་》,ནམས།,,
,318,24,1,《པེ་》《སྣར་》,ལ།,,
,,25,2,《སྣར་》,རྟོག,,
,,26,3,《སྣར་》,སྟོན་པས་ན།,,
,,27,4,《སྣར་》,པས།,,
,,28,5,《སྣར་》,སྒོ།,,
,,29,6,《སྣར་》,pན།,,
,,30,7,《སྣར་》,འགྲོལ།,,
,,31,8,《སྣར་》,བསྡུས།,,
,319,32,1,《པེ་》《སྣར་》,བ།,,
,,33,2,《པེ་》《སྣར་》,བ།,,
,,34,3,《པེ་》《སྣར་》,ལྡང་།,,
,,35,4,《པེ་》《སྣར་》,འཆགས།,,
,320,36,1,《པེ་》《སྣར་》,པ།,,
,,37,2,《པེ་》《སྣར་》,པོའི།,,
,321,38,1,《སྣར་》,གཟུང་།,,
,,39,2,《པེ་》《སྣར་》,ཡང་།,,
,,40,3,《པེ་》《སྣར་》,pཔ།,,
,322,41,1,《པེ་》《སྣར་》,ས།,,
,,42,2,《པེ་》,བའམ།,,
,,43,3,《པེ་》《སྣར་》,སམ།,,
,,44,4,《པེ་》《སྣར་》,ནོ།,,
,,45,5,《པེ་》《སྣར་》,གྱི།,,
,,46,6,《པེ་》《སྣར་》,pཔ།,,
,,47,7,《པེ་》《སྣར་》,ཀྱི།,,
,323,48,1,《པེ་》《སྣར་》,བསྒོམ།,,
,,49,2,《པེ་》《སྣར་》,mཆོས།,,
,,50,3,《སྣར་》,mཔ།,,
,,51,4,《པེ་》《སྣར་》,pཔའི་སྐུ་མེད།,,
,,52,5,《པེ་》《སྣར་》,རྩོམ་པ།,,
,,53,6,《པེ་》《སྣར་》,ཞིག་ཅེ།,,
,324,54,1,《སྣར་》,བར།,,
,,55,2,《པེ་》《སྣར་》,ན།,,
,,56,3,《པེ་》《སྣར་》,ཅེ།,,
,,57,4,《པེ་》《སྣར་》,ཞེ་ན།,,
,,58,5,《པེ་》《སྣར་》,དེ་ནས།,,
,325,59,1,《པེ་》《སྣར་》,གཟུང་།,,
,,60,2,《པེ་》《སྣར་》,འཇུག,,
,,61,3,《པེ་》《སྣར་》,གཏོགས།,,
,,62,4,《པེ་》《སྣར་》,pགི།,,
,,63,5,《པེ་》《སྣར་》,ལྷག,,
,,64,6,《སྣར་》,mཔ།,,
,,65,7,《པེ་》《སྣར་》,བསླབ།,,
,,66,8,《པེ་》《སྣར་》,རིམ་སྟེ།,,
,,67,9,《པེ་》《སྣར་》,གྱི།,,
,326,68,1,《པེ་》《སྣར་》,བའོ།,,
,,69,2,《པེ་》《སྣར་》,འགྱུར།,,
,,70,3,《པེ་》《སྣར་》,ཏེ།,,
,,71,4,《པེ་》《སྣར་》,བལྟ།,,
,,72,5,《པེ་》《སྣར་》,འབྱུང་།,,
,,73,6,《པེ་》《སྣར་》,པའི།,,
,,74,7,《པེ་》《སྣར་》,གཞན།,,
,,75,8,《པེ་》《སྣར་》,pནི་ཀུན་གཞི་རྣམ་པར་ཤེས་པ།,,
,,76,9,《པེ་》《སྣར་》,mཡིན།,,
,327,77,1,《པེ་》《སྣར་》,པའི།,,
,,78,2,《པེ་》《སྣར་》,mསྐྱེས་པའི།,,
,,79,3,《པེ་》《སྣར་》,སྐྱེས་པའི།,,
,,80,4,《པེ་》,དེར།, 《སྣར་》,དེང།,
,,81,5,《སྣར་》,པོ།,,
,,82,6,《པེ་》《སྣར་》,པོ།,,
,,83,7,《པེ་》《སྣར་》,mཔ།,,
,,84,8,《སྣར་》,རྟོགས།,,
,328,85,1,《པེ་》《སྣར་》,pམཚུངས་པ།,,
,,86,2,《པེ་》《སྣར་》,mཙམ།,,
,,87,3,《པེ་》《སྣར་》,འབྱུང་།,,
,,88,4,《པེ་》《སྣར་》,ལ།,,
,,89,5,《པེ་》《སྣར་》,pརྒྱུན་གྱིས།,,
,,90,6,《པེ་》《སྣར་》《ཅོ་》,pཡང་།,,
,329,91,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,92,2,《པེ་》《སྣར་》,གཞི།,,
,,93,3,《པེ་》《སྣར་》,སྣ།,,
,330,94,1,《སྣར་》,pབ།,,
,,95,2,《སྣར་》,མིའི།,,
,331,96,1,《པེ་》《སྣར་》,བཟུང་།,,
,,97,2,《པེ་》《སྣར་》,འདི།,,
,,98,3,《ཅོ་》,ནི།,,
,,99,4,《སྣར་》,པ།,,
,,100,5,《པེ་》《སྣར་》,འགྲུབ།,,
,,101,6,《པེ་》《སྣར་》,བཟུང་བར།,,
,,102,7,《པེ་》《སྣར་》,པར།,,
,,103,8,《པེ་》《སྣར་》,འགྲུབ།,,
,,104,9,《པེ་》《སྣར་》,སྐྱེད།,,
,332,105,1,《སྣར་》,pཔ།,,
,,106,2,《པེ་》《སྣར་》,གི།,,
,,107,3,《པེ་》《སྣར་》,mཉིད།,,
,,108,4,《པེ་》《སྣར་》,pནི།,,
,,109,5,《པེ་》《སྣར་》,ལ།,,
,,110,6,《པེ་》《སྣར་》,པས།,,
,,111,7,《པེ་》《སྣར་》,pགི།,,
