མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །དད་སྐྱེད་སྒྲོན་མ་བཞུགས་སོ། །,956,2,1,,,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,pཔར།,,,,,,
,,4,3,《པེ་》《སྣར་》,བསྐྱེད།,《ཅོ་》,སྐྱེ།,,,,,
,,5,4,《པེ་》《སྣར་》,གིས།,,,,,,
,,6,5,《པེ་》,གཡངས།,,,,,,
,,7,6,《པེ་》,གིས།,,,,,,
,,8,7,《པེ་》《སྣར་》《ཅོ་》,ལྷུང་།,,,,,,
,957,9,1,《སྣར་》,མི།,,,,,,
,,10,2,《སྣར་》,mལ།,,,,,,
,,11,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,12,4,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,13,5,《པེ་》《སྣར་》,གསོག,,,,,,
,,14,6,《པེ་》《སྣར་》,གདུངས།,,,,,,
,,15,7,《པེ་》《སྣར་》,ནས།,,,,,,
,,16,8,《པེ་》《སྣར་》,སྟོང་།,,,,,,
,,17,9,《པེ་》《སྣར་》,ཨ་ཅི།,
,958,18,1,《པེ་》《སྣར་》,ཡི།,
,,19,2,《པེ་》《སྣར་》,འབྲོས་སེམས་བསྐྱེད།,
,,20,3,《པེ་》《སྣར་》,བརྩིག,
,,21,4,《པེ་》《སྣར་》,ཟླ།,
,,22,5,《པེ་》《སྣར་》,རྒས།,
,,23,6,《པེ་》《སྣར་》,འཐག,
,,24,7,《པེ་》《སྣར་》,ཁའི་བྱེ།,
,,25,8,《པེ་》《སྣར་》,སང་།,
,,26,9,《པེ་》《སྣར་》,mབར་ཆས།,
,,27,10,《པེ་》《སྣར་》,pཕ་མ།,
,,28,11,《པེ་》《སྣར་》,སྟེང་དུ་ལོང་།,
,959,29,1,《པེ་》《སྣར་》,རྒྱགས་བསྙོད།,
,,30,2,《པེ་》《སྣར་》,མ།,
,,31,3,《པེ་》《སྣར་》,བསླུ།,
,,32,4,《སྣར་》,འཁྱམས།,
,,33,5,《པེ་》《སྣར་》,གསལ།,
,,34,6,《པེ་》《སྣར་》,བ།,
,,35,7,《པེ་》《སྣར་》,སྟེན།,
,960,36,1,《པེ་》《སྣར་》,པར།,
,,37,2,《པེ་》《སྣར་》,ལས།,
,,38,3,《པེ་》,mཆུ་བོའི།,
,,39,4,《པེ་》《སྣར་》,འཕུང་།,
,,40,5,《པེ་》《སྣར་》,སུ།,
,,41,6,《སྣར་》,སྔོན།,
,,42,7,《པེ་》《སྣར་》,ཀྱིས།,
,,43,8,《པེ་》《སྣར་》,བརྟོད།,
,,44,9,《པེ་》,བརྐྱེ།,
,,45,10,《པེ་》《སྣར་》,བསད།,
,,46,11,《སྣར་》,སྣོད།,
,,47,12,《པེ་》,ཀྱི།,
,,48,13,《པེ་》《སྣར་》,བགྱིད་དེ།,
,,49,14,《པེ་》《སྣར་》,སྐལ།,,
,961,50,1,《པེ་》《སྣར་》,པར།,,
,,51,2,《པེ་》《སྣར་》,འཛངས།,,
,,52,3,《པེ་》,འཁྱགས།,《སྣར་》,འཁྱམས།,
,,53,4,《པེ་》《སྣར་》,བདེ་བ།,,
,,54,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,55,6,《པེ་》《སྣར་》,ཐོགས།,,
,962,56,1,《པེ་》《སྣར་》,བཏང་།,《ཅོ་》,གཏོང་།,
,,57,2,《པེ་》,རྩལ་གྱི།,《སྣར་》,སྩལ་གྱི།,
,,58,3,《པེ་》《སྣར་》,mསྐྱེས་བུ།,,
,,59,4,《པེ་》《སྣར་》,བཅོད་བརྐུ།,,
,,60,5,《པེ་》《སྣར་》,གདུག་པ་སྤོངས།,,
,,61,6,《པེ་》《སྣར་》,འཕོངས།,,
,,62,7,《པེ་》《སྣར་》,ཆེ།,,
,,63,8,《སྣར་》,མཐར།,,
,,64,9,《པེ་》《སྣར་》,ཞེན།,,
,,65,10,《པེ་》《སྣར་》,བདག,,
,963,66,1,《པེ་》《སྣར་》,ཆུན།,,
,,67,2,《པེ་》《སྣར་》,ཤེས།,,
,,68,3,《པེ་》《སྣར་》,བརྩལ།,,
,,69,4,《པེ་》,སྤང་ལ།,《སྣར་》,སྤངས་ལ།,
,,70,5,《པེ་》《སྣར་》,ན།,,
,,71,6,《པེ་》《སྣར་》,ཚེ།,,
,,72,7,《པེ་》《སྣར་》,འཚོག་སེར།,,
,,73,8,《པེ་》《སྣར་》,སྐྱུག,,
,,74,9,《པེ་》《སྣར་》,སྐུར།,,
,,75,10,《པེ་》《སྣར་》,སྨྲ།,,
,964,76,1,《སྣར་》,ཡིས།,,
,,77,2,《པེ་》《སྣར་》,ཡིས་ཉེས་པ།,,
,,78,3,《པེ་》《སྣར་》,ཉམ།,,
,,79,4,《པེ་》《སྣར་》,བ།,,
,,80,5,《པེ་》《སྣར་》,ན།,,
,,81,6,《པེ་》《སྣར་》,ལ་སྟེ།,,
,,82,7,《པེ་》,བྱེད།,,
,,83,8,《པེ་》《སྣར་》,ན།,,
,965,84,1,《སྣར་》,གཙུགས།,,
,,85,2,《པེ་》《སྣར་》,པ།,,
,,86,3,《པེ་》《སྣར་》,བཙོན།,,
,,87,4,《པེ་》《སྣར་》,དྲོ།,,
,,88,5,《པེ་》《སྣར་》,བསྐྱེད།,,
,,89,6,《པེ་》《སྣར་》,བསྟེན།,,
,,90,7,《པེ་》《སྣར་》,སྐམ།,,
,,91,8,《སྣར་》,སྐྲུག་པོ།,,
,,92,9,《པེ་》《སྣར་》,ཡིས།,,
,,93,10,《པེ་》《སྣར་》,བརྩོང་།,,
,,94,11,《པེ་》,རྣམ།,《སྣར་》,རྣམ་པར།,
,,95,12,《པེ་》《སྣར་》,བརྒྱངས།,,
,,96,13,《སྣར་》,མགུལ།,,
,,97,14,《པེ་》《སྣར་》,ཁྲ།,,
