མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པའི་མདོའི་རྣམ་པར་བཤད་པ།,3,2,1,,,,,,,,མཚན་བྱང་དི་ཆོས་ཚན་འདིའི་སྟོད་ཆ་སྣ་ཚོགས་ཆོ་དུམ་པའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,རིགས།,,,,,,
,,4,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,5,4,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,,6,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,
,4,7,1,《པེ་》《སྣར་》,pའདོགས་པས་ཕན།,,,,,,
,,8,2,《སྣར་》,ནོ།,,,,,,
,,9,3,《པེ་》《སྣར་》,དེ།,,,,,,
,5,10,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,11,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,12,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,13,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,14,5,《པེ་》《སྣར་》,སྡུ།,,,,,,
,,15,6,《སྣར་》,པོ།,,,,,,
,,16,7,《པེ་》《སྣར་》,ཏེ།,,,,,,
,6,17,1,《པེ་》《སྣར་》,རྣམ་པ་བཞིས་ཏེ།,,,,,,
,,18,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,19,3,《པེ་》《སྣར་》,རིགས་པས།,,,,,,
,,20,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,21,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,,22,6,《སྣར་》,འདུལ།,,,,,,
,,23,7,《པེ་》《སྣར་》,སྡུ།,,,,,,
,,24,8,《པེ་》《སྣར་》,དེ།,,,,,,
,,25,9,《པེ་》《སྣར་》,གྱུར་པ།,,,,,,
,7,26,1,《པེ་》《སྣར་》,པས།,,,,,,
,,27,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,28,3,《པེ་》《སྣར་》,mནི།,,,,,,
,,29,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,8,30,1,《པེ་》《སྣར་》,པ།,,,,,,
,,31,2,《པེ་》《སྣར་》,བསྒོམས།,,,,,,
,,32,3,《སྣར་》,mལ།,,,,,,
,,33,4,《པེ་》《སྣར་》,གིས།,,,,,,
,9,34,1,《པེ་》《སྣར་》,གོང་།,,,,,,
,,35,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,36,3,《པེ་》《སྣར་》,རིམ་གྱི།,,,,,,
,,37,4,《པེ་》《སྣར་》,དཔའ།,,,,,,
,,38,5,《པེ་》《སྣར་》,དུར།,,,,,,
,,39,6,《པེ་》,mནི།,,,,,,
,,40,7,《པེ་》,ལ།,《སྣར་》,བ།,,,,,
,,41,8,《པེ་》《སྣར་》,ལ།,,,,,,
,,42,9,《པེ་》《སྣར་》,ལ།,,,,,,
,10,43,1,《པེ་》《སྣར་》,འདའ་བར།,,,,,,
,,44,2,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,45,3,《སྣར་》,བཟློག,,,,,,
,,46,4,《སྣར་》,བཟློག,,,,,,
,,47,5,《པེ་》《སྣར་》,ལས།,,,,,,
,,48,6,《སྣར་》,འཇུག,,,,,,
,,49,7,《པེ་》《སྣར་》,ཕྱིས།,,,,,,
,,50,8,《པེ་》《སྣར་》,སྣང་ཡང་ཕྱིས་མི་སྣང་བར།,,,,,,
,,51,9,《པེ་》《སྣར་》,mམི།,,,,,,
,,52,10,《པེ་》《སྣར་》,སོ་ཆོས།,,,,,,
,,53,11,《པེ་》《སྣར་》,བརྐོང་།,,,,,,
,11,54,1,《པེ་》,ཏེ།,,,,,,
,,55,2,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,56,3,《པེ་》《སྣར་》,སྡུ།,,,,,,
,,57,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,58,5,《པེ་》《སྣར་》,གྱིས།,,,,,,
,12,59,1,《སྣར་》,རྟག,,,,,,
,,60,2,《སྣར་》,mཔ།,,,,,,
,,61,3,《པེ་》《སྣར་》,སྟེ།,,,,,,
,,62,4,《སྣར་》,རྟག,,,,,,
,,63,5,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,64,6,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,65,7,《སྣར་》,སྦྱར།,,,,,,
,,66,8,《པེ་》《སྣར་》,བར་བོ།,,,,,,
,13,67,1,《པེ་》《སྣར་》,mནི།,,,,,,
,,68,2,《པེ་》《སྣར་》,ལས།,,,,,,
,,69,3,《པེ་》《སྣར་》,ཐོབ།,,,,,,
,,70,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,71,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,72,6,《པེ་》《སྣར་》,པའི།,,,,,,
,14,73,1,《པེ་》《སྣར་》,བླའོ།,,,,,,
,,74,2,《པེ་》,བླའོ། དེ་ལས།,《སྣར་》,བླའོ། དེ་བས།,,,,,
,,75,3,《པེ་》《སྣར་》,mགི།,,,,,,
,,76,4,《པེ་》《སྣར་》,བླའོ།,,,,,,
,,77,5,《པེ་》《སྣར་》,པའི།,,,,,,
,,78,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,79,7,《པེ་》《སྣར་》,གཉིས།,,,,,,
,,80,8,《པེ་》《སྣར་》,པོ།,,,,,,
,15,81,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,82,2,《པེ་》《སྣར་》,བཅུས།,,,,,,
,,83,3,《པེ་》《སྣར་》,སློངས།,,,,,,
,,84,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,85,5,《པེ་》《སྣར་》,སློངས།,,,,,,
,,86,6,《པེ་》《སྣར་》,བལྟོས།,,,,,,
,,87,7,《པེ་》《སྣར་》,སྒྲུབ།,,,,,,
,,88,8,《པེ་》《སྣར་》,རྟུལ།,,,,,,
,,89,9,《པེ་》《སྣར་》,སློངས།,,,,,,
,16,90,1,《པེ་》《སྣར་》,ངོ་།,,,,,,
,,91,2,《པེ་》,བྱེད།,《སྣར་》,འབྱེད།,,,,,
,,92,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,93,4,《པེ་》《སྣར་》,སོགས།,,,,,,
,,94,5,《པེ་》《སྣར་》,སློངས།,,,,,,
,,95,6,《པེ་》《སྣར་》,mདང་།,,,,,,
,17,96,1,《པེ་》《སྣར་》,པ།,,,,,,
,,97,2,《པེ་》《སྣར་》,སློངས།,,,,,,
,,98,3,《པེ་》《སྣར་》,བྱའོ།,,,,,,
,,99,4,《པེ་》《སྣར་》,བཤད།,,,,,,
,,100,5,《སྣར་》,སློངས།,,,,,,
,,101,6,《པེ་》《སྣར་》,སྨོད།,,,,,,
,,102,7,《པེ་》《སྣར་》,སྟིང་།,,,,,,
,,103,8,《པེ་》《སྣར་》,སྤང་བ།,,,,,,
,,104,9,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,105,10,《པེ་》《སྣར་》,གིས་བགབ་པ་ཉིད་ལས།,,,,,,
,18,106,1,《སྣར་》,བྱིན།,,,,,,
,,107,2,《སྣར་》,བྱིན།,,,,,,
,,108,3,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,,109,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,110,5,《པེ་》《སྣར་》,བའི།,,,,,,
,,111,6,《པེ་》《སྣར་》,བའི།,,,,,,
,19,112,1,《པེ་》《སྣར་》,དུ།,,,,,,
,,113,2,《པེ་》《སྣར་》,ཐ་དད།,,,,,,
,,114,3,《པེ་》《སྣར་》,གྱི།,,,,,,
,,115,4,《པེ་》《སྣར་》,ལས།,,,,,,
,,116,5,《པེ་》《སྣར་》,པ།,,,,,,
,,117,6,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,118,7,《པེ་》《སྣར་》,འགྱུར།,,,,,,
,20,119,1,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,120,2,《པེ་》《སྣར་》,པ།,,,,,,
,,121,3,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,122,4,《པེ་》《སྣར་》,mཇི་ལྟ།,,,,,,
,,123,5,《པེ་》《སྣར་》,སྤྱད།,,,,,,
,,124,6,《སྣར་》,སྤྱད།,,,,,,
,,125,7,《སྣར་》,འབྱུང་བའི།,,,,,,
,21,126,1,《པེ་》《སྣར་》,སེམས་པར།,,,,,,
,,127,2,《པེ་》《སྣར་》,ཏོ། ། ,,,,,,
,,128,3,《སྣར་》,གཏང་།,,,,,,
,,129,4,《པེ་》《སྣར་》,ན།,,,,,,
,,130,5,《པེ་》《སྣར་》,རྣམས་ཡང་།,,,,,,
,,131,6,《པེ་》《སྣར་》,སྟོན།,,,,,,
,22,132,1,《པེ་》《སྣར་》,རྡེག,,,,,,
