མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,
,1797,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ་བཞུགས་སོ། །ཞེས་འཁོད། ,
,,3,2,《པེ་》《སྣར་》,པ།,
,,4,3,《པེ་》《སྣར་》,སྤེལ།,
,,5,4,《པེ་》,ཅིང་རྒྱས་པར།,《སྣར་》,ཅིང་རྒྱས།
,1798,6,1,《སྣར་》,བུའི།,
,,7,2,《སྣར་》,བསྟམས།,
,,8,3,《པེ་》《སྣར་》,རྗེ།,
,,9,4,《པེ་》《སྣར་》,ཤོག,
,,10,5,《པེ་》《སྣར་》,པར།,
,,11,6,《པེ་》《སྣར་》,དགའ།,
,1799,12,1,《པེ་》《སྣར་》,བ་ར་ཎཱ་སི།,
,,13,2,《སྣར་》,གང་།,
,,14,3,《པེ་》《སྣར་》,འཇིག,
,,15,4,《པེ་》《སྣར་》,དང་།,
,,16,5,《པེ་》,ཨུདྤལ།,《སྣར་》,ཨུད་དཔལ།
,,17,6,《པེ་》《སྣར་》,གི་རྒྱན།,
,,18,7,《པེ་》《སྣར་》,བར།,
,,19,8,《སྣར་》,དགའོ། །,
,,20,9,《སྣར་》,སྤེལ།,
,1800,21,1,《པེ་》《སྣར་》,འཇིག,
,,22,2,《སྣར་》,སེལ།,
,,23,3,《པེ་》《སྣར་》,དེ།,
,,24,4,《པེ་》,སྒྲོན་མ།,《སྣར་》,སྒྲོན་པ།
,,25,5,《པེ་》《སྣར་》,སྟོང་པའི།,
,,26,6,《སྣར་》,ཕྱིན།,
,,27,7,《པེ་》《སྣར་》,ན།,
,,28,8,《པེ་》《སྣར་》,ཕུར།,
,,29,9,《པེ་》,ནཻ་རཾ་ཛ།,《སྣར་》,ནེ་རཾ་ཛ།
,,30,10,《པེ་》《སྣར་》,པ།,
,,31,11,《པེ་》《སྣར་》,mབ།,
,,32,12,《སྣར་》,ཨུད་པལ།,
,,33,13,《པེ་》《སྣར་》,ཡིད།,
,,34,14,《པེ་》《སྣར་》,བསྣམས།,
,,35,15,《སྣར་》,mཟླ་འོད།,
,1801,36,1,《པེ་》《སྣར་》,mརལ་གྲི།,
,,37,2,《པེ་》,བསྐྱོད་རྡོ་རྗེའི།,《སྣར་》,བསྐྱོ།
,,38,3,《པེ་》《སྣར་》,བསྐྱོབ།,
,,39,4,《པེ་》《སྣར་》,བདུད།,
,,40,5,《པེ་》《སྣར་》,ཡིད།,
,,41,6,《པེ་》《སྣར་》,འདི།,
,,42,7,《པེ་》《སྣར་》,ཤིང་།,
,,43,8,《སྣར་》,འཇོམ།,
,,44,9,《པེ་》《སྣར་》,སྷོ།,
,,45,10,《པེ་》《སྣར་》,སྒྱུར།,
,,46,11,《པེ་》《སྣར་》,པ།,
