མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།,1792,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,མཾ་གཱ།,
,,4,3,《སྣར་》,བཀྲི།,
,,5,4,《སྣར་》,ཉེར་བར་སྟན།,
,,6,5,《པེ་》《སྣར་》,གྱི།,
,,7,6,《པེ་》《སྣར་》,ཀྱིས།,
,1793,8,1,《སྣར་》,ལུམ་བའི།,
,,9,2,《པེ་》,བལྟམས་པ་ལ། །སྲིད་པ།,《སྣར་》,བསྟམས་པ་ལ། །སྲིད་པ།
,,10,3,《པེ་》《སྣར་》,ཡི།,
,,11,4,《པེ་》《སྣར་》,གྱེས།,
,,12,5,《པེ་》《སྣར་》,ཀྱི།,
,,13,6,《པེ་》《སྣར་》,རྩ།,
,,14,7,《པེ་》,རྩ་ཤིའི་འཕྲེང་།,《སྣར་》,རྩ་ཤིའི་ཕྲེང་།
,1794,15,1,《སྣར་》,སྟེ།,
,,16,2,《པེ་》《སྣར་》,འབྱུང་།,
,,17,3,《པེ་》《སྣར་》,ནམ་གྱི།,,
,,18,4,《པེ་》《སྣར་》,རྣམས།,,
,,19,5,《པེ་》,བ་ར་ཎཱ་སེར།,《སྣར་》,བ་ར་ནཱ་སིར།,
,,20,6,《སྣར་》,བསྟེན།,,
,,21,7,《པེ་》《སྣར་》,དང་།,,
,,22,8,《པེ་》《སྣར་》,གང་།,,
,,23,9,《པེ་》《སྣར་》,བྱ།,,
,,24,10,《སྣར་》,ཀྲ།,,
,,25,11,《པེ་》《སྣར་》,ཀྱི།,,
,,26,12,《པེ་》,པ་གྱལ།,《སྣར་》,པའི་རྒྱལ།,
,,27,13,《སྣར་》,མནར་ད།,,
,,28,14,《སྣར་》,ཡིས།,,
,1795,29,1,《པེ་》《སྣར་》,སྒྱུར།,,
,,30,2,《པེ་》《སྣར་》,པའོ།།,,
