མཚན་བྱང། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,དཔར་མ། ,མཆན། ,
,,2,,,,
,126,3,1,《པེ་》《སྣར་》,སམ།,
,,4,2,《པེ་》《སྣར་》,སྙེད།,
,,5,3,《པེ་》《སྣར་》,mབཅས་པ།,
,,6,4,《པེ་》《སྣར་》,མོས།,
,,7,5,《པེ་》《སྣར་》,གཅིག,
,,8,6,《པེ་》《སྣར་》,གི།,
,,9,7,《པེ་》《སྣར་》,བར།,
,,10,8,《པེ་》《སྣར་》,སྒྲུབ།,
,,11,9,《པེ་》《སྣར་》,བྱད།,
,,12,10,《པེ་》,སྒྲུབ་སྟེ་ཐོག་སྒྲུབ།,《སྣར་》,སྒྲུབ་སྟེ་ཐོག་བསྒྲུབ།
,127,13,1,《སྣར་》,ཁྲུག,
,,14,2,《པེ་》《སྣར་》,ལ།,
,,15,3,《པེ་》《སྣར་》,སྔོ།,
,,16,4,《པེ་》《སྣར་》,ཏྲི།,
,,17,5,《པེ་》《སྣར་》,mཀྱི།,
,,18,6,《པེ་》《སྣར་》,མ་ཆད།,
,,19,7,《པེ་》《སྣར་》,འཐོན།,
,,20,8,《པེ་》《སྣར་》,སྒྲུབ།,
,128,21,1,《པེ་》《སྣར་》,རྨེ།,
,,22,2,《པེ་》《སྣར་》,པས།,
,,23,3,《པེ་》《སྣར་》,བླུག་གོ།,
,,24,4,《པེ་》《སྣར་》,རེ།,
,,25,5,《པེ་》《སྣར་》,ར་ཧུ་ལ་ར་ཧཱུ།,
,,26,6,《པེ་》《སྣར་》,བླུག་གོ།,
,,27,7,《པེ་》《སྣར་》,ཐབས།,
,,28,8,《པེ་》《སྣར་》,སྒྲུབ།,
,,29,9,《པེ་》《སྣར་》,བྱ་བའོ།,
,129,30,1,《པེ་》《སྣར་》,བསྒྲུབས་ཏེ།,
,,31,2,《པེ་》《སྣར་》,སྒྱུར།,
,,32,3,《པེ་》《སྣར་》,བསྒྲུབ།,
,,33,4,《པེ་》《སྣར་》,མགུལ།,
,,34,5,《པེ་》《སྣར་》,རྒྱལ།,
,,35,6,《པེ་》《སྣར་》,ན་ག་ཧེ་དུ།,
,,36,7,《པེ་》《སྣར་》,ཟན།,
,,37,8,《པེ་》《སྣར་》,སྒྲུབ།,
,,38,9,《པེ་》《སྣར་》,ལ།,
,,39,10,《པེ་》《སྣར་》,གྱི་སྒྱུར།,
,,40,11,《པེ་》《སྣར་》,བཅིང་།,
,,41,12,《པེ་》《སྣར་》,ཏིག,
,,42,13,《པེ་》《སྣར་》,ཿཙཎྜ།,
,,43,14,《པེ་》《སྣར་》,ན་ཡེ་ཤོད།,
,,44,15,《པེ་》《སྣར་》,ན།,
,,45,16,《པེ་》《སྣར་》,མགུལ།,
,,46,17,《པེ་》《སྣར་》,གྲི་སྔོན་དམར་བཏུབས།,
,,47,18,《པེ་》《སྣར་》,བཀྲག,
,,48,19,《པེ་》《སྣར་》,སྒྲུབ།,
,130,49,1,《པེ་》《སྣར་》,འཇུག་བརྒྱན།,
,,50,2,《པེ་》《སྣར་》,གྱིས།,
,,51,3,《པེ་》《སྣར་》,དེ་མཚུངས།,
,,52,4,《པེ་》《སྣར་》,མཚན་ཅན་བསྒྲུབས་ཏེ།,
,,53,5,《པེ་》《སྣར་》,སྒྲུབ།,
,,54,6,《པེ་》《སྣར་》,mམ།,
,,55,7,《པེ་》《སྣར་》,སྤྲི།,
,,56,8,《པེ་》《སྣར་》,ད།,
,,57,9,《པེ་》《སྣར་》,འཐོན་པ་དང་བཏུད། ,
,,58,10,《པེ་》《སྣར་》,མགུལ།,
