མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཐེག་པའི་སཱཙྪ་གདབ་པའི་ཆོ་ག,706,2,1,《པེ་》《སྣར་》,༄༅། །ཕ་རོལ་ཏུ་ཕྱིན་པའི་སཱཙྪ་གདབ་པའི་ཆོ་ག་བཞུགས་སོ། །,,,,,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,སཱཙྪ།,,,,,,
,,4,3,《པེ་》《སྣར་》,pཨོཾ།,,,,,,
,,5,4,《པེ་》《སྣར་》,ནཱ་ཡ།,,,,,,
,,6,5,《སྣར་》,སམྱགཀྶཾ།,,,,,,
,,7,6,《པེ་》《སྣར་》,pསུཀྵྨེ།,,,,,,
,,8,7,《པེ་》《སྣར་》,ཤཱནྟེ་དཱནྟེ། ཨ།,,,,,,
,,9,8,《པེ་》《སྣར་》,ལམྦྷེ།,,,,,,
,,10,9,《པེ་》《སྣར་》,pཝ་ཏི།,,,,,,
,,11,10,《པེ་》《སྣར་》,ཛ།,,,,,,
,,12,11,《པེ་》《སྣར་》,ནི་རི།,,,,,,
,,13,12,《པེ་》《སྣར་》,བུངྡྷ། ཨ་དྷིཥྠ།,,,,,,
,,14,13,《པེ་》《སྣར་》,འདིས།,,,,,,
,707,15,1,《སྣར་》,བརླབས།,,,,,,
,,16,2,《པེ་》《སྣར་》,བཙལ།,,,,,,
,,17,3,《པེ་》《སྣར་》,བརྟེན།,,
,,18,4,《པེ་》《སྣར་》,བརྟེན།,,
,,19,5,《པེ་》《སྣར་》,སོ།,,
,,20,6,《པེ་》《སྣར་》,pཨོཾ།,,
,,21,7,《པེ་》《སྣར་》,mབ།,,
