མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
༄༅། །འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས་བཞུགས་སྷོ། །,286,2,1, 《པེ་》,༄༅། །འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས་བཞུགས་སྷོ། ། ,《སྣར་》,༄༅། འཇམ་དཔལ་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས་མར་མེ་མཛད་དཔལ་ཡེ་ཤེས་ཀྱིས་མཛད་པ་བཞུགས།,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》,དྷི་ཀ་བི་ར་མཉྫུ་ཤྲཱི་སཱ་དྷ་ན།,《སྣར་》,དྷཻ་ཀ་བཱི་ར་མཉྫུ་ཤྲཱིཿསཱ་དྷ་ནཾ།,,,,,
,,4,3,《སྣར་》,pཔའི།,,,,,,
,,5,4,《པེ་》,པོ།,,,,,,
,,6,5,《པེ་》,དཀྱིལ་མོ་དཀྲུང་།,,,,,,
,,7,6,《པེ་》,ཨ་བིགྷ་ནཱན་ཏ་ཀྲིད།,《སྣར་》,ཨ་བི་གྷྣཱཾ་ཏ་ཀྲྀཏ།,,,,,
,,8,7,《པེ་》《སྣར་》,པ།,,,,,,
,,9,8,《པེ་》《སྣར་》,འཕྲོ་བས།,,,,,,
,287,10,1,《པེ་》《སྣར་》,དྷི།,,,,,,
,,11,2,《པེ་》,དྷི།,,,,,,
,,12,3,《པེ་》,ཀྱི།,,,,,,
,,13,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,14,5,《པེ་》,དྷི།,《སྣར་》,དྷིཿ།,,,,,
,,15,6,《པེ་》,དྷུ།,《སྣར་》,དྷཱུཾ།,,,,,
,,16,7,《པེ་》,དྷི།,,,,,,
,,17,8,《པེ་》,pལས།,,,,,,
,,18,9,《པེ་》,དྷི།,,,,,,
,,19,10,《པེ་》,དྷི།,,,,,,
,,20,11,《པེ་》,ཏྱེ།,《སྣར་》,དྱཻ།,,,,,
,,21,12,《པེ་》,ལ།,,,,,,
,,22,13,《པེ་》,དྷི།,,,,,,
,,23,14,《པེ་》,mམཆོད་པའི།,,,,,,
,,24,15,《པེ་》,བཛྲ་བི་ཤིཤྛ།,,,,,,
,,25,16,《པེ་》,ཏྲ་ཨ།,,,,,,
,288,26,1,《པེ་》,བསྒྱུར།,,,,,,
,,27,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,28,3,《སྣར་》,སྒོམས།,,,,,,
,,29,4,《པེ་》,བྷ་བ་ཤུདྷཿསརྦ་དྷརྨྨཱ་སྭཱ།,《སྣར་》,བྷཱ་བི་ཤུ་དདྷཿསརྦ་དྷརྨཱཿསྭ།,,,,,
,,30,5,《པེ་》《སྣར་》,བ་ཤུདྡྷོ་ཧཾ།,,,,,,
,,31,6,《པེ་》,མིག་སྒྱུ།,,,,,,
,,32,7,《པེ་》,དྷི།,,,,,,
,,33,8,《པེ་》,དྷི།,,,,,,
,,34,9,《པེ་》,དྷི།,,,,,,
,,35,10,《པེ་》,mཔ།,,,,,,
,,36,11,《པེ་》,mཡང་།,,,,,,
,,37,12,《པེ་》,དྷི།,,,,,,
,,38,13,《སྣར་》,ལར།,,,,,,
