མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་ཀྱི་ཆོ་ག,1597,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》 ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,ཀརྨཱ།,
,,4,3,《པེ་》《སྣར་》,pཿ།,
,,5,4,《པེ་》《སྣར་》,སྦྱོང་།,
,,6,5,《པེ་》《སྣར་》,བསྟེན།,
,,7,6,《པེ་》《སྣར་》,འཐུན།,
,1598,8,1,《པེ་》《སྣར་》,བརླབས།,
,,9,2,《པེ་》《སྣར་》,ལང་།,
,,10,3,《པེ་》《སྣར་》,གི།,
,,11,4,《པེ་》《སྣར་》,ཀྱང་།,
,,12,5,《པེ་》《སྣར་》,གསང་།,
,,13,6,《པེ་》《སྣར་》,པ་བརྒྱད།,
,,14,7,《པེ་》《སྣར་》,གཞན། །བསྲུང་།,
,,15,8,《པེ་》《སྣར་》,གཟུགས།,
,1599,16,1,《པེ་》,ངམ་བྲུཾ།, 《སྣར་》,ངམ་བྲུ།
,,17,2,《པེ་》《སྣར་》,ལ།,
,,18,3,《པེ་》《སྣར་》,བེ།,
,,19,4,《པེ་》《སྣར་》,དཔའ།,
,,20,5,《པེ་》《སྣར་》,རྟེན།,
,,21,6,《པེ་》《སྣར་》,ཤྲཱི།,
,,22,7,《པེ་》《སྣར་》,ཏྲ།,
,,23,8,《པེ་》《སྣར་》,རྩོམ།,
,,24,9,《པེ་》《སྣར་》,བརྡེགས།,
,,25,10,《པེ་》《སྣར་》,པའི་དྲི་ཡིས།,
,1600,26,1,《པེ་》《སྣར་》,བ།,
,,27,2,《པེ་》《སྣར་》,ཟློག,
,,28,3,《པེ་》《སྣར་》,བསྐུར།,
,,29,4,《པེ་》《སྣར་》,སྦྱོང་ཐལ།,
,,30,5,《པེ་》《སྣར་》,པ།,
,,31,6,《པེ་》《སྣར་》,ཙ།,
