མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
འཇིག་རྟེན་གསུམ་ལས་རྣམ་པར་རྒྱལ་བ་འཕགས་མ་སྒྲོལ་མ་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ།,1616,2,1,,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》,གྱིས།,,,,,,
,1617,4,1,《པེ་》,བདོད།,,,,,,
,1618,5,1,《པེ་》,བསྟོད།,,,,,,
,,6,2,《པེ་》,སྐྱེ།,,,,,,
,,7,3,《པེ་》,མཛད།,,,,,,
,,8,4,《པེ་》,བཞི།,,,,,,
,,9,5,《པེ་》,མཐུའ།,,,,,,
,,10,6,《པེ་》,ཊི་བྷྱོ། ཏད་ཡ།,,,,,,
,1619,11,1,《པེ་》,མེ།,,,,,,
,,12,2,《པེ་》,ནྡྷན།,,,,,,
,,13,3,《པེ་》,པནྡ།,,,,,,
,,14,4,《པེ་》,སྟེ།,,,,,,
,1620,15,1,《པེ་》,འགྲས།,,,,,,
,,16,2,《པེ་》,གཏོར།,,,,,,
,,17,3,《པེ་》,འགྲིན།,,,,,,
,1621,18,1,《པེ་》,སྤྲུལ།,,,,,,
,,19,2,《པེ་》,བདེངས།,,,,,,
,,20,3,《པེ་》,ཀྱུ།,,,,,,
,,21,4,《པེ་》,ཚིག,,,,,,
,,22,5,《པེ་》,འགྲིན།,,,,,,
,1622,23,1,《པེ་》,གཏོར།,,,,,,
