མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།,195,2,1,,མཚན་བྱང་འདི་《པེ་》《སྣར་》ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,བ།,
,,4,3,《པེ་》《སྣར་》,བཞུགས།,
,,5,4,《པེ་》《སྣར་》,གི་གཟུགས།,
,196,6,1,《པེ་》《སྣར་》,མེད།,
,,7,2,《པེ་》《སྣར་》,འཚིག,
,,8,3,《པེ་》《སྣར་》,རྟོགས།,
,,9,4,《པེ་》《སྣར་》,ལས་ཉིད།,
,,10,5,《པེ་》《སྣར་》,བལྟོས།,
,,11,6,《པེ་》《སྣར་》,བརྟེན།,
,,12,7,《པེ་》《སྣར་》,གསུངས།,
,,13,8,《པེ་》《སྣར་》,པ།,
,,14,9,《པེ་》《སྣར་》,གསུངས།,
,,15,10,《པེ་》《སྣར་》,ནི།,
,,16,11,《པེ་》《སྣར་》,དེ་མེད།,
,,17,12,《པེ་》《སྣར་》,མཚོན།,
,,18,13,《པེ་》《སྣར་》,ཀྱིས།,
,,19,14,《སྣར་》,སྐྱེས་པ།,
,,20,15,《པེ་》《སྣར་》,རིག,
,,21,16,《པེ་》《སྣར་》,བསྲུངས།,
,197,22,1,《པེ་》《སྣར་》,ཀྱི།,
,,23,2,《པེ་》《སྣར་》,སྒྲ།,
,,24,3,《པེ་》《སྣར་》,སྤངས།,
,,25,4,《པེ་》《སྣར་》,ཀྱི་བརྟེན།,
,,26,5,《པེ་》《སྣར་》,བསྒོམས།,
,,27,6,《པེ་》《སྣར་》,གི།,
,,28,7,《པེ་》,ཀྲིཥྚ།,《སྣར་》,ཀྲྀཥྚ།
