མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ་བཞུགས།,372,2,1,,མཚན་བྱང་འདི་《སྡེ་》《ཅོ་》ལྟར་བཀོད་ཅིང་།《པེ་》《སྣར་》དཔལ་གདན་བཞི་པའི་ཟབ་དོན་འགྲེལ་པ་བཞུགས།,
,,3,2,《པེ་》《སྣར་》,མའི།,
,,4,3,《པེ་》《སྣར་》,འཐོབ།,
,,5,4,《པེ་》《སྣར་》,མར།,
,,6,5,《པེ་》《སྣར་》,བཞིན།,
,373,7,1,《པེ་》《སྣར་》,པས།,
,,8,2,《པེ་》《སྣར་》,ལ།,
,,9,3,《པེ་》《སྣར་》,རབ།,
,,10,4,《པེ་》《སྣར་》,རིགས།,
,,11,5,《པེ་》《སྣར་》,ལས།,
,,12,6,《པེ་》《སྣར་》,གའོ།,
,,13,7,《པེ་》《སྣར་》,འདི།,
,,14,8,《པེ་》《སྣར་》,དང་།,
,374,15,1,《པེ་》《སྣར་》,ཏྲ།,
,,16,2,《པེ་》《སྣར་》,ཡིས།,
,,17,3,《པེ་》《སྣར་》,བཞི་པ།,
,,18,4,《པེ་》《སྣར་》,བུ།,
,,19,5,《པེ་》,ཡི།,
,,20,6,《པེ་》《སྣར་》,སོར།,
,,21,7,《པེ་》《སྣར་》,ཚོགས་བཤད།,
,,22,8,《པེ་》《སྣར་》,པར།,
,,23,9,《པེ་》《སྣར་》,ལུང་རིག,
,,24,10,《པེ་》《སྣར་》,པར།,
,,25,11,《པེ་》《སྣར་》,རྩི་ཡང་།,
,375,26,1,《པེ་》《སྣར་》,ས།,
,,27,2,《པེ་》《སྣར་》,རྗེས།,
,,28,3,《པེ་》《སྣར་》,རེ།,
,,29,4,《པེ་》《སྣར་》,གཟུང་།,
,,30,5,《པེ་》《སྣར་》,ཡི།,
,,31,6,《པེ་》《སྣར་》,ལས།,
,376,32,1,《པེ་》《སྣར་》,གྱིས་རླབས་ལས་འབྱུང་།,
,,33,2,《པེ་》《སྣར་》,དང་།,
,,34,3,《པེ་》《སྣར་》,རྟོགས།,
,,35,4,《པེ་》《སྣར་》,ཀྱི།,
,,36,5,《པེ་》《སྣར་》,སྐྱེར།,
,,37,6,《པེ་》《སྣར་》,གྱིས།,
,,38,7,《པེ་》《སྣར་》,གསུམ་པོ།,
,,39,8,《པེ་》《སྣར་》,ཀྱི།,
,,40,9,《པེ་》《སྣར་》,ཀྱི།,
,,41,10,《པེ་》《སྣར་》,གི།,
,,42,11,《པེ་》《སྣར་》,pཞིང་བརྒྱད་དག་ནི་གནས་རྣམས་ནི།།,
,377,43,1,《པེ་》《སྣར་》,བཀྲོལ།,
,,44,2,《པེ་》《སྣར་》,སན་དོ།,
,,45,3,《པེ་》《སྣར་》,གྱི།,
,,46,4,《པེ་》《སྣར་》,བཟུང་།,
,,47,5,《པེ་》《སྣར་》,ཊི།,
,,48,6,《པེ་》《སྣར་》,པར།,
,378,49,1,《པེ་》《སྣར་》,སུམ།,
,,50,2,《པེ་》《སྣར་》,བསྟན།,
,,51,3,《པེ་》《སྣར་》,ཉིད།,
,,52,4,《པེ་》《སྣར་》,ཀྱི།,
,,53,5,《པེ་》《སྣར་》,རྒྱས།,
,,54,6,《པེ་》《སྣར་》,མོ།,
,,55,7,《པེ་》《སྣར་》,བརྟག,
,,56,8,《པེ་》《སྣར་》,pདག་པ།,
,,57,9,《པེ་》《སྣར་》,པ།,
,379,58,1,《པེ་》《སྣར་》,འབའ་ཏི་ལི།,
,,59,2,《པེ་》《སྣར་》,བ།,
,,60,3,《པེ་》《སྣར་》,ངན་ལོང་།,
,,61,4,《པེ་》《སྣར་》,འཆེད།,
,,62,5,《པེ་》《སྣར་》,འཇིགས།,
,,63,6,《པེ་》《སྣར་》,པའི་རྩ།,
,,64,7,《པེ་》《སྣར་》,རྟག,
,380,65,1,《པེ་》《སྣར་》,ལྷ།,
,,66,2,《པེ་》《སྣར་》,ཞིང་།,
,,67,3,《པེ་》《སྣར་》,རྟག,
,,68,4,《པེ་》《སྣར་》,ཆེ།,
,,69,5,《པེ་》《སྣར་》,རུ།,
,,70,6,《པེ་》《སྣར་》,pཔ།,
,,71,7,《པེ་》《སྣར་》,ཀྱི།,
,,72,8,《པེ་》《སྣར་》,བྱ།,
,,73,9,《པེ་》《སྣར་》,བཀོད།,
,,74,10,《པེ་》《སྣར་》,མ་གསེར་བསྲེགས།,
,,75,11,《པེ་》《སྣར་》,བུར།,
,,76,12,《པེ་》《སྣར་》,གཏམ་པ།,
,,77,13,《པེ་》《སྣར་》,མོའི།,
,,78,14,《པེ་》《སྣར་》,རཉྩ།,
,,79,15,《པེ་》《སྣར་》,མོ།,
