རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ། ,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཚན།,
,537,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང།《པེ་》《སྣར་》དཔལ་གསང་བ་འདུས་པ་རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་ཀྱི་སྲིད་པ་སྐྱེ་བའི་རིམ་པས་རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པའོ།།,
,,3,2,《པེ་》《སྣར་》,ནཱཾ།,
,,4,3,《པེ་》《སྣར་》,རྟོག,
,,5,4,《པེ་》《སྣར་》,ཀྱི།,
,,6,5,《པེ་》《སྣར་》,mགི།,
,538,7,1,《པེ་》《སྣར་》,mནི།,
,,8,2,《པེ་》《སྣར་》,mནི,
,,9,3,《པེ་》《སྣར་》,mརྫོགས་པར།,
,,10,4,《པེ་》《སྣར་》,རྒྱུ།,
,,11,5,《པེ་》《སྣར་》,འདུལ།,
,,12,6,《པེ་》《སྣར་》,བཞག,
,,13,7,《པེ་》《སྣར་》,ཨརྒཱ།,
,539,14,1,《པེ་》《སྣར་》,སྐྱེད།,
,,15,2,《པེ་》《སྣར་》,དཔའ།,
,,16,3,《པེ་》《སྣར་》,བྱའོ།,
,,17,4,《པེ་》《སྣར་》,བས།,,
,,18,5,《པེ་》《སྣར་》,པ།,,
,540,19,1,《པེ་》《སྣར་》,ཞུགས།,,
,,20,2,《པེ་》,རྗེ་ཏིང་ངེ་།,《སྣར་》,རྗེ་ཏིང།,
,,21,3,《པེ་》《སྣར་》,ལ།,,
,,22,4,《པེ་》《སྣར་》,ལས།,,
,,23,5,《པེ་》《སྣར་》,ཀྱི།,,
,,24,6,《པེ་》《སྣར་》,mབཅུ།,,
,,25,7,《པེ་》《སྣར་》,pབཞི།,,
,,26,8,《པེ་》《སྣར་》,གྲྀཧྞཱ།,,
,,27,9,《པེ་》《སྣར་》,བིདྱ་རཱ་ཛ།,,
,,28,10,《པེ་》《སྣར་》,གཏད་པར།,,
,,29,11,《པེ་》《སྣར་》,ཨཛྙཱ།,,
,541,30,1,《པེ་》《སྣར་》,བིགྷཱ་ནཱཾ།,,
,,31,2,《པེ་》《སྣར་》,mཿ,,
,,32,3,《པེ་》《སྣར་》,བསྲུང།,,
,,33,4,《པེ་》《སྣར་》,བསྲུང།,
,,34,5,《ཅོ་》,གཞུགས།,
,,35,6,《པེ་》《སྣར་》,སྒོམ།,
,542,36,1,《པེ་》《སྣར་》,པ།,
,,37,2,《པེ་》《སྣར་》,ལ།,
,,38,3,《པེ་》《སྣར་》,འབའ།,
,,39,4,《པེ་》《སྣར་》,བྷྲུཾ།,
,,40,5,《པེ་》《སྣར་》,pབཞི།,
,,41,6,《པེ་》《སྣར་》,བྷྲུཾ།,
,,42,7,《པེ་》《སྣར་》,ལ།,
,543,43,1,《པེ་》《སྣར་》,བསྒྱུར།,
,,44,2,《པེ་》《སྣར་》,དོན།,
,,45,3,《པེ་》《སྣར་》,འཁྲུག,
,544,46,1,《པེ་》《སྣར་》,གྱིས།,
,,47,2,《པེ་》《སྣར་》,གྱིས།,
,545,48,1,《པེ་》《སྣར་》,ཨཏྨ།,
,,49,2,《པེ་》《སྣར་》,ནས།,
,,50,3,《པེ་》《སྣར་》,འགྱུར་རོ།,
,,51,4,《པེ་》《སྣར་》,བཀོད།,
,,52,5,《པེ་》《སྣར་》,འགྱུར།,
,,53,6,《སྣར་》,ཨཏྨ།,
,,54,7,《པེ་》《སྣར་》,བསྟན།,
,,55,8,《པེ་》《སྣར་》,mབྱའོ་ཞེས།,
,,56,9,《པེ་》《སྣར་》,།།  །།,
,,57,10,《པེ་》《སྣར་》,པོ།,
,546,58,1,《པེ་》《སྣར་》,པ།,
,,59,2,《པེ་》《སྣར་》,mདང།,
,,60,3,《པེ་》《སྣར་》,ར།,
,,61,4,《པེ་》《སྣར་》,ར།,
,,62,5,《པེ་》《སྣར་》,ར།,
,,63,6,《པེ་》《སྣར་》,mཀྱི།,
,547,64,1,《པེ་》《སྣར་》,ཚོགས།,
,,65,2,《པེ་》《སྣར་》,པོ་ལས།,
,,66,3,《པེ་》《སྣར་》,mཅན།,
,,67,4,《པེ་》《སྣར་》,ལོ།,
,,68,5,《པེ་》《སྣར་》,ཀྱི།,
,,69,6,《པེ་》《སྣར་》,ན།,
,548,70,1,《པེ་》《སྣར་》,བ།,
,,71,2,《པེ་》《སྣར་》,mཞུགས་ནས།,
,,72,3,《པེ་》《སྣར་》,pས།,
,,73,4,《པེ་》《སྣར་》,བདུན།,
,,74,5,《པེ་》《སྣར་》,ཨཏྨ།,
,,75,6,《པེ་》《སྣར་》,ཨ།,
,549,76,1,《སྣར་》,བརླབ།,
,,77,2,《པེ་》《སྣར་》,pསྔར།,
,,78,3,《སྣར་》,ཀྱི།,
,,79,4,《པེ་》《སྣར་》,གིས།,
,,80,5,《པེ་》《སྣར་》,ཨཏྨ།,
,550,81,1,《པེ་》《སྣར་》,འགྱུར།,
,,82,2,《པེ་》《སྣར་》,འདི།,
,,83,3,《པེ་》《སྣར་》,ཨཏྨ།,
,,84,4,《པེ་》《སྣར་》,པོའི་བྱིན་གྱིས་བརླབས།,
,,85,5,《པེ་》《སྣར་》,ཨཏྨ།,
,,86,6,《པེ་》《སྣར་》,mགྱིས།,
,,87,7,《པེ་》《སྣར་》,mསྦྱོར་གྱི།,
,551,88,1,《པེ་》《སྣར་》,པར།,
,,89,2,《པེ་》《སྣར་》,mདེ་ལས་ལེའུ་….ལེའུ་བཅུ་བདུན་པ་ལས་གསུངས་པའི་རིམ་པ།,
,552,90,1,《པེ་》《སྣར་》,བས།,
,,91,2,《པེ་》《སྣར་》,mད་ནི།,
,,92,3,《པེ་》《སྣར་》,གྱིས།,
,553,93,1,《པེ་》《སྣར་》,གྱིས།,
,,94,2,《པེ་》《སྣར་》,ཨཿ།,
