མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཚན།,,,,,,,,
བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།,573,2,1,《པེ་》《སྣར་》 ,བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས་སློབ་དཔོན་ཟླ་བ་གྲགས་པས་མཛད་པ་བཞུགས་སོ།།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང།,,
,,3,2,《པེ་》《སྣར་》,ནཾ།,,,,,,,,
,,4,3,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,,,,
,574,5,1,《པེ་》《སྣར་》,ཡིས།,,,,,,,,
,,6,2,《ཅོ་》,ཨཱ།,,,,,,,,
,,7,3,《པེ་》《སྣར་》,པ།,,,,,,,,
,,8,4,《པེ་》《སྣར་》,mལ།,,,,,,,,
,,9,5,《པེ་》《སྣར་》,pརྣལ་འབྱོར་གསལ་ནས་བཟླས་པ་བྱའོ།།,,,,,,,,
,,10,6,《པེ་》《སྣར་》,བནྡྷ་བནྡྷ།,,,,,,,,
,,11,7,《པེ་》《སྣར་》,ལས་རཀྵ་རཀྵ་ཧཱུཾ།,,,,,,,,
,,12,8,《པེ་》《སྣར་》,བ།,,,,,,,,
,,13,9,《པེ་》《སྣར་》,བནྡྷ་བནྡྷ།,,,,,,,,
,575,14,1,《པེ་》《སྣར་》,པར།,,,,,,,,
,,15,2,《པེ་》《སྣར་》,བསྲུང།,,,,,,,,
,,16,3,《པེ་》《སྣར་》,བྱེད་པའི།,,,,,,,,
,,17,4,《པེ་》《སྣར་》,མ།,,
,,18,5,《པེ་》,བཀྩིཏྟ་བཛྲ་ནཾ།,《སྣར་》,བཀྩིཏྟ་བཛྲ་ཎཾ།,
,,19,6,《པེ་》《སྣར་》,ཏ།,,
,,20,7,《པེ་》《སྣར་》,དཾཥྚོད་ཀ,,
,,21,8,《པེ་》《སྣར་》,ཧ་ཏ།,,
,,22,9,《པེ་》《སྣར་》,ཏ་ཨནྟ་ཀ་ར་ཡ་སྭཱ་ཧཱ།,,
,,23,10,《པེ་》《སྣར་》,ཨུ་ཙ་ཊ་ཡ་ཧཱུཾ།,,
,,24,11,《པེ་》《སྣར་》,ལས་ཀྱི།,,
,,25,12,《པེ་》《སྣར་》,དྷ་དྷུ།,,
,576,26,1,《སྣར་》,ནས།,,
,,27,2,《པེ་》《སྣར་》,མ་ས།,,
,,28,3,《པེ་》《སྣར་》,བཛྲ།,,
,,29,4,《པེ་》《སྣར་》,བན་དྷ་བན་དྷ།,,
,,30,5,《པེ་》《སྣར་》,བིགྷྣན།,,
,,31,6,《པེ་》《སྣར་》,ཀ,,
,,32,7,《པེ་》《སྣར་》,མར།,,
,,33,8,《པེ་》《སྣར་》,pདེའི།,,
,,34,9,《པེ་》《སྣར་》,འཆི།,,
,,35,10,《པེ་》《སྣར་》,བ།,,
,,36,11,《པེ་》《སྣར་》,mགྱིས།,,
,,37,12,《པེ་》《སྣར་》,བསྲུང།,,
,,38,13,《པེ་》《སྣར་》,ཤྲདྡྷ།,,
